,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.ssl,timings.send,timings.dns,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
10,,2019-10-09T18:45:12.066+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=dontevenreply.com,HTTP/1.1,392,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,0,1908,1867,2,23,155,172.217.16.162,,2090,value,
11,,2019-10-09T18:45:13.137+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,401,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,144,0,2982,2941,1,0,133,216.58.207.66,,3261,,
12,,2019-10-09T18:45:13.428+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,401,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,156,0,147,122,0,0,126,216.58.207.66,,431,,
13,,2019-10-09T18:45:13.479+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=dontevenreply.com,HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,0,3323,3289,0,23,102,172.217.16.162,,3451,value,
14,,2019-10-09T18:45:15.225+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,895,7402,,,3,0,1435,1398,1,0,105,172.217.18.98,,1545,,
15,,2019-10-09T18:45:15.230+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-7920775573349677&output=html&h=600&slotname=0198369539&adk=3587341384&adf=3671303198&w=160&lmt=1570635913&guci=2.2.0.0.2.2.0.0&url=http%3A%2F%2Fdontevenreply.com%2F&flash=0&wgl=1&adsid=NT&dt=1570635910059&bpp=75&bdt=352&fdt=3680&idt=3681&shv=r20191003&cbv=r20190131&saldr=sa&abxe=1&correlator=6611734388902&frm=20&pv=2&ga_vid=45238087.1570635914&ga_sid=1570635914&ga_hid=1269759408&ga_fc=0&iag=0&icsg=2720&dssz=9&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=8&ady=164&biw=779&bih=579&scr_x=0&scr_y=0&eid=21064715%2C332260032%2C332260042&oid=3&pvsid=558557009712025&pem=801&rx=0&eae=0&fc=656&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=d%7C%7CeE%7Cn&abl=XS&pfx=0&fu=1040&bc=23&ifi=1&uci=1.251chz3ngpm&fsb=1&xpc=Xr2brKkE1i&p=http%3A//dontevenreply.com&dtd=3713,HTTP/1.1,1368,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,931,19357,,,54,0,5059,5032,1,29,291,172.217.18.98,,5436,value,
16,,2019-10-09T18:45:15.246+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-7920775573349677&output=html&h=600&slotname=0198369539&adk=3587341384&adf=4223216115&w=160&lmt=1570635913&guci=2.2.0.0.2.2.0.0&url=http%3A%2F%2Fdontevenreply.com%2F&flash=0&wgl=1&adsid=NT&dt=1570635910135&bpp=13&bdt=428&fdt=3670&idt=3671&shv=r20191003&cbv=r20190131&saldr=sa&abxe=1&prev_slotnames=0198369539&correlator=6611734388902&frm=20&pv=1&ga_vid=45238087.1570635914&ga_sid=1570635914&ga_hid=1269759408&ga_fc=0&iag=0&icsg=10912&dssz=10&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=8&ady=768&biw=779&bih=579&scr_x=0&scr_y=0&eid=21064715%2C332260032%2C332260042&oid=3&pvsid=558557009712025&pem=801&rx=0&eae=0&fc=656&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=d%7C%7CeEbr%7Cn&abl=XS&pfx=0&fu=1040&bc=23&ifi=2&uci=2.2w7lrek7ngyg&fsb=1&xpc=qa6qK8HhXI&p=http%3A//dontevenreply.com&dtd=3676,HTTP/1.1,1399,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,931,13003,,,31,0,1418,1387,1,0,272,172.217.18.98,,1723,value,
17,,2019-10-09T18:45:15.559+03:00,GET,https://googleads.g.doubleclick.net/pagead/adview?ai=Cl2uznwSeXdTrBJSD-gaNh6LwDfrX6fJY1Jm3lKQKv-EeEAEg-o2sDGD5uvSDnBCgAb7w85UDyAEDqAMByAPJBKoEtAFP0HnoHqUagE0TNv7BtsAt891Kt8naQwz401AUSFG6_CZiUzNa62iU-QgGeAO5gA58g3ksH7BtJZE3zUnKSZYBCFIPOcE4EsJg-r5dpxZIIq4qA_XO7tjcc2gTH6tdHRsguBIxch2qi9QFsSq0AoEWHr14GkY7IQOYOux0p6aCRr18GBkXMg590ZB2VY2BiFPD7TyyEFRwRIURHQbhSOGv7Bv0N1j-C09sSg1bView8uNR457ABPjmtJvBApIFBAgEGAGSBQQIBRgEoAYDgAf7-pF1qAeOzhuoB9XJG6gHwdMbqAeF1BuoB4HUG6gHgtQbqAeG1BuoB4TUG6gHk9gbqAfg0xuoB7oGqAfZyxuoB8_MG6gHpr4b2AcB8gcEEMm8BtIIBwiAYRABGB6ACgHYEwI&sigh=0Nq_WrQURZU&tpd=AGWhJmsAvgb5GT3osTPB5o56We4RXjJk9CvuTuDYqnLorHe2Fg,HTTP/1.1,1856,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,1114,0,,,0,-1,-1,-1,1,-1,107,172.217.18.98,,109,value,
18,,2019-10-09T18:45:16.562+03:00,GET,https://www.googletagservices.com/activeview/js/current/osd_listener.js?cache=r20110914,HTTP/1.1,1277,0,,200,OK,HTTP/1.1,0,text/javascript,,,708,29611,,,61,0,2742,2723,1,30,141,172.217.18.98,,2976,value,
19,,2019-10-09T18:45:16.720+03:00,GET,https://www.googletagservices.com/activeview/js/current/osd.js?cb=%2Fr20100101,HTTP/1.1,395,0,,200,OK,HTTP/1.1,0,text/javascript,,,708,29093,,,66,0,170,131,0,0,127,172.217.18.98,,365,value,
20,,2019-10-09T18:45:17.278+03:00,GET,https://www.google-analytics.com/ga.js,HTTP/1.1,418,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,29,0,6879,6851,0,0,92,216.58.206.14,,7003,,
21,,2019-10-09T18:45:18.408+03:00,GET,https://www.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=1714918033&utmhn=dontevenreply.com&utmcs=UTF-8&utmsr=800x600&utmvp=779x579&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=E-mails%20from%20an%20Asshole&utmhid=1269759408&utmr=-&utmp=%2F&utmht=1570635917423&utmac=UA-9288703-1&utmcc=__utma%3D263590809.45238087.1570635914.1570635914.1570635914.1%3B%2B__utmz%3D263590809.1570635917.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=292574936&utmredir=1&utmu=DAAAAAAAAAAAAAAAAAQAAAAE~,HTTP/1.1,847,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,0,-1,-1,-1,0,-1,111,216.58.206.14,,112,value,
22,,2019-10-09T18:45:18.525+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/m_js_controller.js,HTTP/1.1,1310,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,680,14391,,,33,0,2927,2900,3,0,89,172.217.16.129,,3053,,
23,,2019-10-09T18:45:18.525+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/abg_lite.js,HTTP/1.1,1265,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,679,11455,,,4,0,2937,2909,2,30,102,172.217.16.129,,3077,,
24,,2019-10-09T18:45:18.526+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/qs_click_protection.js,HTTP/1.1,1283,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,678,5132,,,3,0,2938,2909,1,30,98,172.217.16.129,,3071,,
25,,2019-10-09T18:45:18.550+03:00,GET,https://tpc.googlesyndication.com/simgad/16863936074678863120?w=300&h=300,HTTP/1.1,1330,0,,200,OK,HTTP/1.1,0,image/png,,,546,2475,,,1,0,2953,2930,1,0,91,172.217.16.129,,3047,value,
26,,2019-10-09T18:45:18.574+03:00,GET,https://tpc.googlesyndication.com/simgad/17791421747898542047,HTTP/1.1,1287,0,,200,OK,HTTP/1.1,0,image/gif,,,547,124539,,,191,0,1306,1274,1,0,100,172.217.16.129,,1600,,
27,,2019-10-09T18:45:18.576+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/window_focus.js,HTTP/1.1,1276,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,679,1044,,,0,0,2988,2959,0,33,102,172.217.16.129,,3125,,
28,,2019-10-09T18:45:18.634+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/m_js_controller.js,HTTP/1.1,1279,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,680,14391,,,20,-1,-1,-1,0,-1,84,172.217.16.129,,106,,
29,,2019-10-09T18:45:18.638+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/abg_lite.js,HTTP/1.1,1296,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,679,11455,,,13,-1,-1,-1,0,-1,89,172.217.16.129,,104,,
30,,2019-10-09T18:45:18.650+03:00,GET,https://googleads.g.doubleclick.net/pagead/drt/s?v=r20120211,HTTP/1.1,1482,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,608,145,,,0,-1,-1,-1,0,-1,108,172.217.18.98,,109,value,
31,,2019-10-09T18:45:18.654+03:00,GET,https://www.googletagservices.com/activeview/js/current/osd_listener.js?cache=r20110914,HTTP/1.1,1308,0,,200,OK,HTTP/1.1,0,text/javascript,,,708,29611,,,68,-1,-1,-1,0,-1,138,172.217.18.98,,207,value,
32,,2019-10-09T18:45:18.746+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/qs_click_protection.js,HTTP/1.1,1314,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,678,5132,,,12,-1,-1,-1,0,-1,89,172.217.16.129,,102,,
33,,2019-10-09T18:45:18.855+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/window_focus.js,HTTP/1.1,1307,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,679,1044,,,0,-1,-1,-1,0,-1,89,172.217.16.129,,91,,
34,,2019-10-09T18:45:19.307+03:00,GET,"https://fonts.googleapis.com/css?family=Roboto:300,400,500&lang=en",HTTP/1.1,1302,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,625,,,1,0,3752,3727,2,1,113,172.217.23.138,,3871,value,
35,,2019-10-09T18:45:19.494+03:00,GET,https://googleads.g.doubleclick.net/pagead/adview?ai=CYU1cnwSeXei3Bde0gAeR1oG4A8qTwMlS5pvrg7MHvuDwt5cOEAEg-o2sDGD5uvSDnBCgAZyXqsUDyAEBqAMBqgSxAU_Qa2JL_7SvnQYa9PcaX_VdFLb6FPWgS11v46kvTWSUTTW6PZ_wdX7gLxxAD6OZMWDGQwtRr9LeuX5ZXQvUOCfzHQBNwwhALDePzi0dV6iYUOkAY7UPphhuftF4uj-l4dJb_FpjAgDqSoe8r9YKtkNffNObY8kfcScDLzqQw3aWfj3gI0Dw1T1gBgUPJxQcIO5kE3jRBMFimAFPm1a5WwfAt-74JtTGKSEUolVkKr41eYAHzOjVOqgHjs4bqAfVyRuoB8HTG6gHhdQbqAeB1BuoB4LUG6gHhtQbqAeE1BuoB5PYG6gH4NMbqAe6BqgH2csbqAfPzBuoB6a-G9gHAfIHBBC8oQPSCAcIgGEQARgegAoB2BMD&sigh=Sz1xHcxa9Rs&template_id=5001&tpd=AGWhJmsKbR_EReJdLNuOv7ngj6_rxR-ryrpSL9FG2bsc5NCD-Q,HTTP/1.1,1903,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,788,0,,,0,-1,-1,-1,0,-1,110,172.217.18.98,,112,value,
36,,2019-10-09T18:45:19.507+03:00,GET,https://googleads.g.doubleclick.net/pagead/drt/s?v=r20120211,HTTP/1.1,1513,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,608,145,,,1,-1,-1,-1,0,-1,97,172.217.18.98,,99,value,
37,,2019-10-09T18:45:19.919+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjstLADwGojG1M2KwGUmIvMMesVfMxx9RUF2eIejAjrnUhn0zZnPpyuAYToWL2y9XSnU9IZdHwAmJAUIYi0HnNVx830kWEIL3HLmGyMy9ZZZXdDAef6g&sai=AMfl-YQ1cilcMIW2pje-rIHDttg-E-dqP2YnYH9LP5d3vRljPk43hlLWAYgqTG_3i0zqLtb-dSnp5sTpQMN0&sig=Cg0ArKJSzJwA_2IyRqJsEAE&adk=3587341384&tt=-1&bs=779%2C579&mtos=0,0,1075,1075,1075&tos=0,0,1075,0,0&p=164,8,764,168&mcvt=1075&rs=1&ht=0&tfs=1912&tls=2987&mc=0.69&lte=0.69&bas=0&bac=0&met=no&avms=nio&niot_obs=26&niot_cbk=36&md=2&lm=2&rst=1570635913782&dlt=1761&rpt=5003&isd=0&msd=0&oseid=3&xdi=0&ps=779%2C17109&ss=800%2C600&pt=-1&bin=1&deb=1-2-2-32-30-33-71-28-0-0-0&tvt=2970&r=v&id=osdim&vs=4&uc=11&upc=0&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=160x600&itpl=4&v=20191007",HTTP/1.1,1959,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,0,-1,-1,-1,0,-1,117,216.58.207.66,,118,value,
38,,2019-10-09T18:45:21.596+03:00,GET,https://googleads.g.doubleclick.net/pagead/adview?ai=CYU1cnwSeXei3Bde0gAeR1oG4A8qTwMlS5pvrg7MHvuDwt5cOEAEg-o2sDGD5uvSDnBCgAZyXqsUDyAEBqAMBqgSxAU_Qa2JL_7SvnQYa9PcaX_VdFLb6FPWgS11v46kvTWSUTTW6PZ_wdX7gLxxAD6OZMWDGQwtRr9LeuX5ZXQvUOCfzHQBNwwhALDePzi0dV6iYUOkAY7UPphhuftF4uj-l4dJb_FpjAgDqSoe8r9YKtkNffNObY8kfcScDLzqQw3aWfj3gI0Dw1T1gBgUPJxQcIO5kE3jRBMFimAFPm1a5WwfAt-74JtTGKSEUolVkKr41eYAHzOjVOqgHjs4bqAfVyRuoB8HTG6gHhdQbqAeB1BuoB4LUG6gHhtQbqAeE1BuoB5PYG6gH4NMbqAe6BqgH2csbqAfPzBuoB6a-G9gHAfIHBBC8oQPSCAcIgGEQARgegAoB2BMD&sigh=Sz1xHcxa9Rs&vt=1&template_id=5001,HTTP/1.1,949,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,788,0,,,0,-1,-1,-1,0,-1,100,172.217.18.98,,101,value,
39,,2019-10-09T18:45:21.597+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsttY0P9_lQnRNITGxDBYuiXkJpYyHkXcQnMY2ZLTshdk3Xvu5CxWJe2vZBxh4eMwoCkGPyZEJ7wlDEbQTKJ08u9VcNHEuxPzbUasu-klNenG0FjiJs&sai=AMfl-YTKfnJSD4Q_9lWusrK3YsvAfnYtSNFzgBg9EmwQJkVlfsBMRDH3uEgPkyUw2DLPL9M3CIvgM44DfLS7&sig=Cg0ArKJSzHNd1gxiEEX7EAE&adk=3587341384&tt=-1&bs=779%2C579&mtos=0,0,1075,1075,1075&tos=0,0,1075,0,0&p=164,8,764,168&mcvt=1075&rs=1&ht=0&tfs=1912&tls=2987&mc=0.69&lte=0.69&bas=0&bac=0&met=no&avms=nio&niot_obs=26&niot_cbk=36&md=2&lm=2&rst=1570635913782&dlt=1761&rpt=5003&isd=0&msd=0&oseid=3&xdi=0&ps=779%2C17109&ss=800%2C600&pt=-1&bin=1&deb=1-2-2-32-30-33-71-28-0-0-0&tvt=2970&r=v&id=osdim&vs=4&uc=7&upc=0&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=160x600&itpl=14&v=20191007",HTTP/1.1,1990,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,0,-1,-1,-1,0,-1,125,216.58.207.66,,126,value,
40,,2019-10-09T18:45:21.685+03:00,GET,https://fonts.gstatic.com/s/roboto/v20/KFOlCnqEu92Fr1MmEU9fBBc4.woff2,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,15872,,,64,0,2186,2159,0,0,89,172.217.21.227,,2340,,
41,,2019-10-09T18:45:21.688+03:00,GET,https://fonts.gstatic.com/stats/Roboto/normal/500,HTTP/1.1,449,0,,204,No Content,HTTP/1.1,0,text/html; charset=utf-8,,,467,0,,,0,0,2189,2164,0,0,98,172.217.21.227,,2290,,
42,,2019-10-09T18:45:22.006+03:00,GET,https://www.google.com/pagead/drt/ui,HTTP/1.1,541,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://googleads.g.doubleclick.net/pagead/drt/si,401,246,,,0,0,2717,2688,0,33,128,172.217.21.228,,2880,,
43,,2019-10-09T18:45:22.139+03:00,GET,https://www.google.com/pagead/drt/ui,HTTP/1.1,541,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://googleads.g.doubleclick.net/pagead/drt/si,401,246,,,0,-1,-1,-1,0,-1,138,172.217.21.228,,139,,
44,,2019-10-09T18:45:22.139+03:00,GET,https://googleads.g.doubleclick.net/pagead/drt/si,HTTP/1.1,632,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,888,0,,,0,-1,-1,-1,0,-1,138,172.217.18.98,,139,,
45,,2019-10-09T18:45:22.283+03:00,GET,https://googleads.g.doubleclick.net/pagead/drt/si,HTTP/1.1,646,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,888,0,,,0,-1,-1,-1,7,-1,116,172.217.18.98,,125,,
46,,2019-10-09T18:45:22.316+03:00,GET,https://pagead2.googlesyndication.com/bg/aPEEM9OJ9hGaYafZgWtx3Nc8atx1tS31xt75J5Meqn4.js,HTTP/1.1,1277,0,,200,OK,HTTP/1.1,0,text/javascript,,,737,5323,,,2,-1,-1,-1,0,-1,104,216.58.207.66,,106,,
47,,2019-10-09T18:45:22.422+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,379,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,-1,0,-1,0,216.58.207.66,,0,,No response received
