,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.wait,timings.dns,timings.send,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name
13,,2019-10-09T17:37:46.670+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-check.svg,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,293,,,-1,84,-1,0,-1,-1,1,13.226.6.196,,86,
14,,2019-10-09T17:37:46.686+03:00,POST,https://www.duolingo.com/2017-06-30/tracking-status,HTTP/1.1,797,68,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,1160,2,,,-1,865,-1,0,-1,-1,0,3.219.183.180,,866,
15,,2019-10-09T17:37:46.761+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-streak.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,454,,,-1,85,-1,0,-1,-1,0,13.226.6.196,,86,
16,,2019-10-09T17:37:46.761+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-lingot.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,389,,,-1,84,-1,0,-1,-1,1,13.226.6.196,,87,
17,,2019-10-09T17:37:46.780+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/duo-plus-fly-circle-2.svg,HTTP/1.1,456,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,3190,,,-1,86,-1,0,-1,-1,2,13.226.6.196,,89,
18,,2019-10-09T17:37:46.780+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/badge-app-store.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,463,,,-1,84,-1,0,-1,-1,2,13.226.6.196,,87,
19,,2019-10-09T17:37:46.853+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/badge-play-store.svg,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,618,,,-1,86,-1,0,-1,-1,0,13.226.6.196,,88,
20,,2019-10-09T17:37:46.853+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/duo-traveler.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,3419,,,-1,88,-1,0,-1,-1,2,13.226.6.196,,91,
21,,2019-10-09T17:37:46.875+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/laptop-schools.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,2078,,,265,88,0,1,0,294,1,13.226.6.196,,385,
22,,2019-10-09T17:37:46.877+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/logo-white.svg,HTTP/1.1,412,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,993,,,-1,89,-1,0,-1,-1,0,13.226.6.196,,90,
