,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.send,timings.dns,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
24,,2019-10-09T18:09:02.978+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2,HTTP/1.1,582,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,15344,,,4921,0,23,0,35,127,4890,172.217.21.227,,5109,,
25,,2019-10-09T18:09:03.003+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4.woff2,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,font/woff2,,,520,15552,,,4947,0,23,0,35,111,4917,172.217.21.227,,5118,,
26,,2019-10-09T18:09:04.475+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,564,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5384,,,-1,-1,2,0,-1,105,-1,172.217.21.228,,109,,
27,,2019-10-09T18:09:04.561+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/error_handler.js,HTTP/1.1,1234,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,678,3377,,,6898,0,7,1,0,97,6869,172.217.16.129,,7005,,
28,,2019-10-09T18:09:04.562+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/m_js_controller.js,HTTP/1.1,1236,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,680,14391,,,6873,0,26,0,0,89,6843,172.217.16.129,,6990,,
29,,2019-10-09T18:09:04.563+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/abg_lite.js,HTTP/1.1,1222,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,679,11455,,,6897,0,8,0,0,95,6870,172.217.16.129,,7003,,
30,,2019-10-09T18:09:04.566+03:00,GET,https://tpc.googlesyndication.com/simgad/18276902141161005703,HTTP/1.1,1244,0,,200,OK,HTTP/1.1,0,image/png,,,546,5409,,,6904,0,4,0,4,87,6875,172.217.16.129,,7000,,
31,,2019-10-09T18:09:04.889+03:00,GET,https://www.googletagservices.com/activeview/js/current/osd_listener.js?cache=r20110914,HTTP/1.1,1234,0,,200,OK,HTTP/1.1,0,text/javascript,,,708,29611,,,-1,-1,37,0,-1,103,-1,172.217.23.130,,142,value,
32,,2019-10-09T18:09:04.905+03:00,POST,https://www.google.com/recaptcha/api2/reload?k=6Le4BEYUAAAAAF2mu0Ng8c7Xo61rHZjTy5-gc3dW,HTTP/1.1,631,4287,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,805,10143,,,-1,-1,22,0,-1,223,-1,172.217.21.228,,247,value,
33,,2019-10-09T18:09:04.923+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/qs_click_protection.js,HTTP/1.1,1240,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,678,5132,,,-1,-1,4,0,-1,87,-1,172.217.16.129,,93,,
34,,2019-10-09T18:09:04.926+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/window_focus.js,HTTP/1.1,1233,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,679,1044,,,-1,-1,0,0,-1,85,-1,172.217.16.129,,86,,
35,,2019-10-09T18:09:04.931+03:00,GET,https://googleads.g.doubleclick.net/pagead/adview?ai=CR1NNHfydXdTTB9bYbfzqq2ia0fe0Vrn_pIbTBxQQASDuqbkSYPm69IOcEKAB_9uKyAPIAQGoAwGqBLEBT9B1E8F92xgnbrVzmFpCNQkKpPeibc1282IyivNKY98yYQ1lAMyIQeC1SA72GeyVOLCqbeoxWg5-6cSULTZ5phmWzvp1-Yb5_41-gurNH1IqNxPlccbWUH2jIvuM9BQgOK3J47jH8tEeT_QhN64V_j9JRg3dAUEwQhbPqxRYVMm11HAbSttx7chvK0pQ4nyG0vNN1t8hUs66RXJLCNjZb2xfoKuQlgAMAioEzdIcBPlFwASK3N_pyQGSBQQIBBgBkgUECAUYBIAHhvOcCagHjs4bqAfVyRuoB8HTG6gHhdQbqAeB1BuoB4LUG6gHhtQbqAeE1BuoB5PYG6gH4NMbqAe6BqgH2csbqAfPzBuoB6a-G9gHAfIHBBDL7iHSCAcIgGEQARgegAoB2BMM&sigh=3Zflj0aJbi8&template_id=5001&tpd=AGWhJmvc9s9STO-MGED4zvp-B4kJbk1mEeRP_KHIaxVOMrTmSQ,HTTP/1.1,1811,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,1114,0,,,-1,-1,0,0,-1,101,-1,172.217.18.162,,102,value,
