,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.ssl,timings.dns,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name
12,,2019-10-09T16:53:49.879+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,-1,,,2,291,268,0,0,303,8,104.131.95.55,,605,
13,,2019-10-09T16:53:49.880+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,1,307,273,0,0,308,8,104.131.95.55,,626,
14,,2019-10-09T16:53:49.962+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,HTTP/1.1,485,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,0,170,-1,-1,-1,-1,17,104.131.95.55,,188,
15,,2019-10-09T16:53:49.986+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/glue-thunder.mp4,HTTP/1.1,485,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,-1,,,0,292,248,0,0,287,6,104.131.95.55,,586,
16,,2019-10-09T16:53:50.140+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,HTTP/1.1,491,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,461,85481,,,0,308,264,0,0,294,205,104.131.95.55,,810,
17,,2019-10-09T16:53:50.532+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,HTTP/1.1,484,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,21574,,,0,285,310,0,0,351,2,104.131.95.55,,640,
18,,2019-10-09T16:53:50.565+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,485,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,461,38484,,,0,301,329,0,0,368,41,104.131.95.55,,711,
19,,2019-10-09T16:53:50.669+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,HTTP/1.1,489,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,461,-1,,,0,184,-1,-1,-1,-1,0,104.131.95.55,,184,
20,,2019-10-09T16:53:50.830+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,HTTP/1.1,483,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,218182,,,0,180,-1,-1,-1,-1,373,104.131.95.55,,554,
21,,2019-10-09T16:53:50.938+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,483,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,461,2922068,,,0,185,-1,-1,-1,-1,2246,104.131.95.55,,2432,
22,,2019-10-09T16:53:56.463+03:00,GET,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-42700626-2&cid=1036333946.1570629229&jid=315787108&_gid=552752181.1570629229&gjid=176303149&_v=j79&z=1253699755,HTTP/1.1,532,0,,200,OK,HTTP/1.1,0,image/gif,,,539,35,,,0,105,6861,0,0,6891,1,74.125.140.157,,6999,value
