,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.ssl,timings.dns,timings.wait,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
40,,2019-10-09T19:00:34.038+03:00,GET,https://googleads.g.doubleclick.net/pagead/viewthroughconversion/861461659/?random=1570636833792&cv=9&fst=1570636833792&num=1&guid=ON&resp=GooglemKTybQhCsO&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_his=2&u_tz=180&u_java=false&u_nplug=0&u_nmime=0&gtm=2wga20&sendb=1&ig=1&frm=0&url=https%3A%2F%2Fwww.codecademy.com%2F&tiba=Learn%20to%20Code%20-%20for%20Free%20%7C%20Codecademy&async=1&rfmt=3&fmt=4,HTTP/1.1,756,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,1177,939,,,0,209,0,100,0,1,239,172.217.18.162,,341,value,
41,,2019-10-09T19:00:34.151+03:00,GET,https://www.google.com/pagead/1p-user-list/861461659/?random=1570636833792&cv=9&fst=1570636800000&num=1&guid=ON&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_his=2&u_tz=180&u_java=false&u_nplug=0&u_nmime=0&gtm=2wga20&sendb=1&frm=0&url=https%3A%2F%2Fwww.codecademy.com%2F&tiba=Learn%20to%20Code%20-%20for%20Free%20%7C%20Codecademy&async=1&fmt=3&is_vtc=1&random=3632432877&resp=GooglemKTybQhCsO&rmt_tld=0&ipr=y,HTTP/1.1,761,0,,200,OK,HTTP/1.1,0,image/gif,,,610,42,,,0,-1,-1,122,-1,0,-1,172.217.21.228,,123,value,
42,,2019-10-09T19:00:34.151+03:00,GET,https://www.google.co.il/pagead/1p-user-list/861461659/?random=1570636833792&cv=9&fst=1570636800000&num=1&guid=ON&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_his=2&u_tz=180&u_java=false&u_nplug=0&u_nmime=0&gtm=2wga20&sendb=1&frm=0&url=https%3A%2F%2Fwww.codecademy.com%2F&tiba=Learn%20to%20Code%20-%20for%20Free%20%7C%20Codecademy&async=1&fmt=3&is_vtc=1&random=3632432877&resp=GooglemKTybQhCsO&rmt_tld=1&ipr=y,HTTP/1.1,763,0,,200,OK,HTTP/1.1,0,image/gif,,,610,42,,,0,-1,-1,125,-1,0,-1,172.217.22.67,,126,value,
43,,2019-10-09T19:00:34.160+03:00,GET,https://bat.bing.com/action/0?ti=39000277&Ver=2&mid=14c71907-4a60-2501-3fd3-1a898ac0e5f7&pi=0&lg=en-US&sw=800&sh=600&sc=24&tl=Learn%20to%20Code%20-%20for%20Free%20%7C%20Codecademy&p=https%3A%2F%2Fwww.codecademy.com%2F&r=&lt=5339&evt=pageLoad&msclkid=N&rn=389671,HTTP/1.1,703,0,,204,No Content,HTTP/1.1,0,,,,300,0,,,0,-1,-1,111,-1,0,-1,13.107.21.200,,112,value,
44,,2019-10-09T19:00:34.260+03:00,GET,https://connect.facebook.net/signals/plugins/inferredEvents.js?v=2.9.4,HTTP/1.1,389,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,577,10218,,,0,-1,-1,96,-1,5,-1,31.13.92.14,,102,value,
45,,2019-10-09T19:00:34.401+03:00,GET,https://idsync.rlcdn.com/458359.gif?partner_uid=*RMUID*,HTTP/1.1,505,0,,502,Bad Gateway,HTTP/1.1,0,text/html; charset=UTF-8,,,174,332,,,0,-1,-1,6205,-1,0,-1,35.190.72.21,,6206,value,
46,,2019-10-09T19:00:34.409+03:00,GET,https://ut.ra.linksynergy.com/t?tp=pv&tsq=&sid=118985&uid=1570636820430.181544788.74881124.118985.1121395942&jsv=b.3.001%3Ac.3.001%3As.3.001&uts=1&tfs=1084951&uvc=1&pgc=2&lig=2&tpd=%7C&tvd=%3A&prtcl=https%3A&ppth=%2F&pgn=&sby=www.codecademy.com&sus=1&gdpr=00e0%3Af5832967-8cc8-4513-8801-1a92c542003c&chn=1&rmch=ra,HTTP/1.1,668,0,,200,OK,HTTP/1.1,0,image/gif,,,294,37,,,0,4897,36,100,0,0,4924,35.241.23.116,,5062,value,
47,,2019-10-09T19:00:35.078+03:00,GET,https://www.facebook.com/tr/?id=1036078779778355&ev=Microdata&dl=https%3A%2F%2Fwww.codecademy.com%2F&rl=&if=false&ts=1570636834872&cd[DataLayer]=%5B%5D&cd[Meta]=%7B%22title%22%3A%22Learn%20to%20Code%20-%20for%20Free%20%7C%20Codecademy%22%2C%22meta%3Adescription%22%3A%22Learn%20the%20technical%20skills%20you%20need%20for%20the%20job%20you%20want.%20As%20leaders%20in%20online%20education%20and%20learning%20to%20code%2C%20we%E2%80%99ve%20taught%20over%2045%20million%20people%20using%20a%20tested%20curriculum%20and%20an%20interactive%20learning%20environment.%20Start%20with%20HTML%2C%20CSS%2C%20JavaScript%2C%20SQL%2C%20Python%2C%20Data%20Science%2C%20and%20more.%20%22%2C%22meta%3Akeywords%22%3A%22%22%7D&cd[OpenGraph]=%7B%22og%3Aurl%22%3A%22https%3A%2F%2Fwww.codecademy.com%2F%22%2C%22og%3Asite_name%22%3A%22Codecademy%22%2C%22og%3Atype%22%3A%22article%22%2C%22og%3Atitle%22%3A%22Learn%20to%20Code%20-%20for%20Free%20%7C%20Codecademy%22%2C%22og%3Adescription%22%3A%22Learn%20the%20technical%20skills%20you%20need%20for%20the%20job%20you%20want.%20As%20leaders%20in%20online%20education%20and%20learning%20to%20code%2C%20we%E2%80%99ve%20taught%20over%2045%20million%20people%20using%20a%20tested%20curriculum%20and%20an%20interactive%20learning%20environment.%20Start%20with%20HTML%2C%20CSS%2C%20JavaScript%2C%20SQL%2C%20Python%2C%20Data%20Science%2C%20and%20more.%20%22%2C%22og%3Arich_attachment%22%3A%22true%22%2C%22og%3Aimage%22%3A%22https%3A%2F%2Fwww.codecademy.com%2Fassets%2Flogo-codecademy-social-abfd8450722d675bddedde689f8af624.png%22%7D&cd[Schema.org]=%5B%5D&cd[JSON-LD]=%5B%5D&sw=800&sh=600&v=2.9.4&r=stable&ec=1&o=158&fbp=fb.1.1570636816254.660534237&it=1570636834025&coo=false&es=automatic&rqm=GET,HTTP/1.1,2121,0,,200,OK,HTTP/1.1,0,image/gif,,,367,44,,,0,168,0,96,0,0,197,157.240.1.35,,295,value,
48,,2019-10-09T19:00:37.295+03:00,GET,https://www.google-analytics.com/plugins/ua/linkid.js,HTTP/1.1,372,0,,200,OK,HTTP/1.1,0,text/javascript,,,507,856,,,0,-1,-1,95,-1,0,-1,216.58.206.14,,96,,
49,,2019-10-09T19:00:37.296+03:00,GET,https://www.facebook.com/tr/?id=1036078779778355&ev=PageView&dl=https%3A%2F%2Fwww.codecademy.com%2F&rl=&if=false&ts=1570636834370&sw=800&sh=600&v=2.9.4&r=stable&ec=0&o=158&fbp=fb.1.1570636816254.660534237&it=1570636834025&coo=false&rqm=GET,HTTP/1.1,646,0,,200,OK,HTTP/1.1,0,image/gif,,,367,44,,,0,-1,-1,94,-1,0,-1,157.240.1.35,,95,value,
50,,2019-10-09T19:00:37.344+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,403,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,94031,,,0,4428,0,99,0,142,4448,172.217.22.67,,4692,,
51,,2019-10-09T19:00:37.406+03:00,GET,https://www.google-analytics.com/collect?v=1&_v=j79&a=1699480947&t=pageview&_s=1&dl=https%3A%2F%2Fwww.codecademy.com%2F&dr=&dp=%2F&ul=en-us&de=UTF-8&dt=Learn%20to%20Code%20-%20for%20Free%20%7C%20Codecademy&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=SCCAgEAjQ~&jid=&gjid=&cid=1737087201.1570636810&tid=UA-25136408-1&_gid=1353383300.1570636810&z=1324777392,HTTP/1.1,706,0,,200,OK,HTTP/1.1,0,image/gif,,,478,35,,,0,-1,-1,92,-1,0,-1,216.58.206.14,,93,value,
52,,2019-10-09T19:00:37.523+03:00,GET,https://www.google-analytics.com/collect?v=1&_v=j79&a=1699480947&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.codecademy.com%2F&ul=en-us&de=UTF-8&dt=Learn%20to%20Code%20-%20for%20Free%20%7C%20Codecademy&sd=24-bit&sr=800x600&vp=779x600&je=0&ec=optimize&ea=timeout&_u=SCCAAEAjQ~&jid=&gjid=&cid=1737087201.1570636810&tid=UA-25136408-1&_gid=1353383300.1570636810&gtm=2wga20KTLK85W&z=1437032496,HTTP/1.1,738,0,,200,OK,HTTP/1.1,0,image/gif,,,478,35,,,0,-1,-1,88,-1,0,-1,216.58.206.14,,88,value,
53,,2019-10-09T19:00:37.655+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6LfCUVsUAAAAAAGtvwnA5Mw4LQaaN0iA_6bF5jXe&co=aHR0cHM6Ly93d3cuY29kZWNhZGVteS5jb206NDQz&hl=en&type=image&v=Zy-zVXWdnDW6AUZkKlojAKGe&theme=light&size=invisible&badge=bottomright&cb=eyzou797iylt,HTTP/1.1,713,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9278,,,0,-1,-1,117,-1,19,-1,172.217.21.228,,137,value,
54,,2019-10-09T19:00:37.811+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,631,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,0,-1,-1,91,-1,51,-1,172.217.22.67,,142,,
55,,2019-10-09T19:00:37.959+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,617,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,94031,,,0,-1,-1,95,-1,52,-1,172.217.22.67,,148,,
56,,2019-10-09T19:00:38.139+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,609,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5384,,,0,-1,-1,109,-1,1,-1,172.217.21.228,,111,,
