,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.send,timings.wait,timings.dns,timings.ssl,serverIPAddress,comment,time,request.queryString.name
10,,2019-10-08T18:05:50.293+03:00,GET,https://www.instagram.com/static/bundles/metro/Consumer.js/5dda708823dc.js,HTTP/1.1,520,0,,200,OK,HTTP/1.1,0,text/javascript,,,357,104807,,,259,-1,-1,0,94,-1,-1,31.13.92.174,,354,
11,,2019-10-08T18:05:50.314+03:00,GET,https://www.instagram.com/static/bundles/metro/LandingPage.js/0133848fb6ad.js,HTTP/1.1,523,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,28874,,,193,-1,-1,0,104,-1,-1,31.13.92.174,,298,
12,,2019-10-08T18:05:50.329+03:00,GET,https://www.instagram.com/static/bundles/metro/Polyfills.js/33e6af7a86cf.js,HTTP/1.1,521,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,12081,,,570,-1,-1,1,88,-1,-1,31.13.92.174,,659,
13,,2019-10-08T18:05:50.338+03:00,GET,https://www.instagram.com/static/bundles/metro/FeedPageContainer.js/30df47b0398d.js,HTTP/1.1,593,0,,200,OK,HTTP/1.1,0,text/javascript,,,357,107785,,,359,-1,-1,0,92,-1,-1,31.13.92.174,,452,
14,,2019-10-08T18:05:50.427+03:00,GET,https://www.instagram.com/static/bundles/metro/FeedPageContainer.css/a9197db45b1a.css,HTTP/1.1,595,0,,200,OK,HTTP/1.1,0,text/css,,,349,16126,,,21,-1,-1,1,108,-1,-1,31.13.92.174,,131,
15,,2019-10-08T18:05:51.286+03:00,POST,https://www.instagram.com/qp/batch_fetch_web/,HTTP/1.1,725,5193,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,2191,93,,,0,-1,-1,0,361,-1,-1,31.13.92.174,,362,
16,,2019-10-08T18:05:51.297+03:00,GET,https://www.instagram.com/static/images/homepage/screenshot1.jpg/d6bf0c928b5a.jpg,HTTP/1.1,531,0,,200,OK,HTTP/1.1,0,image/jpeg,,,351,41581,,,490,-1,-1,0,87,-1,-1,31.13.92.174,,579,
17,,2019-10-08T18:05:51.297+03:00,GET,https://www.instagram.com/static/images/homepage/screenshot2.jpg/6f03eb85463c.jpg,HTTP/1.1,531,0,,200,OK,HTTP/1.1,0,image/jpeg,,,351,31724,,,1702,-1,-1,0,99,-1,-1,31.13.92.174,,1802,
18,,2019-10-08T18:05:51.298+03:00,GET,https://www.instagram.com/static/images/homepage/screenshot3.jpg/f0c687aa6ec2.jpg,HTTP/1.1,531,0,,200,OK,HTTP/1.1,0,image/jpeg,,,351,23440,,,42,-1,-1,0,106,-1,-1,31.13.92.174,,149,
19,,2019-10-08T18:05:51.300+03:00,GET,https://www.instagram.com/static/images/homepage/screenshot4.jpg/842fe5699220.jpg,HTTP/1.1,531,0,,200,OK,HTTP/1.1,0,image/jpeg,,,351,26079,,,145,-1,-1,0,94,-1,-1,31.13.92.174,,240,
20,,2019-10-08T18:05:51.300+03:00,GET,https://www.instagram.com/static/images/homepage/screenshot5.jpg/0a2d3016f375.jpg,HTTP/1.1,531,0,,200,OK,HTTP/1.1,0,image/jpeg,,,351,34240,,,1311,-1,-1,0,96,-1,-1,31.13.92.174,,1408,
21,,2019-10-08T18:05:51.450+03:00,GET,https://www.instagram.com/static/images/appstore-install-badges/badge_ios_english-en.png/180ae7a0bcf7.png,HTTP/1.1,555,0,,200,OK,HTTP/1.1,0,image/png,,,349,3522,,,2,-1,-1,0,96,-1,-1,31.13.92.174,,99,
22,,2019-10-08T18:05:51.545+03:00,GET,https://www.instagram.com/static/images/appstore-install-badges/badge_android_english-en.png/e9cd846dc748.png,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,image/png,,,349,9799,,,5,-1,-1,0,87,-1,-1,31.13.92.174,,93,
23,,2019-10-08T18:05:51.561+03:00,GET,https://www.instagram.com/static/images/homepage/home-phones.png/43cc71bb1b43.png,HTTP/1.1,584,0,,200,OK,HTTP/1.1,0,image/png,,,351,109678,,,432,-1,-1,0,95,-1,-1,31.13.92.174,,528,
24,,2019-10-08T18:05:51.642+03:00,GET,https://www.instagram.com/static/bundles/metro/sprite_core_4f48d3d2062b.png/4f48d3d2062b.png,HTTP/1.1,601,0,,200,OK,HTTP/1.1,0,image/png,,,350,74401,,,427,-1,-1,0,89,-1,-1,31.13.92.174,,518,
25,,2019-10-08T18:05:54.035+03:00,GET,https://connect.facebook.net/en_US/sdk.js,HTTP/1.1,359,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,805,1780,,,0,0,2784,0,102,36,2766,31.13.92.14,,2925,
26,,2019-10-08T18:05:54.391+03:00,GET,https://connect.facebook.net/en_US/sdk.js?hash=ab698e903daa7d426748466a6805e9d5&ua=modern_es6,HTTP/1.1,443,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,820,59063,,,102,0,241,0,100,0,216,31.13.92.14,,444,value
