,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.dns,timings.ssl,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
24,,2019-09-28T19:11:46.510+03:00,GET,https://googleads.g.doubleclick.net/pagead/drt/s?v=r20120211,HTTP/1.1,1428,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,527,145,,,0,113,-1,-1,0,-1,-1,172.217.23.162,,114,value,
25,,2019-09-28T19:11:46.551+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20190924/r20110914/client/window_focus.js,HTTP/1.1,1260,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,652,1044,,,0,125,-1,-1,0,-1,-1,216.58.210.1,,126,,
26,,2019-09-28T19:11:46.636+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,572,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,0,63,-1,-1,174,-1,-1,172.217.21.195,,238,,
27,,2019-09-28T19:11:46.648+03:00,GET,https://www.google.com/pagead/drt/ui,HTTP/1.1,541,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://googleads.g.doubleclick.net/pagead/drt/si,374,246,,,0,156,-1,-1,0,-1,-1,216.58.205.228,,157,,
28,,2019-09-28T19:11:46.809+03:00,GET,https://googleads.g.doubleclick.net/pagead/drt/si,HTTP/1.1,632,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,807,0,,,0,100,-1,-1,0,-1,-1,172.217.23.162,,101,,
29,,2019-09-28T19:11:46.911+03:00,GET,https://www.google.com/js/bg/JBwSXsc__bL1AIIwyKh3QnwBHg7D-WM3_5_AwioMKBk.js,HTTP/1.1,564,0,,200,OK,HTTP/1.1,0,text/javascript,,,487,5282,,,0,85,-1,-1,8,-1,-1,216.58.205.228,,94,,
30,,2019-09-28T19:11:47.008+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,576,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,112,,,0,82,-1,-1,1,-1,-1,216.58.205.228,,84,value,
31,,2019-09-28T19:11:47.134+03:00,GET,https://www.gstatic.com/recaptcha/api2/logo_48.png,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,image/png,,,432,2228,,,0,364,-1,-1,1,-1,-1,172.217.21.195,,366,,
32,,2019-09-28T19:11:47.329+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,0,78,0,69,355,135,0,172.217.21.195,,570,,
33,,2019-09-28T19:11:47.464+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Le4BEYUAAAAAF2mu0Ng8c7Xo61rHZjTy5-gc3dW&cb=2tebcdedn1om,HTTP/1.1,605,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,1124,,,0,97,-1,-1,0,-1,-1,216.58.205.228,,99,value,
