,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.send,timings.dns,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name
10,,2019-10-08T15:59:54.587+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,-1,,,9,0,387,1,0,330,353,165.227.192.63,,728,
11,,2019-10-08T15:59:54.589+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,8,0,279,1,0,294,237,165.227.192.63,,583,
12,,2019-10-08T15:59:55.204+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,HTTP/1.1,403,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,18,-1,-1,0,-1,163,-1,165.227.192.63,,182,
13,,2019-10-08T15:59:55.238+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/glue-thunder.mp4,HTTP/1.1,403,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,-1,,,6,0,405,0,0,302,375,165.227.192.63,,714,
14,,2019-10-08T15:59:55.287+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,HTTP/1.1,402,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,21574,,,2,0,361,1,0,293,328,165.227.192.63,,658,
15,,2019-10-08T15:59:55.290+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,403,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,461,38484,,,44,0,357,0,0,284,330,165.227.192.63,,687,
16,,2019-10-08T15:59:55.388+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,24,0,6013,0,0,91,5979,172.217.22.110,,6131,
17,,2019-10-08T15:59:55.590+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,HTTP/1.1,409,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,461,85481,,,156,-1,-1,0,-1,172,-1,165.227.192.63,,329,
18,,2019-10-08T15:59:55.626+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1922680097&t=pageview&_s=1&dl=https%3A%2F%2Fasoftmurmur.com%2F&ul=en-us&de=UTF-8&dt=A%20Soft%20Murmur&sd=24-bit&sr=800x600&vp=800x600&je=0&_u=IEBAAAAB~&jid=558882681&gjid=197976752&cid=35656989.1570539596&tid=UA-42700626-2&_gid=1637795243.1570539596&_r=1&z=280505241,HTTP/1.1,674,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-42700626-2&cid=35656989.1570539596&jid=558882681&_gid=1637795243.1570539596&gjid=197976752&_v=j79&z=280505241,642,415,,,0,-1,-1,0,-1,98,-1,172.217.22.110,,99,value
19,,2019-10-08T15:59:55.627+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,HTTP/1.1,401,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,218182,,,263,-1,-1,0,-1,173,-1,165.227.192.63,,437,
20,,2019-10-08T15:59:55.680+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,482,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,461,2922068,,,1704,0,289,1,0,290,262,165.227.192.63,,2284,
21,,2019-10-08T15:59:55.951+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,HTTP/1.1,488,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,461,-1,,,0,-1,-1,0,-1,172,-1,165.227.192.63,,172,
22,,2019-10-08T15:59:59.200+03:00,GET,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-42700626-2&cid=35656989.1570539596&jid=558882681&_gid=1637795243.1570539596&gjid=197976752&_v=j79&z=280505241,HTTP/1.1,530,0,,200,OK,HTTP/1.1,0,image/gif,,,566,35,,,0,0,3437,1,29,92,3403,74.125.206.155,,3561,value
