,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.dns,timings.send,timings.ssl,timings.wait,serverIPAddress,comment,time,request.queryString.name
34,,2019-10-08T16:39:56.183+03:00,GET,https://beta.freerice.com/assets/ads/rubicon-desktop-not-correct.html?k1hw5jub,HTTP/1.1,550,0,,200,OK,HTTP/1.1,0,text/html,,,660,714,,,0,-1,-1,-1,0,-1,94,151.101.18.133,,95,value
35,,2019-10-08T16:39:57.764+03:00,GET,https://oil.axelspringer.com/release/1.2.2/1.1.2.2-RELEASE.chunk.js,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,505,2384,,,1,0,4869,118,1,4845,151,52.17.172.5,,5141,
36,,2019-10-08T16:39:57.764+03:00,GET,https://oil.axelspringer.com/release/1.2.2/0.1.2.2-RELEASE.chunk.js,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,505,11657,,,69,0,4869,118,0,4846,131,52.17.172.5,,5190,
37,,2019-10-08T16:39:59.838+03:00,GET,https://ads.rubiconproject.com/ad/8056.js,HTTP/1.1,411,0,,200,OK,HTTP/1.1,0,text/javascript,,,364,7558,,,6,0,3583,60,0,3555,182,104.82.130.223,,3834,
38,,2019-10-08T16:40:00.027+03:00,GET,https://ads.rubiconproject.com/ad/8056.js,HTTP/1.1,411,0,,200,OK,HTTP/1.1,0,text/javascript,,,364,7558,,,0,-1,-1,-1,0,-1,89,104.82.130.223,,90,
39,,2019-10-08T16:40:00.380+03:00,GET,https://www.instagram.com/web/search/topsearch/?query={wfpfreerice},HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,2422,542,,,40,0,4786,32,1,4767,337,157.240.1.174,,5198,value
40,,2019-10-08T16:40:03.172+03:00,GET,https://optimized-by.rubiconproject.com/a/8056/13032/712778-15.js?&cb=0.5887200155757788&tk_st=1&rf=https%3A//beta.freerice.com/%23/english-vocabulary/1381&rp_s=c&p_pos=btf&p_screen_res=800x600&ad_slot=13032_15&rp_secure=1,HTTP/1.1,592,0,,200,OK,HTTP/1.1,0,text/javascript,,,334,196,,,0,0,3101,28,0,3079,124,213.19.162.41,,3255,value
41,,2019-10-08T16:40:03.192+03:00,GET,https://optimized-by.rubiconproject.com/a/8056/13032/712778-15.js?&cb=0.16742965666322185&tk_st=1&rf=https%3A//beta.freerice.com/%23/english-vocabulary/1381&rp_s=c&p_pos=btf&p_screen_res=800x600&ad_slot=13032_15&rp_secure=1,HTTP/1.1,593,0,,200,OK,HTTP/1.1,0,text/javascript,,,334,196,,,0,0,3058,0,0,3026,107,213.19.162.41,,3167,value
42,,2019-10-08T16:40:04.453+03:00,GET,https://vendorlist.consensu.org/vendorlist.json,HTTP/1.1,397,0,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,724,16361,,,1,0,4393,21,0,4359,147,13.224.132.34,,4564,
43,,2019-10-08T16:40:04.600+03:00,GET,https://vendorlist.consensu.org/vendorlist.json,HTTP/1.1,397,0,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,724,16361,,,26,-1,-1,-1,0,-1,97,13.224.132.34,,124,
44,,2019-10-08T16:40:07.609+03:00,GET,https://secure-assets.rubiconproject.com/static/psa/15.jpg,HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,image/jpeg,,,333,7106,,,0,0,4266,34,0,4230,113,104.82.130.223,,4415,
45,,2019-10-08T16:40:07.740+03:00,GET,https://secure-assets.rubiconproject.com/static/psa/15.jpg,HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,image/jpeg,,,333,7106,,,0,-1,-1,-1,1,-1,99,104.82.130.223,,101,
