,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.send,timings.wait,timings.dns,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
32,,2019-10-09T17:20:44.580+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,416,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,154,0,373,1,117,0,355,172.217.22.2,,646,,
33,,2019-10-09T17:20:44.610+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,892,36813,,,83,0,4605,1,102,38,4561,172.217.22.2,,4831,,
34,,2019-10-09T17:20:44.612+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/frameBorder.png,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/png,,,423,1002,,,0,-1,-1,0,91,-1,-1,213.186.33.107,,91,,
35,,2019-10-09T17:20:44.635+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/shadedBordersSoft.png,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,image/png,,,423,3483,,,1,-1,-1,0,93,-1,-1,213.186.33.107,,95,,
36,,2019-10-09T17:20:44.635+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/roundedPanelBGS.png,HTTP/1.1,494,0,,200,OK,HTTP/1.1,0,image/png,,,425,21480,,,54,-1,-1,0,95,-1,-1,213.186.33.107,,149,,
37,,2019-10-09T17:20:44.675+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/aqworldsbanner.jpg,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,image/jpeg,,,431,7435,,,415,-1,-1,0,347,-1,-1,213.186.33.107,,764,,
38,,2019-10-09T17:20:44.803+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,416,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,83,-1,-1,0,110,-1,-1,172.217.22.2,,195,,
39,,2019-10-09T17:20:46.153+03:00,GET,https://fonts.gstatic.com/s/merriweather/v21/u-4n0qyriQwlOrhSvowK_l52_wFZWMf6.woff2,HTTP/1.1,486,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,19056,,,54,0,2014,0,109,0,1988,172.217.22.3,,2180,,
40,,2019-10-09T17:20:47.135+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,568,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,895,7402,,,3,0,2888,1,97,20,2851,172.217.22.34,,3011,,
41,,2019-10-09T17:20:47.930+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=orteil.dashnet.org,HTTP/1.1,408,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,0,3705,0,109,24,3677,172.217.22.2,,3840,value,
42,,2019-10-09T17:20:48.420+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-8491708950677704&output=html&adk=1812271804&adf=3025194257&lmt=1570630848&plat=1%3A8%2C2%3A8%2C8%3A8%2C9%3A32776%2C16%3A8388608%2C30%3A1048576&guci=2.2.0.0.2.2.0.0&format=0x0&url=http%3A%2F%2Forteil.dashnet.org%2Fcookieclicker%2F&ea=0&flash=0&pra=5&wgl=1&adsid=NT&dt=1570630844198&bpp=23&bdt=4281&fdt=4193&idt=4194&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&nras=1&correlator=4977903042705&frm=20&pv=2&ga_vid=97499503.1570630848&ga_sid=1570630848&ga_hid=564380077&ga_fc=0&iag=0&icsg=65194&dssz=13&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=-12245933&ady=-12245933&biw=800&bih=600&scr_x=0&scr_y=0&eid=21064714%2C151527025%2C151527225%2C229739146%2C229739148%2C368226300%2C368226305%2C368226310%2C368226571&oid=3&pvsid=1387859148446935&pem=664&rx=0&eae=2&fc=1936&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7Cs%7C&abl=NS&fu=16&bc=23&ifi=0&uci=0.11dloqradhte&dtd=4217,HTTP/1.1,1496,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,928,44,,,0,-1,-1,0,179,-1,-1,172.217.22.34,,180,value,
43,,2019-10-09T17:20:48.443+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=orteil.dashnet.org,HTTP/1.1,406,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,0,3844,0,92,25,3808,172.217.22.34,,3963,value,
44,,2019-10-09T17:20:48.589+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-8491708950677704&output=html&h=250&slotname=7077525342&adk=3858836500&adf=1948056654&w=300&fwrn=4&fwrnh=100&lmt=1570630848&rafmt=3&psa=0&guci=2.2.0.0.2.2.0.0&format=300x250&url=http%3A%2F%2Forteil.dashnet.org%2Fcookieclicker%2F&flash=0&fwr=0&fwrattr=true&rw=300&rpe=1&resp_fmts=1&wgl=1&adsid=NT&dt=1570630844221&bpp=19&bdt=4304&fdt=4206&idt=4206&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&prev_fmts=0x0&nras=1&correlator=4977903042705&frm=20&pv=1&ga_vid=97499503.1570630848&ga_sid=1570630848&ga_hid=564380077&ga_fc=0&iag=0&icsg=589482&dssz=14&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=483&ady=32&biw=800&bih=600&scr_x=0&scr_y=0&eid=21064714%2C151527025%2C151527225%2C229739146%2C229739148%2C368226300%2C368226305%2C368226310%2C368226571&oid=3&pvsid=1387859148446935&pem=664&rx=0&eae=0&fc=1936&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=d%7C%7CaoeE%7C&abl=CA&pfx=0&fu=144&bc=23&ifi=1&uci=1.xsshpqqsorel&xpc=szaBzQUXai&p=http%3A//orteil.dashnet.org&dtd=4217,HTTP/1.1,1585,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,929,199,,,0,0,142,2,301,0,117,172.217.22.34,,446,value,
45,,2019-10-09T17:20:48.607+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-8491708950677704&output=html&h=250&slotname=9780186019&adk=2400765391&adf=3253320039&w=300&fwrn=4&fwrnh=100&lmt=1570630848&rafmt=1&psa=0&guci=2.2.0.0.2.2.0.0&format=300x250&url=http%3A%2F%2Forteil.dashnet.org%2Fcookieclicker%2F&flash=0&fwr=0&fwrattr=true&rpe=1&resp_fmts=3&wgl=1&adsid=NT&dt=1570630844240&bpp=10&bdt=4322&fdt=4210&idt=4210&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&prev_fmts=0x0%2C300x250&nras=1&correlator=4977903042705&frm=20&pv=1&ga_vid=97499503.1570630848&ga_sid=1570630848&ga_hid=564380077&ga_fc=0&iag=0&icsg=589482&dssz=14&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=483&ady=899&biw=800&bih=600&scr_x=0&scr_y=0&eid=21064714%2C151527025%2C151527225%2C229739146%2C229739148%2C368226300%2C368226305%2C368226310%2C368226571&oid=3&pvsid=1387859148446935&pem=664&rx=0&eae=0&fc=1936&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CaeEbr%7C&abl=CA&pfx=0&fu=144&bc=23&ifi=2&uci=2.c7enw7xszlsx&xpc=ylVGkgHVSN&p=http%3A//orteil.dashnet.org&dtd=4214,HTTP/1.1,1589,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,929,199,,,0,-1,-1,1,294,-1,-1,172.217.22.34,,296,value,
46,,2019-10-09T17:20:48.930+03:00,GET,http://pagead2.googlesyndication.com/pagead/gen_204?id=ovlp&adf=1948056654&client=ca-pub-8491708950677704&eid=21064714%2C368226571%2C229739148%2C229739146%2C151527025%2C151527225%2C368226300%2C368226305%2C368226310&et=4&fwrattr=true&io=0&saldr=aa&oa=0.00&qid=CJDTkuCzj-UCFY4GiwodpyQL-g&rafmt=3&roa=0&slot=7077525342&sp=0%2C0&tgt=ins%2Faswift_1_expand.0&tr=483%2C32%2C783%2C282&url=http%3A%2F%2Forteil.dashnet.org%2Fcookieclicker%2F&vp=800x600,HTTP/1.1,796,0,,204,No Content,HTTP/1.1,0,,,,373,0,,,0,-1,-1,0,98,-1,-1,172.217.22.2,,99,value,
47,,2019-10-09T17:20:51.307+03:00,GET,https://www.googletagservices.com/activeview/js/current/osd.js?cb=%2Fr20100101,HTTP/1.1,410,0,,200,OK,HTTP/1.1,0,text/javascript,,,708,29093,,,70,0,2840,0,131,40,2814,172.217.22.2,,3084,value,
48,,2019-10-09T17:20:51.566+03:00,GET,http://orteil.dashnet.org/cookieconsent.css,HTTP/1.1,436,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,0,0,-1,-1,213.186.33.107,,0,,No response received
49,,2019-10-09T17:20:51.572+03:00,GET,http://orteil.dashnet.org/cookieclicker/img/filler.png,HTTP/1.1,468,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,0,0,-1,-1,213.186.33.107,,0,,No response received
