,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.wait,timings.ssl,timings.send,timings.dns,serverIPAddress,comment,time,request.queryString.name
10,,2019-10-12T15:32:51.352+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/laptop-features.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,698,,,1,-1,-1,92,-1,0,-1,99.86.255.220,,94,
11,,2019-10-12T15:32:51.352+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-speaker.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,394,,,1,-1,-1,93,-1,0,-1,99.86.255.220,,95,
12,,2019-10-12T15:32:51.355+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-check.svg,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,293,,,3,-1,-1,92,-1,0,-1,99.86.255.220,,96,
13,,2019-10-12T15:32:51.356+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-lingot.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,389,,,1,-1,-1,90,-1,0,-1,99.86.255.220,,91,
14,,2019-10-12T15:32:51.371+03:00,POST,https://www.duolingo.com/2017-06-30/tracking-status,HTTP/1.1,797,68,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,1159,2,,,0,-1,-1,191,-1,0,-1,54.85.91.11,,192,
15,,2019-10-12T15:32:51.455+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-streak.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,454,,,1,-1,-1,105,-1,0,-1,99.86.255.220,,108,
16,,2019-10-12T15:32:51.455+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/duo-plus-fly-circle-2.svg,HTTP/1.1,456,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,3190,,,11,-1,-1,105,-1,0,-1,99.86.255.220,,117,
17,,2019-10-12T15:32:51.456+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/badge-play-store.svg,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,618,,,0,-1,-1,104,-1,0,-1,99.86.255.220,,106,
18,,2019-10-12T15:32:51.456+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/badge-app-store.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,527,463,,,3,-1,-1,104,-1,0,-1,99.86.255.220,,107,
19,,2019-10-12T15:32:51.511+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/duo-traveler.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,3419,,,2,0,255,98,227,0,0,99.86.255.220,,356,
