,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.dns,timings.ssl,timings.send,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
35,,2019-10-11T15:14:26.820+03:00,GET,https://www.codecademy.com/webpack/8f8fbcc4095c37401c638882bc63b21b.woff2,HTTP/1.1,640,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,607,38280,,,-1,-1,57,-1,-1,0,117,104.20.26.250,,176,,
36,,2019-10-11T15:14:26.879+03:00,GET,https://www.codecademy.com/webpack/3861e7bced4765ac7456df8ec72e42d5.woff2,HTTP/1.1,640,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,607,60992,,,-1,-1,83,-1,-1,0,94,104.20.26.250,,178,,
37,,2019-10-11T15:14:26.883+03:00,GET,https://www.codecademy.com/webpack/renderer/f059ec67021b3dfeea1b6cb2eb373683.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,546,148,,,-1,-1,0,-1,-1,1,96,104.20.26.250,,98,,
38,,2019-10-11T15:14:26.888+03:00,GET,https://www.codecademy.com/webpack/renderer/009575cb805ae46490ba9b72cf63b22f.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,547,433,,,-1,-1,0,-1,-1,0,99,104.20.26.250,,100,,
39,,2019-10-11T15:14:26.902+03:00,GET,https://www.codecademy.com/webpack/renderer/6dbde596705090b98e4012a740c0bedb.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,546,206,,,-1,-1,0,-1,-1,0,93,104.20.26.250,,94,,
40,,2019-10-11T15:14:26.986+03:00,GET,https://www.codecademy.com/webpack/renderer/be1606e736b7ae787add1973c386eff6.png,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/webp,,,660,492,,,-1,-1,0,-1,-1,0,93,104.20.26.250,,95,,
41,,2019-10-11T15:14:26.992+03:00,GET,https://www.codecademy.com/webpack/renderer/973e3dd1f43e9417e592e2200b978a8c.png,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/webp,,,668,124632,,,-1,-1,67,-1,-1,0,108,104.20.26.250,,176,,
42,,2019-10-11T15:14:26.994+03:00,GET,https://www.codecademy.com/webpack/renderer/d7285ffbbd0ca6d1d2179f7d22ea1f67.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,548,2040,,,-1,-1,0,-1,-1,0,120,104.20.26.250,,121,,
43,,2019-10-11T15:14:27.001+03:00,GET,https://www.codecademy.com/webpack/renderer/daecb491e565bc6b7390756d03fc1ee1.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,546,141,,,-1,-1,2,-1,-1,0,107,104.20.26.250,,110,,
44,,2019-10-11T15:14:27.001+03:00,GET,https://www.codecademy.com/webpack/renderer/3ce816c669e3c8a946f0895049a01e44.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,546,134,,,-1,-1,0,-1,-1,0,113,104.20.26.250,,114,,
45,,2019-10-11T15:14:27.062+03:00,GET,https://www.codecademy.com/webpack/renderer/e44a2755e60f248ec67d963ac2b1af4d.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,547,230,,,-1,-1,0,-1,-1,0,111,104.20.26.250,,113,,
46,,2019-10-11T15:14:27.085+03:00,GET,https://www.codecademy.com/webpack/renderer/1d77ee7d6c14c4a1b3b3737557a71c4a.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,547,430,,,-1,-1,0,-1,-1,0,97,104.20.26.250,,98,,
47,,2019-10-11T15:14:27.126+03:00,GET,https://www.codecademy.com/webpack/renderer/5c537833d79f7065497b565eaa7bca64.svg,HTTP/1.1,608,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,546,134,,,-1,-1,0,-1,-1,0,110,104.20.26.250,,111,,
48,,2019-10-11T15:14:27.134+03:00,GET,https://www.codecademy.com/webpack/19.b6ab6afa032c61e33267.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,2124,,,-1,-1,0,-1,-1,0,105,104.20.26.250,,106,,
49,,2019-10-11T15:14:27.134+03:00,GET,https://www.codecademy.com/webpack/30.01deeef3246b41a22447.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,548,449,,,-1,-1,0,-1,-1,0,100,104.20.26.250,,101,,
50,,2019-10-11T15:14:27.192+03:00,GET,https://www.codecademy.com/webpack/33.99f4e5c5da0f5bfd1e1f.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,548,370,,,-1,-1,0,-1,-1,0,97,104.20.26.250,,98,,
51,,2019-10-11T15:14:27.192+03:00,GET,https://www.codecademy.com/webpack/35.ef41960174a71bfffa71.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,533,45183,,,-1,-1,16,-1,-1,0,120,104.20.26.250,,137,,
52,,2019-10-11T15:14:27.194+03:00,GET,https://www.codecademy.com/webpack/54.c6ceed9dbbb70c2d9709.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,548,261,,,-1,-1,0,-1,-1,0,130,104.20.26.250,,131,,
53,,2019-10-11T15:14:27.244+03:00,GET,https://www.codecademy.com/webpack/60.56176250afd2522217e8.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,7538,,,-1,-1,2,-1,-1,0,111,104.20.26.250,,114,,
54,,2019-10-11T15:14:27.264+03:00,GET,https://www.codecademy.com/webpack/64.8346cf8dc462d1abc3b5.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,548,581,,,-1,-1,0,-1,-1,0,107,104.20.26.250,,109,,
55,,2019-10-11T15:14:27.307+03:00,GET,https://www.codecademy.com/webpack/74.2d0a5c50776418f3351f.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,533,11033,,,-1,-1,5,-1,-1,0,104,104.20.26.250,,109,,
56,,2019-10-11T15:14:27.344+03:00,GET,https://www.codecademy.com/webpack/76.e6eadcaf98061bbccc1b.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,5191,,,-1,-1,0,-1,-1,0,106,104.20.26.250,,107,,
57,,2019-10-11T15:14:27.344+03:00,GET,https://www.codecademy.com/webpack/92.060f8dca732740f7656f.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,548,604,,,-1,-1,0,-1,-1,0,95,104.20.26.250,,96,,
58,,2019-10-11T15:14:27.367+03:00,GET,https://www.codecademy.com/webpack/95.3ce728fe216c6f6c8170.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,548,477,,,-1,-1,0,-1,-1,0,111,104.20.26.250,,113,,
59,,2019-10-11T15:14:27.378+03:00,GET,https://www.codecademy.com/webpack/97.0726861b7b6b52d970ac.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,533,341,,,-1,-1,0,-1,-1,0,101,104.20.26.250,,102,,
60,,2019-10-11T15:14:27.426+03:00,GET,https://www.codecademy.com/webpack/111.3acb1f6a06ef20f96c4d.chunk.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,1315,,,-1,-1,0,-1,-1,0,97,104.20.26.250,,98,,
61,,2019-10-11T15:14:27.445+03:00,GET,https://www.codecademy.com/webpack/206.53ccb9eba54daddcdc25.chunk.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,533,222,,,-1,-1,0,-1,-1,0,106,104.20.26.250,,107,,
62,,2019-10-11T15:14:27.456+03:00,GET,https://www.codecademy.com/webpack/349.55d1ac6474d53504b643.chunk.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,400,,,-1,-1,0,-1,-1,0,108,104.20.26.250,,108,,
63,,2019-10-11T15:14:27.489+03:00,GET,https://www.codecademy.com/webpack/0.ca0a640802cc326fae67.chunk.js,HTTP/1.1,558,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,695,,,-1,-1,0,-1,-1,0,95,104.20.26.250,,95,,
64,,2019-10-11T15:14:27.489+03:00,GET,https://www.codecademy.com/webpack/1.6d5c009c56efa136192f.chunk.js,HTTP/1.1,558,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,1541,,,-1,-1,0,-1,-1,0,105,104.20.26.250,,106,,
65,,2019-10-11T15:14:27.531+03:00,GET,https://www.codecademy.com/webpack/2.88077818c53ae58d224d.chunk.js,HTTP/1.1,558,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,1769,,,-1,-1,0,-1,-1,0,95,104.20.26.250,,97,,
66,,2019-10-11T15:14:27.557+03:00,GET,https://www.codecademy.com/webpack/5.ce6520ce4e4ffa999aed.chunk.js,HTTP/1.1,558,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,1129,,,-1,-1,0,-1,-1,0,92,104.20.26.250,,93,,
67,,2019-10-11T15:14:27.569+03:00,GET,https://www.codecademy.com/webpack/6.4d03f66ca52972afce5e.chunk.js,HTTP/1.1,558,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,962,,,-1,-1,0,-1,-1,0,110,104.20.26.250,,111,,
68,,2019-10-11T15:14:27.589+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,364,0,,200,OK,HTTP/1.1,0,text/javascript,,,539,17803,,,985,0,27,29,959,1,98,216.58.206.14,,1142,,
69,,2019-10-11T15:14:27.591+03:00,GET,https://www.codecademy.com/webpack/8.675b103e714a7929afa1.chunk.js,HTTP/1.1,558,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,578,,,-1,-1,0,-1,-1,0,103,104.20.26.250,,104,,
70,,2019-10-11T15:14:27.599+03:00,GET,https://www.codecademy.com/webpack/18.18d1f019cd73cbe546f7.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,250,,,-1,-1,0,-1,-1,0,101,104.20.26.250,,102,,
71,,2019-10-11T15:14:27.632+03:00,GET,https://www.codecademy.com/webpack/22.f6d862cad611555a26da.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,1680,,,-1,-1,0,-1,-1,0,106,104.20.26.250,,107,,
72,,2019-10-11T15:14:27.654+03:00,GET,https://www.codecademy.com/webpack/23.01f049deb3213fb76cff.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,4401,,,-1,-1,0,-1,-1,0,105,104.20.26.250,,107,,
73,,2019-10-11T15:14:27.684+03:00,GET,https://www.codecademy.com/webpack/38.684fb127f25e22e03800.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,548,151,,,-1,-1,0,-1,-1,0,98,104.20.26.250,,99,,
74,,2019-10-11T15:14:27.698+03:00,GET,https://www.codecademy.com/webpack/44.ca94feeed596e2d895eb.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,548,963,,,-1,-1,0,-1,-1,0,100,104.20.26.250,,101,,
75,,2019-10-11T15:14:27.705+03:00,GET,https://www.codecademy.com/webpack/65.256aad6c4dc74839f2b4.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,548,336,,,-1,-1,0,-1,-1,0,102,104.20.26.250,,103,,
76,,2019-10-11T15:14:27.736+03:00,GET,https://www.google-analytics.com/gtm/js?id=GTM-KT2Q6GQ&cid=1735899033.1570796068,HTTP/1.1,399,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,21712,,,-1,-1,57,-1,-1,0,100,216.58.206.14,,158,value,
77,,2019-10-11T15:14:27.747+03:00,GET,https://www.codecademy.com/webpack/70.49599b7b57f0b9595047.chunk.js,HTTP/1.1,624,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,1510,,,-1,-1,0,-1,-1,0,114,104.20.26.250,,116,,
78,,2019-10-11T15:14:27.765+03:00,GET,https://www.codecademy.com/webpack/78.c75763734da2a155ad44.chunk.js,HTTP/1.1,624,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,3993,,,-1,-1,0,-1,-1,0,112,104.20.26.250,,113,,
79,,2019-10-11T15:14:27.787+03:00,GET,https://www.codecademy.com/webpack/91.e92939fecd8435a9fe3e.chunk.js,HTTP/1.1,624,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,1894,,,-1,-1,0,-1,-1,0,129,104.20.26.250,,130,,
80,,2019-10-11T15:14:27.804+03:00,GET,https://www.codecademy.com/webpack/110.c49f0bd683d218ba5410.chunk.js,HTTP/1.1,625,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,5310,,,-1,-1,0,-1,-1,0,113,104.20.26.250,,114,,
81,,2019-10-11T15:14:27.812+03:00,GET,https://www.codecademy.com/webpack/157.00ff16a23eb61935dcc7.chunk.js,HTTP/1.1,625,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,548,329,,,-1,-1,0,-1,-1,0,104,104.20.26.250,,105,,
82,,2019-10-11T15:14:27.870+03:00,GET,https://www.codecademy.com/webpack/189.22f2a60288ff70e38c7a.chunk.js,HTTP/1.1,625,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,974,,,-1,-1,0,-1,-1,0,99,104.20.26.250,,101,,
83,,2019-10-11T15:14:27.883+03:00,GET,https://www.codecademy.com/webpack/corporate-scenes-Landing.670d9c1678e41e2a5be1.chunk.js,HTTP/1.1,646,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,6805,,,-1,-1,1,-1,-1,0,94,104.20.26.250,,97,,
84,,2019-10-11T15:14:27.932+03:00,GET,https://www.codecademy.com/webpack/renderer/17c47851f2b9d7a7062206c5fd12ea42.svg,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,547,287,,,-1,-1,0,-1,-1,0,111,104.20.26.250,,112,,
85,,2019-10-11T15:14:27.932+03:00,GET,https://www.codecademy.com/webpack/renderer/1ca54a931e939a92042749dc8e8036d7.png,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,image/webp,,,664,5220,,,-1,-1,0,-1,-1,0,112,104.20.26.250,,113,,
86,,2019-10-11T15:14:27.932+03:00,GET,https://www.codecademy.com/webpack/renderer/0f483471fc5de0fc55d12a9cc626c020.png,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,image/webp,,,664,4224,,,-1,-1,0,-1,-1,0,122,104.20.26.250,,123,,
87,,2019-10-11T15:14:27.974+03:00,GET,https://www.codecademy.com/webpack/renderer/82298a46582c30688e1100c115c872e2.png,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,image/webp,,,664,4438,,,-1,-1,2,-1,-1,0,94,104.20.26.250,,96,,
88,,2019-10-11T15:14:27.985+03:00,GET,https://www.codecademy.com/webpack/renderer/75f7f135f11eb64f3f410110fd920b4a.png,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,image/webp,,,664,5910,,,-1,-1,1,-1,-1,0,99,104.20.26.250,,101,,
89,,2019-10-11T15:14:28.049+03:00,GET,https://www.codecademy.com/webpack/renderer/7a8e6dff611cd922d8e8c596115de97e.png,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,image/webp,,,663,3962,,,-1,-1,0,-1,-1,0,111,104.20.26.250,,112,,
90,,2019-10-11T15:14:28.049+03:00,GET,https://www.codecademy.com/webpack/3e39513599b8715e6105538836099f61.svg,HTTP/1.1,727,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,547,183,,,-1,-1,0,-1,-1,0,99,104.20.26.250,,100,,
91,,2019-10-11T15:14:28.059+03:00,GET,https://www.codecademy.com/webpack/GTMUserSignUp.072430f728649243c761.chunk.js,HTTP/1.1,635,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,548,267,,,-1,-1,0,-1,-1,0,101,104.20.26.250,,102,,
92,,2019-10-11T15:14:28.112+03:00,POST,https://www.codecademy.com/events/ad?authentication_token=,HTTP/1.1,757,747,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,930,41,,,-1,-1,0,-1,-1,0,216,104.20.26.250,,218,value,
93,,2019-10-11T15:14:28.115+03:00,POST,https://www.codecademy.com/events/user?authentication_token=,HTTP/1.1,759,729,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,908,41,,,-1,-1,0,-1,-1,0,224,104.20.26.250,,225,value,
94,,2019-10-11T15:14:28.155+03:00,GET,https://www.codecademy.com/webpack/e0d9df921d35e41443746c8c5ecde4d8.svg,HTTP/1.1,664,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,548,4070,,,-1,-1,0,-1,-1,0,115,104.20.26.250,,116,,
