,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.ssl,timings.wait,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name
23,,2019-10-11T14:05:59.806+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1973974207&t=pageview&_s=1&dl=https%3A%2F%2Fwww.incredibox.com%2F&ul=en-us&de=UTF-8&dt=Incredibox&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IEBAAUAB~&jid=1148629894&gjid=1775086767&cid=1452376143.1570791960&tid=UA-10301455-3&_gid=2093182349.1570791960&_r=1&gtm=2oua21&z=544278642,HTTP/1.1,688,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-10301455-3&cid=1452376143.1570791960&jid=1148629894&_gid=2093182349.1570791960&gjid=1775086767&_v=j79&z=544278642,646,419,,,-1,0,-1,91,-1,0,-1,216.58.206.14,,93,value
24,,2019-10-11T14:06:00.202+03:00,GET,https://connect.facebook.net/en_US/sdk.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,805,1779,,,43,0,2522,96,0,1,2543,157.240.1.23,,2684,
25,,2019-10-11T14:06:00.506+03:00,GET,https://connect.facebook.net/en_US/sdk.js?hash=cd9ab10336a3027228fd60e58ccae7a6&ua=modern_es6,HTTP/1.1,445,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,820,59079,,,0,0,167,102,0,86,198,157.240.1.23,,388,value
26,,2019-10-11T14:06:01.689+03:00,GET,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-10301455-3&cid=1452376143.1570791960&jid=1148629894&_gid=2093182349.1570791960&gjid=1775086767&_v=j79&z=544278642,HTTP/1.1,537,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://www.google.com/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-10301455-3&cid=1452376143.1570791960&jid=1148629894&_v=j79&z=544278642,674,366,,,0,0,1751,111,0,0,1783,74.125.140.154,,1896,value
27,,2019-10-11T14:06:02.477+03:00,GET,https://staticxx.facebook.com/connect/xd_arbiter.php?version=44,HTTP/1.1,535,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1020,12384,,,30,0,1686,114,0,4,1706,157.240.1.23,,1856,value
28,,2019-10-11T14:06:03.211+03:00,GET,https://www.youtube.com/iframe_api,HTTP/1.1,353,0,,200,OK,HTTP/1.1,0,application/javascript,,,394,859,,,21,0,5373,120,0,0,5397,216.58.208.46,,5540,
29,,2019-10-11T14:06:03.532+03:00,GET,https://www.google.com/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-10301455-3&cid=1452376143.1570791960&jid=1148629894&_v=j79&z=544278642,HTTP/1.1,492,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://www.google.co.il/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-10301455-3&cid=1452376143.1570791960&jid=1148629894&_v=j79&z=544278642&slf_rd=1&random=3464294283,742,0,,,0,0,1692,113,0,1,1724,216.58.205.228,,1840,value
30,,2019-10-11T14:06:07.610+03:00,GET,https://www.google.co.il/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-10301455-3&cid=1452376143.1570791960&jid=1148629894&_v=j79&z=544278642&slf_rd=1&random=3464294283,HTTP/1.1,521,0,,200,OK,HTTP/1.1,0,image/gif,,,547,42,,,0,0,3920,132,0,0,3953,172.217.22.35,,4088,value
31,,2019-10-11T14:06:08.414+03:00,GET,https://s.ytimg.com/yts/jsbin/www-widgetapi-vflLte76q/www-widgetapi.js,HTTP/1.1,389,0,,200,OK,HTTP/1.1,0,text/javascript,,,564,8697,,,20,0,5018,113,0,10,5053,172.217.22.110,,5199,
32,,2019-10-11T14:06:08.559+03:00,GET,https://www.youtube.com/embed/eMdLqaeWP-k?enablejsapi=1&origin=https%3A%2F%2Fwww.incredibox.com&widgetid=1,HTTP/1.1,578,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1078,20407,,,-1,1,-1,221,-1,52,-1,216.58.208.46,,275,value
