,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.ssl,timings.dns,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
28,facebook,2019-10-11T13:08:19.221+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,0,88,-1,-1,-1,-1,8,157.240.1.23,,97,value,
29,facebook,2019-10-11T13:08:19.228+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/pvgGi3z1Vjk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5861,,,0,92,-1,-1,-1,-1,4,157.240.1.23,,97,value,
30,facebook,2019-10-11T13:08:19.252+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,100,-1,-1,-1,-1,0,157.240.1.35,,102,,
31,facebook,2019-10-11T13:08:19.331+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,90,-1,-1,-1,-1,0,157.240.1.23,,91,,
32,facebook,2019-10-11T13:08:21.216+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/AVbt3QIdW-m.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16571,,,0,109,-1,-1,-1,-1,9,157.240.1.23,,119,value,
33,facebook,2019-10-11T13:08:21.313+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,105,3069,23,0,3098,0,157.240.1.35,,3229,,
34,facebook,2019-10-11T13:08:22.353+03:00,GET,https://cx.atdmt.com/?f=AYw8KWvRVGH9Kfq4bwFE6cZoBZld-0m8x5eIt5qZnv9E8vSqimqbZx1LV2WiCs9HXMu98Px16pfdEXpqITbxUCjw&c=1577042424&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,1,182,2928,20,0,2957,0,157.240.1.6,,3161,value,
35,facebook,2019-10-11T13:08:24.105+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43632,,,0,206,4799,0,0,4824,131,157.240.1.35,,5164,value,
36,facebook,2019-10-11T13:08:24.337+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,0,98,-1,-1,-1,-1,0,157.240.1.23,,99,value,
37,facebook,2019-10-11T13:08:24.338+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19280,,,0,91,-1,-1,-1,-1,47,157.240.1.23,,139,value,
