,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.ssl,timings.wait,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
28,facebook,2019-10-11T14:13:56.200+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,-1,0,-1,93,-1,-1,14,157.240.1.23,,108,value,
29,facebook,2019-10-11T14:13:56.201+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yq/r/BZz23nhoIDH.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5891,,,-1,0,-1,103,-1,-1,2,157.240.1.23,,107,value,
30,facebook,2019-10-11T14:13:56.249+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,117,-1,-1,0,157.240.1.35,,118,,
31,facebook,2019-10-11T14:13:56.326+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,-1,98,-1,-1,0,157.240.1.23,,99,,
32,facebook,2019-10-11T14:13:56.430+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ya/r/W9D9bG0TcGJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16635,,,-1,0,-1,105,-1,-1,14,157.240.1.23,,120,value,
33,facebook,2019-10-11T14:13:56.478+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,1,1125,127,0,1156,0,157.240.1.35,,1286,,
34,facebook,2019-10-11T14:13:59.027+03:00,GET,https://cx.atdmt.com/?f=AYzkDOqFPRmCUZqC6XmJM4P3jUENokFFQFQ34tRLz90wgT8LoE7W-zvIg39nHudMtN5vVtPsAa2PsmsOz7fgivei&c=2099646328&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,42,0,2547,182,0,2599,0,157.240.1.6,,2825,value,
35,facebook,2019-10-11T14:14:00.083+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43641,,,0,0,3775,217,0,3801,126,157.240.1.35,,4146,value,
36,facebook,2019-10-11T14:14:00.335+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,-1,1,-1,89,-1,-1,0,157.240.1.23,,91,value,
37,facebook,2019-10-11T14:14:00.336+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/UBVbWsrwWm4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37009,,,-1,0,-1,100,-1,-1,12,157.240.1.23,,113,value,
