,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.send,timings.wait,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
32,facebook,2019-10-11T17:45:54.726+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,1547,0,0,7,197,1530,32,31.13.92.36,,1786,,
33,facebook,2019-10-11T17:45:57.114+03:00,GET,https://cx.atdmt.com/?f=AYxDbsVge_4aSKfrF2xeWuCSvBY3Xazut1BanibZf72W6eQ6C5yjNtQf2Cr5qa8p2AwAvxw2g6wdgoR7zWWTRUX_&c=628094674&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,2633,0,0,19,149,2598,41,31.13.92.2,,2844,value,
34,facebook,2019-10-11T17:45:58.017+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43480,,,3736,0,103,0,285,3708,0,31.13.92.36,,4127,value,
35,facebook,2019-10-11T17:45:58.348+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,-1,-1,0,0,97,-1,-1,31.13.92.14,,98,value,
36,facebook,2019-10-11T17:45:58.349+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,30745,,,-1,-1,50,1,104,-1,-1,31.13.92.14,,156,value,
37,facebook,2019-10-11T17:45:58.350+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/QTs4IZYXXtO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80852,,,-1,-1,108,0,112,-1,-1,31.13.92.14,,222,value,
38,facebook,2019-10-11T17:45:58.389+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/mNswUs5Eoxc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36705,,,-1,-1,21,0,99,-1,-1,31.13.92.14,,120,value,
39,facebook,2019-10-11T17:46:00.754+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,2365,0,1,0,128,2329,39,172.217.18.4,,2535,,
40,facebook,2019-10-11T17:46:00.971+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yx/l/he_IL/34kUFJtPTLh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,347543,,,-1,-1,207,0,124,-1,-1,31.13.92.14,,333,value,
41,facebook,2019-10-11T17:46:00.972+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yX/l/he_IL/0cW48Pmuor8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17228,,,-1,-1,23,0,108,-1,-1,31.13.92.14,,133,value,
