,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.dns,timings.ssl,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
28,facebook,2019-10-11T19:20:25.195+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,114,0,-1,-1,0,-1,-1,31.13.92.14,,115,,
29,facebook,2019-10-11T19:20:27.730+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8229,,,216,0,-1,-1,9,-1,-1,31.13.92.14,,226,value,
30,facebook,2019-10-11T19:20:27.776+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,248,0,0,3603,0,0,3628,31.13.92.36,,3879,,
31,facebook,2019-10-11T19:20:27.998+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,661,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,193,0,-1,-1,1,-1,-1,31.13.92.36,,196,,
32,facebook,2019-10-11T19:20:28.206+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,661,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,186,2,-1,-1,1,-1,-1,31.13.92.36,,190,,
33,facebook,2019-10-11T19:20:30.823+03:00,GET,https://cx.atdmt.com/?f=AYz8TYXLZcmiR4A1SXBOB6yUnCaTCRx9gm2D_x8Ni9kAJJaqJUeL-3SpMDyaYUio4qTyBZTpb328pIir68YdzIGY&c=78566364&v=1&l=2,HTTP/1.1,508,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,145,0,28,2331,0,0,2360,31.13.92.2,,2534,value,
34,facebook,2019-10-11T19:20:31.196+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43431,,,259,0,27,2901,134,0,2930,31.13.92.36,,3353,value,
35,facebook,2019-10-11T19:20:31.500+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,106,0,-1,-1,0,-1,-1,31.13.92.14,,108,value,
36,facebook,2019-10-11T19:20:31.501+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,30745,,,88,0,-1,-1,55,-1,-1,31.13.92.14,,144,value,
37,facebook,2019-10-11T19:20:31.501+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/QTs4IZYXXtO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80852,,,106,0,-1,-1,123,-1,-1,31.13.92.14,,230,value,
38,facebook,2019-10-11T19:20:31.521+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/mNswUs5Eoxc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36705,,,98,0,-1,-1,30,-1,-1,31.13.92.14,,128,value,
39,facebook,2019-10-11T19:20:32.381+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,105,0,19,835,9,0,862,172.217.18.4,,997,,
40,facebook,2019-10-11T19:20:32.622+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yx/l/he_IL/34kUFJtPTLh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,347543,,,118,0,-1,-1,151,-1,-1,31.13.92.14,,270,value,
41,facebook,2019-10-11T19:20:32.622+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yX/l/he_IL/0cW48Pmuor8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17228,,,114,0,-1,-1,5,-1,-1,31.13.92.14,,120,value,
42,facebook,2019-10-11T19:20:32.623+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/itt5OggiRv_.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,697,,,100,0,-1,-1,0,-1,-1,31.13.92.14,,101,value,
