,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.dns,timings.wait,timings.ssl,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
28,facebook,2019-10-11T14:44:56.170+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,0,-1,100,-1,4,-1,-1,157.240.1.23,,105,value,
29,facebook,2019-10-11T14:44:56.329+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,-1,96,-1,0,-1,-1,157.240.1.23,,97,,
30,facebook,2019-10-11T14:44:56.793+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8229,,,0,-1,105,-1,9,-1,-1,157.240.1.23,,115,value,
31,facebook,2019-10-11T14:44:56.843+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,0,104,1590,1,0,1620,157.240.1.35,,1728,,
32,facebook,2019-10-11T14:44:56.956+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,661,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,1,-1,104,-1,1,-1,-1,157.240.1.35,,106,,
33,facebook,2019-10-11T14:44:57.074+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,661,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,1,-1,111,-1,1,-1,-1,157.240.1.35,,114,,
34,facebook,2019-10-11T14:44:59.231+03:00,GET,https://cx.atdmt.com/?f=AYz28IrLrLC2reeIBEJsbGndVWL21shDgRxHITRFM4g9WZkwK-n52MrVCVUaUBK6Nuu0azwcfi-mCk6wPw22AHq9&c=2103060301&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,0,32,515,1948,0,0,1976,157.240.1.6,,2525,value,
35,facebook,2019-10-11T14:45:00.388+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43647,,,0,0,220,3234,135,0,3268,31.13.92.36,,3625,value,
36,facebook,2019-10-11T14:45:00.642+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,0,-1,108,-1,2,-1,-1,157.240.1.23,,111,value,
37,facebook,2019-10-11T14:45:00.644+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/qK5lHUCv_Rg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81210,,,1,0,105,123,117,0,151,157.240.1.23,,375,value,
