,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.wait,timings.ssl,timings.dns,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
25,facebook,2019-10-11T14:04:54.140+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yI/l/he_IL/CyJR3gPZyrL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4122,,,-1,-1,4,100,-1,-1,0,31.13.92.14,,105,value,
26,facebook,2019-10-11T14:04:54.140+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yJ/r/GMuvW6fMoph.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4811,,,-1,-1,3,98,-1,-1,0,31.13.92.14,,102,value,
27,facebook,2019-10-11T14:04:54.141+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yH/l/he_IL/AXXOjWBNuBI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17815,,,-1,-1,35,103,-1,-1,0,31.13.92.14,,139,value,
28,facebook,2019-10-11T14:04:54.141+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,-1,-1,0,109,-1,-1,0,31.13.92.14,,110,value,
29,facebook,2019-10-11T14:04:54.184+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,101,-1,-1,0,157.240.1.35,,103,,
30,facebook,2019-10-11T14:04:54.189+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,-1,-1,5,99,-1,-1,0,31.13.92.14,,105,value,
31,facebook,2019-10-11T14:04:54.248+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yq/r/BZz23nhoIDH.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5891,,,-1,-1,3,104,-1,-1,0,31.13.92.14,,108,value,
32,facebook,2019-10-11T14:04:54.291+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,105,-1,-1,0,157.240.1.35,,106,,
33,facebook,2019-10-11T14:04:54.395+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,-1,0,105,-1,-1,0,31.13.92.14,,106,,
34,facebook,2019-10-11T14:04:57.638+03:00,GET,https://cx.atdmt.com/?f=AYwoFnZt3VBU4MQ7E-e1q2XuVeGIAwV-cYSdYed1kpSArVOPlv_rpDT-P9Zj7SpOeLuyEubRTE1i7KcNMj_vIztq&c=99703146&v=1&l=2,HTTP/1.1,508,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,3144,0,0,180,3118,32,0,157.240.1.6,,3358,value,
