,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.ssl,timings.wait,timings.send,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
10,facebook,2019-10-08T18:12:41.810+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,521,42565,,,224,0,72,196,85,1,0,157.240.1.23,,383,,
11,facebook,2019-10-08T18:12:41.823+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,522,,,217,0,1,189,93,0,0,157.240.1.23,,314,,
12,facebook,2019-10-08T18:12:41.923+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,106343,,,-1,-1,190,-1,93,0,-1,157.240.1.23,,284,,
13,facebook,2019-10-08T18:12:41.974+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,14105,,,-1,-1,6,-1,86,0,-1,157.240.1.23,,93,,
14,facebook,2019-10-08T18:12:42.075+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,520,1163,,,152,0,1,133,97,1,0,157.240.1.23,,252,,
15,facebook,2019-10-08T18:12:42.075+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,17094,,,-1,-1,0,-1,102,0,-1,157.240.1.23,,103,,
16,facebook,2019-10-08T18:12:42.215+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,34889,,,-1,-1,13,-1,97,0,-1,157.240.1.23,,112,value,
17,facebook,2019-10-08T18:12:42.219+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,116166,,,-1,-1,102,-1,95,0,-1,157.240.1.23,,198,value,
18,facebook,2019-10-08T18:12:42.221+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,60318,,,-1,-1,94,-1,89,0,-1,157.240.1.23,,185,value,
19,facebook,2019-10-08T18:12:45.364+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,136441,,,-1,-1,126,-1,95,2,-1,157.240.1.23,,225,value,
20,facebook,2019-10-08T18:12:45.414+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,3505,0,1,3478,137,0,32,31.13.92.36,,3677,,
21,facebook,2019-10-08T18:12:45.653+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,13966,,,-1,-1,21,-1,95,0,-1,157.240.1.23,,117,value,
22,facebook,2019-10-08T18:12:45.654+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yb/l/he_IL/CuIN-hfxi4f.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,46984,,,-1,-1,14,-1,137,0,-1,157.240.1.23,,153,value,
23,facebook,2019-10-08T18:12:45.655+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/AVbt3QIdW-m.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,16571,,,-1,-1,30,-1,103,0,-1,157.240.1.23,,135,value,
24,facebook,2019-10-08T18:12:45.655+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/06CIkL91CFL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,8183,,,-1,-1,13,-1,97,0,-1,157.240.1.23,,110,value,
25,facebook,2019-10-08T18:12:45.656+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iPY24/ys/l/he_IL/MOsw72LED37.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,65677,,,-1,-1,102,-1,134,0,-1,157.240.1.23,,237,value,
26,facebook,2019-10-08T18:12:45.656+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yf/l/he_IL/XsCCfAW0XcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,7317,,,-1,-1,19,-1,112,0,-1,157.240.1.23,,131,value,
27,facebook,2019-10-08T18:12:45.818+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ioCg4/yk/l/he_IL/PF7x0GyKa-W.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,142844,,,-1,-1,76,-1,112,0,-1,157.240.1.23,,190,value,
28,facebook,2019-10-08T18:12:45.821+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,38860,,,-1,-1,30,-1,86,0,-1,157.240.1.23,,118,value,
29,facebook,2019-10-08T18:12:45.822+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ibNQ4/yU/l/he_IL/hToT5-LTBQI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,149039,,,-1,-1,92,-1,97,0,-1,157.240.1.23,,191,value,
30,facebook,2019-10-08T18:12:45.822+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,2375,,,-1,-1,1,-1,94,0,-1,157.240.1.23,,96,value,
31,facebook,2019-10-08T18:12:45.822+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,9881,,,-1,-1,4,-1,96,0,-1,157.240.1.23,,100,value,
32,facebook,2019-10-08T18:12:45.830+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,-1,128,0,-1,157.240.1.35,,130,,
33,facebook,2019-10-08T18:12:45.901+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/n8J09kaIuqi.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,5711,,,-1,-1,0,-1,108,0,-1,157.240.1.23,,109,value,
34,facebook,2019-10-08T18:12:45.969+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,-1,136,0,-1,157.240.1.35,,137,,
35,facebook,2019-10-08T18:12:46.086+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,518,43,,,-1,-1,0,-1,89,0,-1,157.240.1.23,,90,,
36,facebook,2019-10-08T18:12:48.075+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44050,,,1788,0,123,1762,219,0,0,31.13.92.36,,2132,value,
37,facebook,2019-10-08T18:12:48.312+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,533,131,,,-1,-1,0,-1,95,1,-1,157.240.1.23,,96,value,
38,facebook,2019-10-08T18:12:48.312+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,36688,,,-1,-1,69,-1,99,1,-1,157.240.1.23,,170,value,
39,facebook,2019-10-08T18:12:48.312+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,80583,,,152,0,137,122,97,0,0,157.240.1.23,,388,value,
40,facebook,2019-10-08T18:12:48.795+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,19296,,,-1,-1,5,-1,98,0,-1,157.240.1.23,,104,value,
41,facebook,2019-10-08T18:12:48.842+03:00,GET,https://cx.atdmt.com/?f=AYwhrTtFxc3Z5WQ4yvxfVMVrxgHGqqpKdi8Fd_iRTucrtaJ9e9ILmNWD1n-nKggsq7RI19AlP-4hSkY8B3j-wA6n&c=157605863&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,2527,0,0,2490,132,0,24,31.13.92.2,,2684,value,
42,facebook,2019-10-08T18:12:50.119+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,1804,0,1,1767,110,0,0,172.217.18.4,,1918,,
43,facebook,2019-10-08T18:12:50.350+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,13966,,,-1,-1,22,-1,102,0,-1,157.240.1.23,,125,value,
44,facebook,2019-10-08T18:12:50.352+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/OJpt53iffhD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,594,698,,,-1,-1,1,-1,94,0,-1,157.240.1.23,,96,value,
45,facebook,2019-10-08T18:12:50.353+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,34889,,,-1,-1,66,-1,100,4,-1,157.240.1.23,,171,value,
46,facebook,2019-10-08T18:12:50.357+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,60318,,,-1,-1,31,-1,94,1,-1,157.240.1.23,,127,value,
47,facebook,2019-10-08T18:12:50.357+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,136441,,,254,0,185,207,105,0,0,157.240.1.23,,545,value,
48,facebook,2019-10-08T18:12:50.357+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,116166,,,235,0,162,198,90,1,0,157.240.1.23,,490,value,
49,facebook,2019-10-08T18:12:50.457+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,38860,,,-1,-1,12,-1,89,1,-1,157.240.1.23,,103,value,
50,facebook,2019-10-08T18:12:51.099+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,837,0,130,805,95,0,0,172.217.22.35,,1065,,
51,facebook,2019-10-08T18:12:51.349+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=86g8ihowdvnt,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9561,,,-1,-1,31,-1,124,0,-1,172.217.18.4,,156,value,
52,facebook,2019-10-08T18:12:51.517+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,-1,51,-1,96,0,-1,172.217.22.35,,148,,
53,facebook,2019-10-08T18:12:51.671+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,-1,-1,56,-1,92,0,-1,172.217.22.35,,149,,
54,facebook,2019-10-08T18:12:51.850+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,-1,-1,2,-1,88,0,-1,172.217.18.4,,91,,
55,facebook,2019-10-08T18:12:51.944+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=hcy88t53c1z,HTTP/1.1,672,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1123,,,-1,-1,2,-1,93,0,-1,172.217.18.4,,96,value,
56,facebook,2019-10-08T18:12:51.993+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,140,0,1,103,101,0,0,172.217.18.4,,243,value,
57,facebook,2019-10-08T18:12:52.089+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001267097&__s=0mk2bg%3A59h916%3A72537m&__hsi=6745454879264199718-0&__spin_r=1001267097&__spin_b=trunk&__spin_t=1570548601,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,-1,0,0,-1,157.240.1.35,,0,value,No response received
