,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.send,timings.dns,timings.ssl,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
31,facebook,2019-09-28T18:49:28.895+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yH/l/he_IL/gFylS2EXD7x.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,15605,,,11,-1,-1,0,-1,-1,446,157.240.1.23,,458,value,
32,facebook,2019-09-28T18:49:28.928+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/x9mvWUy_crF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4374,,,2,-1,-1,0,-1,-1,113,157.240.1.23,,117,value,
33,facebook,2019-09-28T18:49:29.051+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yr/l/he_IL/CsLqpwK7m82.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13490,,,12,-1,-1,0,-1,-1,122,157.240.1.23,,135,value,
34,facebook,2019-09-28T18:49:29.051+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,1,-1,-1,0,-1,-1,125,157.240.1.23,,127,value,
35,facebook,2019-09-28T18:49:29.145+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yj/r/7IfOm1SRTox.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2116,,,1,-1,-1,0,-1,-1,95,157.240.1.23,,97,value,
36,facebook,2019-09-28T18:49:29.210+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,2,-1,-1,0,-1,-1,97,157.240.1.23,,100,,
37,facebook,2019-09-28T18:49:29.524+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/y3/l/he_IL/wSoaFW7wWeN.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7081,,,6,-1,-1,0,-1,-1,101,157.240.1.23,,108,value,
38,facebook,2019-09-28T18:49:29.582+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,2364,0,0,0,2270,119,157.240.1.35,,2485,,
39,facebook,2019-09-28T18:49:32.969+03:00,GET,https://cx.atdmt.com/?f=AYxC4InGkbVQaT1mpSkRneFPj491X1rhsS5D7SSrhE4cEf9xaefbs3U9bVmswFO5Ps627_7110KEhJE5vsRgQNGf&c=736071192&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,537,42,,,0,3662,0,0,0,3567,137,157.240.1.6,,3801,value,
40,facebook,2019-09-28T18:49:37.247+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,4915,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,0,-1,-1,1,-1,-1,111,157.240.1.35,,113,,
41,facebook,2019-09-28T18:49:39.513+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1420,43098,,,217,10619,0,0,0,1477,229,157.240.1.35,,11068,value,
42,facebook,2019-09-28T18:49:39.764+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,213,-1,-1,0,-1,-1,118,157.240.1.23,,332,value,
43,facebook,2019-09-28T18:49:39.764+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/bfvR9xuXjag.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,164,,,1,-1,-1,0,-1,-1,108,157.240.1.23,,110,value,
44,facebook,2019-09-28T18:49:39.765+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,8,-1,-1,0,-1,-1,115,157.240.1.23,,124,value,
45,facebook,2019-09-28T18:49:39.877+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/uVMI02gYvfk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80563,,,111,-1,-1,0,-1,-1,105,157.240.1.23,,216,value,
46,facebook,2019-09-28T18:49:40.862+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,465,,,2,1097,0,0,1,1009,93,172.217.22.36,,1195,,
47,facebook,2019-09-28T18:49:41.079+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,39,-1,-1,0,-1,-1,97,157.240.1.23,,137,value,
48,facebook,2019-09-28T18:49:41.079+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iyLU4/y5/l/he_IL/nHWBLEegsyI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,332251,,,513,-1,-1,0,-1,-1,100,157.240.1.23,,614,value,
49,facebook,2019-09-28T18:49:41.079+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,29,-1,-1,0,-1,-1,100,157.240.1.23,,130,value,
50,facebook,2019-09-28T18:49:41.080+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,2,316,0,0,0,198,113,157.240.1.23,,433,value,
51,facebook,2019-09-28T18:49:45.453+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,303,4476,0,0,0,1398,67,172.217.18.3,,4849,,
52,facebook,2019-09-28T18:49:45.855+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=40lon1cj5ik,HTTP/1.1,721,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,10486,,,17,-1,-1,0,-1,-1,122,172.217.22.36,,140,value,
53,facebook,2019-09-28T18:49:45.994+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,574,0,,200,OK,HTTP/1.1,0,text/css,,,481,91705,,,136,-1,-1,0,-1,-1,76,172.217.18.3,,213,,
54,facebook,2019-09-28T18:49:46.211+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,60,-1,-1,0,-1,-1,64,172.217.18.3,,125,,
55,facebook,2019-09-28T18:49:46.378+03:00,GET,https://www.google.com/js/bg/JBwSXsc__bL1AIIwyKh3QnwBHg7D-WM3_5_AwioMKBk.js,HTTP/1.1,552,0,,200,OK,HTTP/1.1,0,text/javascript,,,487,5282,,,13,-1,-1,0,-1,-1,76,172.217.22.36,,90,,
56,facebook,2019-09-28T18:49:46.470+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,564,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,112,,,8,-1,-1,0,-1,-1,82,172.217.22.36,,91,value,
57,facebook,2019-09-28T18:49:46.541+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=5ubu69mqmcut,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,1123,,,1,158,0,0,0,83,113,172.217.22.36,,274,value,
58,facebook,2019-09-28T18:49:46.688+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,526,0,,200,OK,HTTP/1.1,0,text/css,,,481,91705,,,57,-1,-1,0,-1,-1,85,172.217.18.3,,143,,
59,facebook,2019-09-28T18:49:46.835+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,49,-1,-1,0,-1,-1,67,172.217.18.3,,118,,
60,facebook,2019-09-28T18:49:46.898+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001232246&__s=mq2nsh%3A7woz6w%3Ab4vl7u&__hsi=6741753454920411823-0&__spin_r=1001232246&__spin_b=trunk&__spin_t=1569686796,HTTP/1.1,827,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,0,-1,-1,0,157.240.1.35,,0,value,No response received
