,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.wait,timings.dns,timings.ssl,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
28,facebook,2019-10-12T08:13:13.272+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/233ChOovuGQ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,5907,,,-1,2,-1,98,-1,-1,0,157.240.1.23,,102,value,
29,facebook,2019-10-12T08:13:13.287+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,103,-1,-1,0,157.240.1.35,,104,,
30,facebook,2019-10-12T08:13:13.461+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,518,43,,,-1,0,-1,87,-1,-1,0,157.240.1.23,,87,,
31,facebook,2019-10-12T08:13:14.793+03:00,GET,https://cx.atdmt.com/?f=AYyoeQaQb0XO6vpFETFa-lm2cYD_BF0avf9dG1UO-O-y22DRJ835CKiHlv08P2Q-q3PW_bJTbIOVO1v-POYtzeNA&c=1589308628&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,536,42,,,1188,0,0,132,97,1159,0,157.240.1.6,,1418,value,
32,facebook,2019-10-12T08:13:16.042+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43692,,,2513,200,0,175,25,2478,0,157.240.1.35,,2916,value,
33,facebook,2019-10-12T08:13:16.237+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,533,153,,,-1,0,-1,145,-1,-1,0,157.240.1.23,,146,value,
34,facebook,2019-10-12T08:13:16.237+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,30745,,,-1,68,-1,138,-1,-1,0,157.240.1.23,,207,value,
35,facebook,2019-10-12T08:13:16.237+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/mOsfnMuZ_Ej.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36856,,,-1,47,-1,132,-1,-1,0,157.240.1.23,,180,value,
36,facebook,2019-10-12T08:13:16.237+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,80884,,,-1,125,-1,132,-1,-1,0,157.240.1.23,,258,value,
37,facebook,2019-10-12T08:13:17.849+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yd/l/he_IL/et_JXsYk1k4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,16033,,,-1,17,-1,90,-1,-1,0,157.240.1.23,,108,value,
