,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.ssl,timings.wait,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
34,facebook,2019-10-08T16:14:15.415+03:00,GET,https://cx.atdmt.com/?f=AYxcj2-eTtWsjuroY3oYtgWp-KL4Wnh8C6Xy4g_bJtl8I5-pnswSUrv0kiS1lfCD6GhYBGedR-cxgqz60uecDzba&c=1291716326&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,18,0,2684,147,0,2715,0,31.13.92.2,,2882,value,
35,facebook,2019-10-08T16:14:17.302+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43540,,,35,1,4696,202,131,4722,0,31.13.92.36,,5093,value,
36,facebook,2019-10-08T16:14:17.525+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,-1,0,-1,116,0,-1,-1,31.13.92.14,,117,value,
37,facebook,2019-10-08T16:14:17.525+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yV/l/0,cross/mb5XQCa6Kku.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37191,,,-1,0,-1,102,93,-1,-1,31.13.92.14,,197,value,
38,facebook,2019-10-08T16:14:17.525+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/66VkRtZyUph.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,41049,,,-1,0,-1,115,15,-1,-1,31.13.92.14,,132,value,
39,facebook,2019-10-08T16:14:17.526+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,0,0,123,108,129,147,0,31.13.92.14,,386,value,
40,facebook,2019-10-08T16:14:18.073+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/VVEffoZ9eOt.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10421,,,-1,0,-1,96,6,-1,-1,31.13.92.14,,103,value,
41,facebook,2019-10-08T16:14:18.136+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,0,7475,138,1,7508,0,31.13.92.36,,7649,,
42,facebook,2019-10-08T16:14:19.772+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,1,0,2203,92,0,2244,0,172.217.18.4,,2339,,
43,facebook,2019-10-08T16:14:19.961+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,-1,0,-1,88,1,-1,-1,31.13.92.14,,90,value,
44,facebook,2019-10-08T16:14:19.961+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iunM4/yf/l/he_IL/PyIndVDJDGO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,344282,,,-1,0,-1,93,182,-1,-1,31.13.92.14,,276,value,
45,facebook,2019-10-08T16:14:19.961+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ifmc4/yZ/l/he_IL/qn9QUahHfcD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17031,,,-1,0,-1,90,8,-1,-1,31.13.92.14,,99,value,
46,facebook,2019-10-08T16:14:22.538+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,4443,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,0,-1,142,0,-1,-1,31.13.92.36,,143,,
47,facebook,2019-10-08T16:14:22.590+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,36,0,2639,85,128,2674,0,172.217.22.67,,2925,,
48,facebook,2019-10-08T16:14:22.837+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=mzowupmbfqd3,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9725,,,-1,0,-1,122,27,-1,-1,172.217.18.4,,151,value,
49,facebook,2019-10-08T16:14:22.976+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,0,-1,105,40,-1,-1,172.217.22.67,,146,,
50,facebook,2019-10-08T16:14:23.128+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,-1,0,-1,79,35,-1,-1,172.217.22.67,,115,,
51,facebook,2019-10-08T16:14:23.279+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,-1,0,-1,98,3,-1,-1,172.217.18.4,,102,,
52,facebook,2019-10-08T16:14:23.384+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,-1,0,-1,101,1,-1,-1,172.217.18.4,,102,value,
53,facebook,2019-10-08T16:14:23.437+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=ux1705gwyvx2,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1123,,,0,0,118,102,3,153,0,172.217.18.4,,260,value,
54,facebook,2019-10-08T16:14:23.518+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,-1,,,-1,0,-1,91,0,-1,-1,172.217.22.67,,92,,
55,facebook,2019-10-08T16:14:23.594+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001266966&__s=9ikd2p%3Anajm7n%3A3bd7b1&__hsi=6745424341571656220-0&__spin_r=1001266966&__spin_b=trunk&__spin_t=1570541491,HTTP/1.1,827,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,0,0,-1,-1,31.13.92.36,,0,value,No response received
