,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.wait,timings.send,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
40,facebook,2019-10-12T08:04:49.680+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,124,0,1616,1661,1,0,172.217.21.228,,1789,,
41,facebook,2019-10-12T08:04:49.921+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/y-/l/he_IL/W-woTzJGqSB.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,348418,,,-1,84,0,-1,-1,185,-1,157.240.1.23,,270,value,
42,facebook,2019-10-12T08:04:49.924+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yP/l/he_IL/mXPf-qaonmW.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,17237,,,-1,102,0,-1,-1,35,-1,157.240.1.23,,138,value,
43,facebook,2019-10-12T08:04:49.925+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/itt5OggiRv_.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,594,697,,,-1,109,0,-1,-1,1,-1,157.240.1.23,,111,value,
44,facebook,2019-10-12T08:04:49.926+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y-/l/he_IL/eGwNTDKtx18.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,38551,,,-1,103,0,-1,-1,28,-1,157.240.1.23,,133,value,
45,facebook,2019-10-12T08:04:51.664+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,0,91,0,1803,1844,143,0,172.217.22.67,,2081,,
46,facebook,2019-10-12T08:04:51.929+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=l0qgag2nrqwa,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9548,,,-1,128,0,-1,-1,5,-1,172.217.21.228,,134,value,
47,facebook,2019-10-12T08:04:52.075+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,-1,79,0,-1,-1,50,-1,172.217.22.67,,130,,
48,facebook,2019-10-12T08:04:52.209+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,-1,83,0,-1,-1,54,-1,172.217.22.67,,138,,
49,facebook,2019-10-12T08:04:52.396+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,-1,90,0,-1,-1,5,-1,172.217.21.228,,96,,
50,facebook,2019-10-12T08:04:52.495+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,-1,99,0,-1,-1,1,-1,172.217.21.228,,101,value,
51,facebook,2019-10-12T08:04:52.552+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=szet5nwwu1fi,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1122,,,0,96,1,115,142,2,0,172.217.21.228,,242,value,
52,facebook,2019-10-12T08:04:52.644+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,-1,91,0,-1,-1,43,-1,172.217.22.67,,135,,
53,facebook,2019-10-12T08:04:52.684+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,526,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,0,90,1,112,135,154,0,172.217.22.67,,382,,
54,facebook,2019-10-12T08:04:53.012+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001287745&__s=ga8xnk%3A5q1j5o%3Apr9iaq&__hsi=6746782535684140529-0&__spin_r=1001287745&__spin_b=trunk&__spin_t=1570857720,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,-1,0,0,-1,-1,0,-1,157.240.1.35,,0,value,No response received
