,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.ssl,timings.dns,timings.wait,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
43,facebook,2019-10-12T15:35:59.728+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y4/l/0,cross/V27Eh7Ae0G5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,12847,,,-1,-1,6,-1,-1,97,1,31.13.92.14,,105,value,
44,facebook,2019-10-12T15:35:59.729+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80884,,,-1,-1,70,-1,-1,105,1,31.13.92.14,,177,value,
45,facebook,2019-10-12T15:36:02.813+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,3093,5,3054,1,116,0,172.217.18.4,,3216,,
46,facebook,2019-10-12T15:36:03.072+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yG/l/he_IL/C2rdfnuuzwM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,99772,,,-1,-1,99,-1,-1,131,0,31.13.92.14,,231,value,
47,facebook,2019-10-12T15:36:03.073+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,-1,-1,2,-1,-1,127,0,31.13.92.14,,130,value,
48,facebook,2019-10-12T15:36:03.073+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yN/l/he_IL/12qn2khst7s.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,23448,,,-1,-1,18,-1,-1,119,0,31.13.92.14,,138,value,
49,facebook,2019-10-12T15:36:03.075+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yu/r/wnLfF7HhDR3.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,52324,,,0,180,98,141,0,118,0,31.13.92.14,,398,value,
50,facebook,2019-10-12T15:36:03.075+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iDFL4/yV/l/he_IL/YCq2rMVAOEr.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,162809,,,-1,-1,158,-1,-1,105,0,31.13.92.14,,264,value,
51,facebook,2019-10-12T15:36:03.077+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iO1G4/yw/l/he_IL/-eqlaODzE8I.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,6217,,,0,182,2,149,0,126,1,31.13.92.14,,313,value,
52,facebook,2019-10-12T15:36:03.477+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,3078,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,-1,0,-1,-1,124,1,31.13.92.36,,126,,
53,facebook,2019-10-12T15:36:04.517+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,0,1551,149,1522,1,104,0,172.217.22.35,,1808,,
54,facebook,2019-10-12T15:36:04.830+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=xd31fhnhx4h0,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9391,,,-1,-1,12,-1,-1,123,0,172.217.18.4,,137,value,
55,facebook,2019-10-12T15:36:04.980+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,-1,-1,62,-1,-1,88,0,172.217.22.35,,151,,
56,facebook,2019-10-12T15:36:05.117+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,0,141,151,114,0,85,0,172.217.22.35,,379,,
57,facebook,2019-10-12T15:36:05.390+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5384,,,-1,-1,3,-1,-1,96,0,172.217.18.4,,100,,
58,facebook,2019-10-12T15:36:05.492+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=evifuq6yflan,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1122,,,-1,-1,0,-1,-1,111,0,172.217.18.4,,113,value,
59,facebook,2019-10-12T15:36:05.554+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,160,0,119,0,95,0,172.217.18.4,,257,value,
60,facebook,2019-10-12T15:36:05.667+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001288592&__s=0pv32p%3Ayko0i2%3Aoya3y4&__hsi=6746898833917817363-0&__spin_r=1001288592&__spin_b=trunk&__spin_t=1570884798,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,-1,-1,0,0,31.13.92.36,,0,value,No response received
61,facebook,2019-10-12T15:36:05.674+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,-1,-1,0,0,172.217.22.35,,0,,No response received
