,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.send,timings.wait,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
27,facebook,2019-10-08T16:31:11.884+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ibNQ4/yU/l/he_IL/hToT5-LTBQI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,149039,,,-1,78,-1,0,141,-1,-1,31.13.92.14,,221,value,
28,facebook,2019-10-08T16:31:11.895+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,2,-1,0,126,-1,-1,31.13.92.14,,129,value,
29,facebook,2019-10-08T16:31:11.904+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,-1,9,-1,0,119,-1,-1,31.13.92.14,,129,value,
30,facebook,2019-10-08T16:31:11.909+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,0,147,-1,-1,31.13.92.36,,148,,
31,facebook,2019-10-08T16:31:12.041+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/n8J09kaIuqi.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5711,,,-1,2,-1,0,107,-1,-1,31.13.92.14,,111,value,
32,facebook,2019-10-08T16:31:12.068+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,1,-1,0,151,-1,-1,31.13.92.36,,153,,
33,facebook,2019-10-08T16:31:13.206+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iPY24/ys/l/he_IL/MOsw72LED37.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,65677,,,-1,110,-1,0,112,-1,-1,31.13.92.14,,223,value,
34,facebook,2019-10-08T16:31:13.253+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,0,2592,0,141,2500,0,31.13.92.36,,2736,,
35,facebook,2019-10-08T16:31:13.493+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,-1,0,105,-1,-1,31.13.92.14,,106,,
36,facebook,2019-10-08T16:31:14.306+03:00,GET,https://cx.atdmt.com/?f=AYw7THWYSgWGr5PJWisTPRDd7cQF-I-BxwpoLCySRbXaRcc7_q2_d1kYQw2oLbs6VDHTsIAYWECEZHnTy-GJw178&c=880872018&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,0,0,1886,0,135,1858,33,31.13.92.2,,2056,value,
37,facebook,2019-10-08T16:31:14.774+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44047,,,0,126,2393,0,256,2357,0,31.13.92.36,,2778,value,
38,facebook,2019-10-08T16:31:15.082+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,-1,59,-1,0,111,-1,-1,31.13.92.14,,171,value,
39,facebook,2019-10-08T16:31:15.082+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,-1,33,-1,0,100,-1,-1,31.13.92.14,,134,value,
40,facebook,2019-10-08T16:31:15.083+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,-1,97,-1,0,100,-1,-1,31.13.92.14,,198,value,
41,facebook,2019-10-08T16:31:15.113+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,-1,0,-1,0,91,-1,-1,31.13.92.14,,92,value,
42,facebook,2019-10-08T16:31:17.521+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,0,2409,0,111,2379,29,172.217.18.4,,2551,,
43,facebook,2019-10-08T16:31:17.709+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,-1,19,-1,0,97,-1,-1,31.13.92.14,,117,value,
44,facebook,2019-10-08T16:31:17.711+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/OJpt53iffhD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,698,,,-1,0,-1,0,127,-1,-1,31.13.92.14,,128,value,
45,facebook,2019-10-08T16:31:17.711+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,-1,52,-1,0,111,-1,-1,31.13.92.14,,164,value,
46,facebook,2019-10-08T16:31:17.712+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,-1,26,-1,1,117,-1,-1,31.13.92.14,,145,value,
