,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.send,timings.wait,timings.dns,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name
10,facebook,2019-10-08T15:59:32.624+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/y8/r/dF5SId3UHWd.svg,HTTP/1.1,410,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,1190,1030,,,327,7,102,0,0,352,0,31.13.92.14,,463,
11,facebook,2019-10-08T15:59:32.671+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,340,1,109,0,68,370,0,31.13.92.14,,549,
12,facebook,2019-10-08T15:59:32.741+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,128,1,88,0,162,146,0,31.13.92.14,,398,
13,facebook,2019-10-08T15:59:32.741+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/YQNfPR9MJfx.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,520,925,,,-1,0,92,-1,0,-1,-1,31.13.92.14,,93,
14,facebook,2019-10-08T15:59:32.748+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,123,1,95,0,26,150,0,31.13.92.14,,273,
15,facebook,2019-10-08T15:59:32.755+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,116,0,96,0,7,152,0,31.13.92.14,,257,
16,facebook,2019-10-08T15:59:32.822+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iunM4/yf/l/he_IL/PyIndVDJDGO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,344282,,,-1,0,88,-1,178,-1,-1,31.13.92.14,,267,value
17,facebook,2019-10-08T15:59:33.280+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ifmc4/yZ/l/he_IL/qn9QUahHfcD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17031,,,-1,0,102,-1,33,-1,-1,31.13.92.14,,136,value
18,facebook,2019-10-08T15:59:33.280+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i5f14/ye/l/he_IL/ZVuz92lEEOH.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,26707,,,-1,0,112,-1,43,-1,-1,31.13.92.14,,156,value
19,facebook,2019-10-08T15:59:33.281+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,-1,0,98,-1,3,-1,-1,31.13.92.14,,102,value
20,facebook,2019-10-08T15:59:33.281+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yC/r/5jknhq0ezH4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9837,,,-1,0,119,-1,0,-1,-1,31.13.92.14,,120,value
21,facebook,2019-10-08T15:59:33.281+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iCqo4/yT/l/he_IL/8600ZvSyCMD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,21685,,,-1,0,100,-1,35,-1,-1,31.13.92.14,,135,value
22,facebook,2019-10-08T15:59:33.388+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iIl84/yR/l/he_IL/nUDslGkOjz4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10605,,,-1,0,90,-1,5,-1,-1,31.13.92.14,,96,value
23,facebook,2019-10-08T15:59:33.408+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i_HN4/yZ/l/he_IL/Ak1kbpE1m6C.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,1582,,,-1,0,92,-1,1,-1,-1,31.13.92.14,,94,value
24,facebook,2019-10-08T15:59:33.420+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/460HBSAxl8E.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,12173,,,-1,0,104,-1,5,-1,-1,31.13.92.14,,110,value
25,facebook,2019-10-08T15:59:33.422+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/x9mvWUy_crF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4374,,,-1,0,98,-1,6,-1,-1,31.13.92.14,,105,value
26,facebook,2019-10-08T15:59:33.431+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,127,-1,0,-1,-1,31.13.92.36,,128,
27,facebook,2019-10-08T15:59:33.440+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/y9/l/he_IL/JThaqtmySkz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14415,,,-1,0,88,-1,9,-1,-1,31.13.92.14,,98,value
28,facebook,2019-10-08T15:59:33.491+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,0,101,-1,1,-1,-1,31.13.92.14,,103,value
29,facebook,2019-10-08T15:59:33.567+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,104,-1,0,-1,-1,31.13.92.14,,105,
30,facebook,2019-10-08T15:59:36.350+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/VVEffoZ9eOt.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10421,,,-1,0,103,-1,8,-1,-1,31.13.92.14,,112,value
31,facebook,2019-10-08T15:59:36.435+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,3861,1,161,0,0,3893,0,31.13.92.36,,4057,
