,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.send,timings.dns,timings.wait,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
28,facebook,2019-10-11T13:20:04.609+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,-1,0,-1,93,-1,4,-1,157.240.1.23,,97,value,
29,facebook,2019-10-11T13:20:04.652+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,-1,0,-1,96,-1,6,-1,157.240.1.23,,103,value,
30,facebook,2019-10-11T13:20:04.660+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,118,-1,0,-1,31.13.92.36,,119,,
31,facebook,2019-10-11T13:20:04.721+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yq/r/BZz23nhoIDH.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5891,,,-1,0,-1,80,-1,4,-1,157.240.1.23,,85,value,
32,facebook,2019-10-11T13:20:04.783+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,116,-1,0,-1,31.13.92.36,,117,,
33,facebook,2019-10-11T13:20:04.854+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,-1,96,-1,0,-1,157.240.1.23,,97,,
34,facebook,2019-10-11T13:20:05.831+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43643,,,870,0,0,215,0,120,895,157.240.1.35,,1232,value,
35,facebook,2019-10-11T13:20:06.064+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,-1,0,-1,99,-1,0,-1,157.240.1.23,,100,value,
36,facebook,2019-10-11T13:20:06.065+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19280,,,-1,0,-1,90,-1,37,-1,157.240.1.23,,129,value,
37,facebook,2019-10-11T13:20:06.093+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/UBVbWsrwWm4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37009,,,-1,0,-1,99,-1,14,-1,157.240.1.23,,114,value,
38,facebook,2019-10-11T13:20:06.931+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/qK5lHUCv_Rg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81210,,,-1,0,-1,118,-1,66,-1,157.240.1.23,,185,value,
39,facebook,2019-10-11T13:20:06.984+03:00,GET,https://cx.atdmt.com/?f=AYwHzDusnQZPZi5DhKzclaMEtXqEGFumvo--vZqBj4uiEtRT124lYcQMnumyxv-Xd5CjRJrK5IDdoQaClk8m2SAO&c=1766592037&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,1990,0,23,171,0,0,2021,157.240.1.6,,2217,value,
40,facebook,2019-10-11T13:20:12.077+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,5955,0,27,118,0,5,5984,216.58.205.228,,6136,,
41,facebook,2019-10-11T13:20:12.315+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yY/l/he_IL/W4cLvXLCMX5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348502,,,-1,0,-1,113,-1,136,-1,157.240.1.23,,250,value,
42,facebook,2019-10-11T13:20:12.317+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yB/l/he_IL/H40LCujyL58.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17349,,,-1,0,-1,115,-1,5,-1,157.240.1.23,,121,value,
43,facebook,2019-10-11T13:20:12.317+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/3oYS-Pgffbm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,702,,,-1,0,-1,88,-1,2,-1,157.240.1.23,,91,value,
