,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,response._error
15,facebook,2019-10-08T16:25:16.636+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,-1,0,104,-1,-1,81,-1,31.13.92.14,,186,
16,facebook,2019-10-08T16:25:16.637+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,-1,0,103,-1,-1,56,-1,31.13.92.14,,161,
17,facebook,2019-10-08T16:25:16.638+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136441,,,-1,0,128,-1,-1,66,-1,31.13.92.14,,196,
18,facebook,2019-10-08T16:25:16.942+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,-1,0,101,-1,-1,6,-1,31.13.92.14,,108,
19,facebook,2019-10-08T16:25:16.942+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,-1,0,96,-1,-1,14,-1,31.13.92.14,,111,
20,facebook,2019-10-08T16:25:16.987+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1061,55,,,-1,0,128,-1,-1,0,-1,31.13.92.36,,129,
21,facebook,2019-10-08T16:25:17.102+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,87,-1,-1,0,-1,31.13.92.14,,87,
22,facebook,2019-10-08T16:25:17.121+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1061,55,,,-1,0,125,-1,-1,0,-1,31.13.92.36,,126,
23,facebook,2019-10-08T16:25:17.236+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,value,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44050,,,-1,0,202,-1,-1,75,-1,31.13.92.36,,277,
24,facebook,2019-10-08T16:25:17.282+03:00,GET,https://cx.atdmt.com/?f=AYxM9pw11D6k-oRkCobiNSWn91D5TMfDOI2_LnwHoHNXBTfeVc98JWp1dXqxwOvp4sfiO9a3puaHYvNfZbT5WFbf&c=1563389044&v=1&l=2,HTTP/1.1,value,652,0,,200,OK,HTTP/1.1,0,image/gif,,,387,42,,,-1,0,129,-1,-1,0,-1,31.13.92.2,,131,
25,facebook,2019-10-08T16:25:17.493+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,-1,0,107,-1,-1,0,-1,31.13.92.14,,109,
26,facebook,2019-10-08T16:25:17.496+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,-1,0,94,-1,-1,25,-1,31.13.92.14,,120,
27,facebook,2019-10-08T16:25:17.498+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,-1,1,105,-1,-1,32,-1,31.13.92.14,,138,
28,facebook,2019-10-08T16:25:17.498+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,0,1,118,128,155,150,0,31.13.92.14,,425,
29,facebook,2019-10-08T16:25:17.500+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,30,0,84,5706,5730,201,0,172.217.22.35,,6047,
30,facebook,2019-10-08T16:25:17.824+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,-1,0,115,-1,-1,6,-1,31.13.92.14,,122,
31,facebook,2019-10-08T16:25:17.825+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,-1,0,126,-1,-1,18,-1,31.13.92.14,,145,
32,facebook,2019-10-08T16:25:17.826+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,-1,0,102,-1,-1,39,-1,31.13.92.14,,143,
33,facebook,2019-10-08T16:25:17.829+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,-1,1,110,-1,-1,88,-1,31.13.92.14,,199,
34,facebook,2019-10-08T16:25:17.829+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136441,,,0,1,106,129,155,191,0,31.13.92.14,,454,
35,facebook,2019-10-08T16:25:17.866+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=n2vi43x8xryz,HTTP/1.1,value,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9544,,,-1,0,110,-1,-1,41,-1,172.217.18.4,,152,
36,facebook,2019-10-08T16:25:17.956+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,-1,0,111,-1,-1,19,-1,31.13.92.14,,131,
37,facebook,2019-10-08T16:25:18.133+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,0,87,-1,-1,70,-1,172.217.22.35,,158,
38,facebook,2019-10-08T16:25:18.292+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,0,0,94,127,158,157,0,172.217.22.35,,410,
39,facebook,2019-10-08T16:25:18.572+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,-1,0,90,-1,-1,4,-1,172.217.18.4,,94,
40,facebook,2019-10-08T16:25:18.669+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=cb59hfngl2u,HTTP/1.1,value,672,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1124,,,-1,0,93,-1,-1,1,-1,172.217.18.4,,95,
41,facebook,2019-10-08T16:25:18.718+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,value,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,0,102,102,141,0,0,172.217.18.4,,246,
42,facebook,2019-10-08T16:25:18.818+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001267097&__s=oh46cm%3Ah1k723%3Ar13qbt&__hsi=6745427206732018341-0&__spin_r=1001267097&__spin_b=trunk&__spin_t=1570542158,HTTP/1.1,value,825,0,,0,,unknown,0,,,,-1,-1,,,-1,0,0,-1,-1,0,-1,31.13.92.36,,0,No response received
