,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
40,facebook,2019-10-12T14:45:13.587+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yP/l/he_IL/mXPf-qaonmW.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17237,,,8,-1,-1,-1,0,113,-1,31.13.92.14,,121,value,
41,facebook,2019-10-12T14:45:13.588+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yV/l/he_IL/nE5io2huzZU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348397,,,181,-1,-1,-1,0,127,-1,31.13.92.14,,310,value,
42,facebook,2019-10-12T14:45:13.588+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/itt5OggiRv_.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,697,,,1,-1,-1,-1,0,129,-1,31.13.92.14,,131,value,
43,facebook,2019-10-12T14:45:13.589+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y-/l/he_IL/eGwNTDKtx18.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38551,,,13,-1,-1,-1,0,121,-1,31.13.92.14,,135,value,
44,facebook,2019-10-12T14:45:14.189+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,3089,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,0,-1,-1,-1,0,143,-1,31.13.92.36,,145,,
45,facebook,2019-10-12T14:45:15.370+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,133,0,1875,1,0,107,1848,172.217.22.35,,2118,,
46,facebook,2019-10-12T14:45:15.636+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=hgx0w0m9lczw,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9461,,,16,-1,-1,-1,1,118,-1,172.217.18.4,,136,value,
47,facebook,2019-10-12T14:45:15.792+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,51,-1,-1,-1,0,95,-1,172.217.22.35,,147,,
48,facebook,2019-10-12T14:45:15.922+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,142,0,142,0,1,92,113,172.217.22.35,,378,,
49,facebook,2019-10-12T14:45:16.196+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5384,,,3,-1,-1,-1,0,88,-1,172.217.18.4,,93,,
50,facebook,2019-10-12T14:45:16.292+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,1,-1,-1,-1,0,96,-1,172.217.18.4,,98,value,
51,facebook,2019-10-12T14:45:16.345+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=kxu4qymm3qu8,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1122,,,2,0,144,0,0,105,113,172.217.18.4,,252,value,
52,facebook,2019-10-12T14:45:16.417+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,42,-1,-1,-1,0,88,-1,172.217.22.35,,132,,
53,facebook,2019-10-12T14:45:16.467+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,526,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,37,-1,-1,-1,0,88,-1,172.217.22.35,,127,,
54,facebook,2019-10-12T14:45:16.632+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001288583&__s=z0ibvc%3A51zlse%3Ab360yv&__hsi=6746885731079794767-0&__spin_r=1001288583&__spin_b=trunk&__spin_t=1570881747,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,-1,0,0,-1,31.13.92.36,,0,value,No response received
