,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.send,timings.dns,timings.ssl,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
29,facebook,2019-10-11T14:03:06.882+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/pvgGi3z1Vjk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5861,,,5,-1,-1,0,-1,-1,93,157.240.1.23,,99,value,
30,facebook,2019-10-11T14:03:06.896+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,0,-1,-1,101,157.240.1.35,,102,,
31,facebook,2019-10-11T14:03:06.987+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,-1,-1,0,-1,-1,86,157.240.1.23,,87,,
32,facebook,2019-10-11T14:03:07.046+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yf/l/he_IL/XsCCfAW0XcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7317,,,5,-1,-1,0,-1,-1,87,157.240.1.23,,93,value,
33,facebook,2019-10-11T14:03:07.098+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,1592,0,0,27,1557,110,157.240.1.35,,1731,,
34,facebook,2019-10-11T14:03:09.777+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43643,,,111,2825,0,0,35,2796,222,157.240.1.35,,3196,value,
35,facebook,2019-10-11T14:03:10.017+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,0,-1,-1,0,-1,-1,124,157.240.1.23,,125,value,
36,facebook,2019-10-11T14:03:10.018+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/UBVbWsrwWm4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37009,,,33,-1,-1,0,-1,-1,96,157.240.1.23,,131,value,
37,facebook,2019-10-11T14:03:10.019+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19280,,,21,-1,-1,0,-1,-1,102,157.240.1.23,,124,value,
38,facebook,2019-10-11T14:03:10.154+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/qK5lHUCv_Rg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81210,,,56,-1,-1,0,-1,-1,86,157.240.1.23,,143,value,
39,facebook,2019-10-11T14:03:11.930+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,1875,0,0,36,1847,115,216.58.205.228,,2029,,
40,facebook,2019-10-11T14:03:12.179+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yB/l/he_IL/H40LCujyL58.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17349,,,27,-1,-1,0,-1,-1,90,157.240.1.23,,118,value,
41,facebook,2019-10-11T14:03:12.179+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yY/l/he_IL/W4cLvXLCMX5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348502,,,183,-1,-1,0,-1,-1,96,157.240.1.23,,280,value,
42,facebook,2019-10-11T14:03:12.183+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/3oYS-Pgffbm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,702,,,6,-1,-1,1,-1,-1,98,157.240.1.23,,106,value,
43,facebook,2019-10-11T14:03:12.183+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yw/l/he_IL/1TNVRo_j9oZ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38648,,,75,163,0,1,0,114,117,157.240.1.23,,357,value,
44,facebook,2019-10-11T14:03:13.202+03:00,GET,https://cx.atdmt.com/?f=AYxI_EuHATjo8Zd6MhEaaleLkRtxFufHFX9hBp6QmE00dTppbvO2OGGgcFaQpfYVdMwYyCQ4bRvPS_09MlqvTOTa&c=1849227166&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,0,6158,0,0,19,6130,182,157.240.1.6,,6362,value,
45,facebook,2019-10-11T14:03:14.807+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,137,2723,0,0,25,2694,104,172.217.22.35,,2991,,
46,facebook,2019-10-11T14:03:15.046+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,3085,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,0,-1,-1,1,-1,-1,127,157.240.1.35,,129,,
47,facebook,2019-10-11T14:03:15.073+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=59jv92dhf3ub,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9498,,,31,-1,-1,0,-1,-1,106,216.58.205.228,,138,value,
48,facebook,2019-10-11T14:03:15.219+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,506,91705,,,63,-1,-1,0,-1,-1,114,172.217.22.35,,179,,
49,facebook,2019-10-11T14:03:15.393+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,154,171,0,0,0,123,94,172.217.22.35,,421,,
50,facebook,2019-10-11T14:03:15.677+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,9,-1,-1,0,-1,-1,96,216.58.205.228,,107,,
51,facebook,2019-10-11T14:03:15.786+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=cwusicf99o6o,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1120,,,1,-1,-1,1,-1,-1,102,216.58.205.228,,104,value,
52,facebook,2019-10-11T14:03:15.839+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,4,158,0,0,0,119,93,216.58.205.228,,257,value,
53,facebook,2019-10-11T14:03:15.965+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001283825&__s=dhgrsu%3Afxwnl2%3A3eo3s9&__hsi=6746503821277748743-0&__spin_r=1001283825&__spin_b=trunk&__spin_t=1570792827,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,0,-1,-1,0,157.240.1.35,,0,value,No response received
54,facebook,2019-10-11T14:03:15.972+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,0,-1,-1,0,172.217.22.35,,0,,No response received
