,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.dns,timings.ssl,timings.send,timings.wait,serverIPAddress,comment,time,response._error
10,facebook,2019-10-08T19:47:09.340+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,593,1416,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,0,-1,-1,-1,0,100,31.13.92.36,,102,
11,facebook,2019-10-08T19:47:09.471+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,16994,,,-1,22,-1,-1,-1,0,92,157.240.1.23,,115,
12,facebook,2019-10-08T19:47:09.472+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yl/l/0,cross/1n9F5652p_Q.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,579,7655,,,-1,15,-1,-1,-1,0,95,157.240.1.23,,111,
13,facebook,2019-10-08T19:47:09.473+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,593,1499,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,1,-1,-1,-1,0,108,31.13.92.36,,110,
14,facebook,2019-10-08T19:47:09.722+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/5SGT2kBEkqX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,116247,,,-1,90,-1,-1,-1,0,95,157.240.1.23,,186,
15,facebook,2019-10-08T19:47:09.722+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yM/l/he_IL/UwuB0Jk9D55.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,34959,,,-1,26,-1,-1,-1,0,127,157.240.1.23,,154,
16,facebook,2019-10-08T19:47:09.722+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yZ/l/he_IL/GqtoXrLiI4m.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,136856,,,-1,97,-1,-1,-1,0,106,157.240.1.23,,204,
17,facebook,2019-10-08T19:47:09.723+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/y7/l/he_IL/rwgfXsuKsef.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,60480,,,-1,63,-1,-1,-1,0,98,157.240.1.23,,162,
18,facebook,2019-10-08T19:47:10.107+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1061,55,,,-1,0,-1,-1,-1,0,121,31.13.92.36,,122,
19,facebook,2019-10-08T19:47:10.233+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1061,55,,,-1,0,-1,-1,-1,0,115,31.13.92.36,,116,
20,facebook,2019-10-08T19:47:10.311+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,,413,0,,200,OK,HTTP/1.1,0,image/gif,,,518,43,,,-1,0,-1,-1,-1,0,85,157.240.1.23,,86,
21,facebook,2019-10-08T19:47:10.342+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,value,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43932,,,-1,78,-1,-1,-1,0,217,31.13.92.36,,296,
22,facebook,2019-10-08T19:47:10.403+03:00,GET,https://cx.atdmt.com/?f=AYxSh6v4CMoZ5dyZmh9vqp7J3xQDHJ4zohFyOsOD-9y8rFWSkcAmMBH7EsmfbJY0CY1RTFlF4fQmM9PclFhnQZYy&c=677654097&v=1&l=2,HTTP/1.1,value,651,0,,200,OK,HTTP/1.1,0,image/gif,,,387,42,,,-1,0,-1,-1,-1,0,121,31.13.92.2,,122,
23,facebook,2019-10-08T19:47:10.609+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,533,131,,,-1,0,-1,-1,-1,0,106,157.240.1.23,,107,
24,facebook,2019-10-08T19:47:10.615+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,19296,,,-1,23,-1,-1,-1,0,99,157.240.1.23,,123,
25,facebook,2019-10-08T19:47:10.616+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,-1,14,-1,-1,-1,0,121,157.240.1.23,,137,
26,facebook,2019-10-08T19:47:10.831+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,-1,7,-1,-1,-1,0,94,157.240.1.23,,102,
27,facebook,2019-10-08T19:47:10.831+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/OJpt53iffhD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,594,698,,,-1,0,-1,-1,-1,0,105,157.240.1.23,,106,
28,facebook,2019-10-08T19:47:10.831+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,34889,,,-1,84,-1,-1,-1,0,115,157.240.1.23,,201,
29,facebook,2019-10-08T19:47:10.834+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,-1,59,-1,-1,-1,0,104,157.240.1.23,,164,
30,facebook,2019-10-08T19:47:10.834+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,116166,,,-1,86,-1,-1,-1,0,96,157.240.1.23,,183,
31,facebook,2019-10-08T19:47:10.834+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yJ/l/he_IL/4LiLi7s2lA_.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,136464,,,-1,106,-1,-1,-1,0,96,157.240.1.23,,203,
32,facebook,2019-10-08T19:47:10.952+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,-1,17,-1,-1,-1,0,95,157.240.1.23,,113,
33,facebook,2019-10-08T19:47:18.379+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,590,2920,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,0,-1,-1,-1,1,109,31.13.92.36,,111,
34,facebook,2019-10-08T19:47:19.912+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001267363&__s=tlsqsk%3Avpxmm8%3Akg9he9&__hsi=6745479230666796596-0&__spin_r=1001267363&__spin_b=trunk&__spin_t=1570554271,HTTP/1.1,value,825,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,-1,-1,4,0,31.13.92.36,,4,No response received
