,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.ssl,timings.wait,timings.send,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
25,facebook,2019-10-08T20:04:44.247+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yO/l/he_IL/cTadSWTe1xu.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14075,,,-1,-1,20,-1,119,0,-1,31.13.92.14,,141,value,
26,facebook,2019-10-08T20:04:44.249+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,4122,0,4096,160,1,0,31.13.92.36,,4284,,
27,facebook,2019-10-08T20:04:44.427+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yc/l/he_IL/8iTMPaoUOuX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38982,,,-1,-1,26,-1,96,0,-1,31.13.92.14,,123,value,
28,facebook,2019-10-08T20:04:44.427+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ioCg4/y8/l/he_IL/AK56KEQ3_Bu.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,142975,,,-1,-1,73,-1,100,0,-1,31.13.92.14,,175,value,
29,facebook,2019-10-08T20:04:44.429+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ibNQ4/yK/l/he_IL/P-rYuj18Ljt.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,149337,,,-1,-1,150,-1,105,0,-1,31.13.92.14,,257,value,
30,facebook,2019-10-08T20:04:44.429+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,-1,-1,1,-1,99,0,-1,31.13.92.14,,101,value,
31,facebook,2019-10-08T20:04:44.439+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,-1,-1,11,-1,97,0,-1,31.13.92.14,,108,value,
32,facebook,2019-10-08T20:04:44.445+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,1,-1,137,0,-1,31.13.92.36,,139,,
33,facebook,2019-10-08T20:04:44.477+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yS/r/NTJlxSdoH1s.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5737,,,-1,-1,2,-1,93,0,-1,31.13.92.14,,97,value,
34,facebook,2019-10-08T20:04:44.605+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,-1,133,0,-1,31.13.92.36,,135,,
35,facebook,2019-10-08T20:04:44.692+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,-1,0,-1,88,0,-1,31.13.92.14,,89,,
36,facebook,2019-10-08T20:04:46.884+03:00,GET,https://cx.atdmt.com/?f=AYznSe3bX_4tbUjErLj0atRQrHvtyfdHUWj6botktbjgXZeq1mW31QNOm-c3qNzVSGegxI5m7_60C5Xh9iKN1Hdp&c=398039860&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,0,1981,0,1952,135,0,38,31.13.92.2,,2157,value,
37,facebook,2019-10-08T20:04:47.614+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43934,,,0,2720,118,2691,206,0,32,31.13.92.36,,3079,value,
38,facebook,2019-10-08T20:04:47.863+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,-1,-1,0,-1,92,1,-1,31.13.92.14,,94,value,
39,facebook,2019-10-08T20:04:47.864+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,-1,-1,91,-1,98,0,-1,31.13.92.14,,190,value,
40,facebook,2019-10-08T20:04:47.865+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,-1,-1,152,-1,91,0,-1,31.13.92.14,,244,value,
41,facebook,2019-10-08T20:04:47.865+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,-1,-1,13,-1,97,0,-1,31.13.92.14,,111,value,
42,facebook,2019-10-08T20:04:51.529+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,3664,3,3641,106,0,1,172.217.18.4,,3776,,
43,facebook,2019-10-08T20:04:51.746+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,-1,-1,0,-1,117,0,-1,31.13.92.14,,118,value,
44,facebook,2019-10-08T20:04:51.746+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/OJpt53iffhD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,698,,,-1,-1,0,-1,101,0,-1,31.13.92.14,,102,value,
45,facebook,2019-10-08T20:04:51.747+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,-1,-1,21,-1,100,0,-1,31.13.92.14,,122,value,
46,facebook,2019-10-08T20:04:51.749+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,-1,-1,105,-1,93,0,-1,31.13.92.14,,199,value,
47,facebook,2019-10-08T20:04:51.878+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,-1,-1,144,-1,96,0,-1,31.13.92.14,,240,value,
48,facebook,2019-10-08T20:04:51.881+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yJ/l/he_IL/4LiLi7s2lA_.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136464,,,-1,-1,65,-1,108,0,-1,31.13.92.14,,175,value,
49,facebook,2019-10-08T20:04:51.883+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,-1,-1,21,-1,108,0,-1,31.13.92.14,,130,value,
50,facebook,2019-10-08T20:04:52.450+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,0,780,128,737,97,0,1,172.217.22.35,,1008,,
51,facebook,2019-10-08T20:04:52.707+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=gso501tinvjk,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9600,,,-1,-1,10,-1,120,1,-1,172.217.18.4,,132,value,
52,facebook,2019-10-08T20:04:52.850+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,4632,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,-1,0,-1,191,1,-1,31.13.92.36,,193,,
53,facebook,2019-10-08T20:04:52.857+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,-1,54,-1,81,0,-1,172.217.22.35,,136,,
54,facebook,2019-10-08T20:04:52.997+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,-1,-1,54,-1,88,0,-1,172.217.22.35,,143,,
55,facebook,2019-10-08T20:04:53.172+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,-1,-1,5,-1,81,0,-1,172.217.18.4,,88,,
56,facebook,2019-10-08T20:04:53.263+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=ozh8eyl487s2,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1124,,,-1,-1,1,-1,92,0,-1,172.217.18.4,,94,value,
57,facebook,2019-10-08T20:04:53.308+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,132,1,106,91,0,0,172.217.18.4,,226,value,
58,facebook,2019-10-08T20:04:53.427+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001267363&__s=32sak0%3Aob884f%3A8kthyo&__hsi=6745483732629809048-0&__spin_r=1001267363&__spin_b=trunk&__spin_t=1570555319,HTTP/1.1,827,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,-1,0,0,-1,31.13.92.36,,0,value,No response received
59,facebook,2019-10-08T20:04:53.437+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,-1,0,0,-1,172.217.22.35,,0,,No response received
