,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.ssl,timings.wait,timings.send,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
51,facebook,2019-10-08T17:31:10.164+03:00,CONNECT,https://static.xx.fbcdn.net,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,0,10037,-1,0,0,0,157.240.1.23,,10037,,Unable to connect to host
52,facebook,2019-10-08T17:31:20.926+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,4717,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,0,-1,-1,168,1,-1,31.13.92.36,,170,,
53,facebook,2019-10-08T17:31:21.918+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,0,126,2927,2901,91,0,0,172.217.22.67,,3146,,
54,facebook,2019-10-08T17:31:22.162+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=md0cqzu1n8qs,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9633,,,-1,31,-1,-1,172,0,-1,172.217.18.4,,204,value,
55,facebook,2019-10-08T17:31:22.353+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,44,-1,-1,92,0,-1,172.217.22.67,,138,,
56,facebook,2019-10-08T17:31:22.495+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,-1,35,-1,-1,80,0,-1,172.217.22.67,,115,,
57,facebook,2019-10-08T17:31:22.642+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,-1,3,-1,-1,93,0,-1,172.217.18.4,,96,,
58,facebook,2019-10-08T17:31:22.745+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,-1,1,-1,-1,96,0,-1,172.217.18.4,,97,value,
59,facebook,2019-10-08T17:31:22.849+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=wdpzljcgnwfk,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1122,,,-1,3,-1,-1,92,0,-1,172.217.18.4,,95,value,
60,facebook,2019-10-08T17:31:22.889+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,-1,40,-1,-1,77,0,-1,172.217.22.67,,118,,
61,facebook,2019-10-08T17:31:23.013+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,526,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,32,-1,-1,89,0,-1,172.217.22.67,,122,,
62,facebook,2019-10-08T17:31:23.185+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001267097&__s=midnpn%3Axgy4b0%3Aq0tzrt&__hsi=6745444175730580967-0&__spin_r=1001267097&__spin_b=trunk&__spin_t=1570546109,HTTP/1.1,827,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,-1,0,0,-1,31.13.92.36,,0,value,No response received
