,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.send,timings.ssl,timings.dns,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
21,facebook,2019-10-08T15:56:35.445+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/VVEffoZ9eOt.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10421,,,-1,-1,9,0,-1,-1,97,31.13.92.14,,106,value,
22,facebook,2019-10-08T15:56:35.552+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iIl84/yR/l/he_IL/nUDslGkOjz4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10605,,,-1,-1,4,0,-1,-1,92,31.13.92.14,,97,value,
23,facebook,2019-10-08T15:56:35.552+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i_HN4/yZ/l/he_IL/Ak1kbpE1m6C.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,1582,,,-1,-1,4,0,-1,-1,89,31.13.92.14,,93,value,
24,facebook,2019-10-08T15:56:35.555+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/460HBSAxl8E.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,12173,,,-1,-1,13,0,-1,-1,90,31.13.92.14,,104,value,
25,facebook,2019-10-08T15:56:35.584+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ivic4/yc/l/he_IL/UMO8BD_AQ4P.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,11731,,,-1,-1,7,0,-1,-1,89,31.13.92.14,,97,value,
26,facebook,2019-10-08T15:56:35.586+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yj/r/RgSGRI5K3mg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3738,,,-1,-1,2,0,-1,-1,89,31.13.92.14,,92,value,
27,facebook,2019-10-08T15:56:35.600+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,0,-1,-1,174,31.13.92.36,,176,,
28,facebook,2019-10-08T15:56:35.652+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yh/l/he_IL/_EbvrHhgb-V.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,45817,,,-1,-1,24,0,-1,-1,104,31.13.92.14,,129,value,
29,facebook,2019-10-08T15:56:35.656+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/x9mvWUy_crF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4374,,,-1,-1,2,1,-1,-1,99,31.13.92.14,,102,value,
30,facebook,2019-10-08T15:56:35.664+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/y9/l/he_IL/JThaqtmySkz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14415,,,-1,-1,7,0,-1,-1,110,31.13.92.14,,118,value,
31,facebook,2019-10-08T15:56:35.682+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,-1,0,0,-1,-1,97,31.13.92.14,,98,value,
32,facebook,2019-10-08T15:56:35.796+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,1,0,-1,-1,127,31.13.92.36,,129,,
33,facebook,2019-10-08T15:56:35.908+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,-1,0,0,-1,-1,95,31.13.92.14,,97,,
34,facebook,2019-10-08T15:56:37.500+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i5f14/ye/l/he_IL/ZVuz92lEEOH.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,26707,,,-1,-1,41,0,-1,-1,97,31.13.92.14,,139,value,
35,facebook,2019-10-08T15:56:37.596+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,3249,0,1,0,3219,28,143,31.13.92.36,,3423,,
36,facebook,2019-10-08T15:56:37.934+03:00,GET,https://cx.atdmt.com/?f=AYzTq5xskiYJvdP6cBlfJmh_EPlFulQrmrjf77RkAbRTBlEOsrh0XnhfV8fJNY0i7e7oHJXu98Rhl26zFF5aV-pr&c=2065075802&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,1886,0,0,0,1859,27,121,31.13.92.2,,2037,value,
37,facebook,2019-10-08T15:56:39.278+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43539,,,3249,0,119,1,3231,21,222,31.13.92.36,,3613,value,
38,facebook,2019-10-08T15:56:39.551+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,-1,-1,0,1,-1,-1,104,31.13.92.14,,106,value,
39,facebook,2019-10-08T15:56:39.551+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/66VkRtZyUph.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,41049,,,-1,-1,12,0,-1,-1,109,31.13.92.14,,121,value,
40,facebook,2019-10-08T15:56:39.551+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,-1,-1,111,0,-1,-1,104,31.13.92.14,,217,value,
41,facebook,2019-10-08T15:56:39.552+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yV/l/0,cross/mb5XQCa6Kku.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37191,,,-1,-1,56,0,-1,-1,99,31.13.92.14,,156,value,
42,facebook,2019-10-08T15:56:42.268+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,2704,0,1,1,2671,8,95,172.217.18.4,,2811,,
43,facebook,2019-10-08T15:56:42.538+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,-1,-1,1,0,-1,-1,92,31.13.92.14,,93,value,
44,facebook,2019-10-08T15:56:42.539+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iunM4/yf/l/he_IL/PyIndVDJDGO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,344282,,,-1,-1,240,0,-1,-1,94,31.13.92.14,,335,value,
45,facebook,2019-10-08T15:56:42.541+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ifmc4/yZ/l/he_IL/qn9QUahHfcD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17031,,,-1,-1,9,0,-1,-1,88,31.13.92.14,,98,value,
46,facebook,2019-10-08T15:56:43.954+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,4849,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,-1,0,1,-1,-1,122,31.13.92.36,,125,,
47,facebook,2019-10-08T15:56:42.380+03:00,CONNECT,https://www.gstatic.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,10063,0,0,0,-1,19,0,172.217.22.35,,10083,,Unable to connect to host
48,facebook,2019-10-08T15:56:52.507+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001266966&__s=bskfek%3A5j8dvt%3Ai8de4w&__hsi=6745419792729290997-0&__spin_r=1001266966&__spin_b=trunk&__spin_t=1570540432,HTTP/1.1,827,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,1,-1,-1,0,31.13.92.36,,1,value,No response received
