,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.wait,timings.dns,timings.send,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
20,facebook,2019-10-12T15:07:31.439+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7336,,,-1,108,-1,0,5,-1,-1,31.13.92.14,,115,value,
21,facebook,2019-10-12T15:07:31.523+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yF/l/he_IL/7smvGSARS54.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38622,,,-1,88,-1,0,66,-1,-1,31.13.92.14,,155,value,
22,facebook,2019-10-12T15:07:31.539+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yl/l/he_IL/x8gSZHMRGWI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4096,,,-1,97,-1,0,2,-1,-1,31.13.92.14,,100,value,
23,facebook,2019-10-12T15:07:31.554+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yJ/r/GMuvW6fMoph.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4811,,,-1,111,-1,0,2,-1,-1,31.13.92.14,,114,value,
24,facebook,2019-10-12T15:07:31.559+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yk/l/he_IL/F0CGTpIzsw9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17789,,,-1,109,-1,0,33,-1,-1,31.13.92.14,,144,value,
25,facebook,2019-10-12T15:07:31.560+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,133,-1,0,0,-1,-1,31.13.92.36,,134,,
26,facebook,2019-10-12T15:07:31.612+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,-1,99,-1,0,1,-1,-1,31.13.92.14,,101,value,
27,facebook,2019-10-12T15:07:31.649+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,-1,94,-1,0,4,-1,-1,31.13.92.14,,99,value,
28,facebook,2019-10-12T15:07:31.676+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/233ChOovuGQ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5907,,,-1,97,-1,0,3,-1,-1,31.13.92.14,,101,value,
29,facebook,2019-10-12T15:07:31.702+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,125,-1,0,0,-1,-1,31.13.92.36,,127,,
30,facebook,2019-10-12T15:07:31.800+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,95,-1,0,0,-1,-1,31.13.92.14,,97,,
31,facebook,2019-10-12T15:07:32.004+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yd/l/he_IL/et_JXsYk1k4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16033,,,-1,96,-1,0,15,-1,-1,31.13.92.14,,112,value,
32,facebook,2019-10-12T15:07:32.050+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,1300,126,0,0,0,1334,0,31.13.92.36,,1463,,
33,facebook,2019-10-12T15:07:33.476+03:00,GET,https://cx.atdmt.com/?f=AYzjyhHx6eyfWx_uLfBgvRNwuNMKIEtXjuuAKr4u_Z9z16h5ZcaRN5j2Rn-TTW49m6DTwHj4OuIIRH6iaX53MgTi&c=469880661&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,537,42,,,1584,156,23,0,0,1612,0,31.13.92.2,,1792,value,
34,facebook,2019-10-12T15:07:34.664+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43679,,,2787,230,0,0,152,2817,0,31.13.92.36,,3201,value,
35,facebook,2019-10-12T15:07:34.927+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,-1,99,-1,0,1,-1,-1,31.13.92.14,,100,value,
36,facebook,2019-10-12T15:07:34.928+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/mOsfnMuZ_Ej.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36856,,,-1,110,-1,0,83,-1,-1,31.13.92.14,,193,value,
37,facebook,2019-10-12T15:07:34.929+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80884,,,136,113,0,0,201,165,0,31.13.92.14,,480,value,
38,facebook,2019-10-12T15:07:34.958+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,30745,,,-1,95,-1,0,12,-1,-1,31.13.92.14,,108,value,
39,facebook,2019-10-12T15:07:36.116+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,1127,115,40,0,4,1160,0,172.217.18.4,,1321,,
40,facebook,2019-10-12T15:07:36.363+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yP/l/he_IL/mXPf-qaonmW.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17237,,,-1,111,-1,0,17,-1,-1,31.13.92.14,,129,value,
