,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.dns,timings.send,timings.wait,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
28,facebook,2019-09-28T18:53:02.161+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iSuz4/y-/l/he_IL/0u06c8RIoL-.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60744,,,-1,-1,0,90,-1,25,-1,157.240.1.23,,116,value,
29,facebook,2019-09-28T18:53:02.168+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iJre4/yw/l/he_IL/5adkNit3zuK.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13874,,,-1,-1,0,97,-1,5,-1,157.240.1.23,,103,value,
30,facebook,2019-09-28T18:53:02.210+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1562,55,,,-1,-1,0,113,-1,0,-1,157.240.1.35,,115,,
31,facebook,2019-09-28T18:53:02.236+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yH/l/he_IL/gFylS2EXD7x.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,15605,,,-1,-1,0,96,-1,19,-1,157.240.1.23,,116,value,
32,facebook,2019-09-28T18:53:02.241+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/x9mvWUy_crF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4374,,,-1,-1,0,109,-1,1,-1,157.240.1.23,,111,value,
33,facebook,2019-09-28T18:53:02.277+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yr/l/he_IL/CsLqpwK7m82.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13490,,,-1,-1,0,101,-1,7,-1,157.240.1.23,,110,value,
34,facebook,2019-09-28T18:53:02.287+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,-1,0,96,-1,1,-1,157.240.1.23,,98,value,
35,facebook,2019-09-28T18:53:02.553+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,-1,0,89,-1,0,-1,157.240.1.23,,90,,
36,facebook,2019-09-28T18:53:03.299+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,-1,-1,0,99,-1,98,-1,157.240.1.23,,198,value,
37,facebook,2019-09-28T18:53:03.388+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,2207,0,0,118,0,1,2298,157.240.1.35,,2420,,
38,facebook,2019-09-28T18:53:06.651+03:00,GET,https://cx.atdmt.com/?f=AYx9ss0-06Kz2ySuTJfowfktkYh1wag10p_kSFg1SL7cSnidGNMzXe_0snmlLprMaZoUbhRwLTyuyqP-I6XCXa6d&c=295646139&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,537,42,,,3928,17,0,167,0,0,4018,157.240.1.6,,4204,value,
39,facebook,2019-09-28T18:53:06.887+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1420,43098,,,4243,15,0,184,0,309,4326,157.240.1.35,,4835,value,
40,facebook,2019-09-28T18:53:07.099+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/bfvR9xuXjag.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,164,,,-1,-1,0,88,-1,0,-1,157.240.1.23,,89,value,
41,facebook,2019-09-28T18:53:07.099+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,-1,-1,1,101,-1,437,-1,157.240.1.23,,540,value,
