,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.wait,timings.dns,timings.send,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
12,facebook,2019-10-12T08:06:54.076+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,14105,,,9,-1,-1,87,-1,0,-1,157.240.1.23,,97,,
13,facebook,2019-10-12T08:06:54.178+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,520,1163,,,0,-1,-1,118,-1,0,-1,157.240.1.23,,119,,
14,facebook,2019-10-12T08:06:54.253+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,17094,,,30,0,144,117,0,1,122,157.240.1.23,,294,,
15,facebook,2019-10-12T08:06:54.411+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yK/l/he_IL/kebipu7jKNP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,348948,,,162,-1,-1,83,-1,0,-1,157.240.1.23,,246,value,
16,facebook,2019-10-12T08:06:54.798+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/y5/l/he_IL/oCzfxaJWeI7.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,17358,,,12,-1,-1,93,-1,0,-1,157.240.1.23,,106,value,
17,facebook,2019-10-12T08:06:54.799+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yg/l/he_IL/IUpCV4PbO1k.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,47070,,,58,-1,-1,103,-1,0,-1,157.240.1.23,,162,value,
18,facebook,2019-10-12T08:06:54.800+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,8229,,,5,-1,-1,84,-1,0,-1,157.240.1.23,,90,value,
19,facebook,2019-10-12T08:06:54.800+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yF/l/he_IL/aTx0KAcULDC.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,16069,,,8,-1,-1,87,-1,0,-1,157.240.1.23,,96,value,
20,facebook,2019-10-12T08:06:54.800+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,7336,,,4,-1,-1,96,-1,0,-1,157.240.1.23,,101,value,
21,facebook,2019-10-12T08:06:54.895+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yF/l/he_IL/e__dq0qkm6O.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,38673,,,46,-1,-1,91,-1,0,-1,157.240.1.23,,138,value,
22,facebook,2019-10-12T08:06:54.914+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yI/l/he_IL/CyJR3gPZyrL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,4122,,,2,-1,-1,82,-1,0,-1,157.240.1.23,,85,value,
23,facebook,2019-10-12T08:06:54.915+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yJ/r/GMuvW6fMoph.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,4811,,,5,-1,-1,81,-1,0,-1,157.240.1.23,,87,value,
24,facebook,2019-10-12T08:06:54.915+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yH/l/he_IL/AXXOjWBNuBI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,17815,,,30,-1,-1,83,-1,0,-1,157.240.1.23,,114,value,
25,facebook,2019-10-12T08:06:54.923+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,103,-1,0,-1,157.240.1.35,,105,,
26,facebook,2019-10-12T08:06:54.967+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,2394,,,1,-1,-1,91,-1,0,-1,157.240.1.23,,93,value,
27,facebook,2019-10-12T08:06:55.005+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,9944,,,14,-1,-1,85,-1,0,-1,157.240.1.23,,101,value,
28,facebook,2019-10-12T08:06:55.006+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/233ChOovuGQ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,5907,,,2,-1,-1,96,-1,0,-1,157.240.1.23,,100,value,
29,facebook,2019-10-12T08:06:55.056+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,119,-1,0,-1,157.240.1.35,,120,,
30,facebook,2019-10-12T08:06:55.127+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,518,43,,,0,-1,-1,83,-1,0,-1,157.240.1.23,,84,,
31,facebook,2019-10-12T08:06:56.050+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ya/r/W9D9bG0TcGJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,16635,,,35,-1,-1,82,-1,0,-1,157.240.1.23,,119,value,
32,facebook,2019-10-12T08:06:56.131+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,0,2245,114,34,0,2216,157.240.1.35,,2396,,
33,facebook,2019-10-12T08:06:57.844+03:00,GET,https://cx.atdmt.com/?f=AYxm_m9vrYyv7WTCgNM1SfPKkDVuv-g1y7p6QwGDgAdOaxvpPUnVgZ4E9im2WwfYZtNzFI0DDafvrx_qjKdtCD7l&c=900934326&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,537,42,,,0,0,2621,139,30,0,2600,157.240.1.6,,2792,value,
34,facebook,2019-10-12T08:06:58.033+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43689,,,147,0,2943,173,0,0,2911,157.240.1.35,,3265,value,
35,facebook,2019-10-12T08:06:58.221+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,533,153,,,0,-1,-1,84,-1,0,-1,157.240.1.23,,85,value,
36,facebook,2019-10-12T08:06:58.221+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/mOsfnMuZ_Ej.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,36856,,,25,-1,-1,103,-1,0,-1,157.240.1.23,,130,value,
37,facebook,2019-10-12T08:06:58.222+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,30745,,,39,-1,-1,102,-1,0,-1,157.240.1.23,,142,value,
38,facebook,2019-10-12T08:06:58.222+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,80884,,,130,0,156,82,0,0,126,157.240.1.23,,370,value,
39,facebook,2019-10-12T08:06:59.531+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,7,0,1305,103,3,0,1278,172.217.21.228,,1421,,
40,facebook,2019-10-12T08:06:59.716+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/y-/l/he_IL/W-woTzJGqSB.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,348418,,,323,-1,-1,115,-1,0,-1,157.240.1.23,,440,value,
41,facebook,2019-10-12T08:06:59.716+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yP/l/he_IL/mXPf-qaonmW.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,17237,,,103,-1,-1,107,-1,0,-1,157.240.1.23,,211,value,
42,facebook,2019-10-12T08:06:59.716+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/itt5OggiRv_.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,594,697,,,0,-1,-1,137,-1,0,-1,157.240.1.23,,138,value,
43,facebook,2019-10-12T08:06:59.717+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y-/l/he_IL/eGwNTDKtx18.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,38551,,,274,-1,-1,101,-1,0,-1,157.240.1.23,,376,value,
44,facebook,2019-10-12T08:07:02.195+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,137,0,2545,90,0,0,2508,172.217.22.35,,2774,,
45,facebook,2019-10-12T08:07:02.446+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=ohccpmqbzwxj,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9971,,,17,-1,-1,112,-1,0,-1,172.217.21.228,,130,value,
46,facebook,2019-10-12T08:07:02.576+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,53,-1,-1,107,-1,0,-1,172.217.22.35,,161,,
47,facebook,2019-10-12T08:07:02.739+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,152,0,162,86,0,0,120,172.217.22.35,,402,,
48,facebook,2019-10-12T08:07:03.006+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,5,-1,-1,84,-1,0,-1,172.217.21.228,,90,,
49,facebook,2019-10-12T08:07:03.099+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=nnatxh8d9kx3,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1121,,,2,-1,-1,97,-1,0,-1,172.217.21.228,,100,value,
50,facebook,2019-10-12T08:07:03.143+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,0,134,93,0,0,108,172.217.21.228,,228,value,
51,facebook,2019-10-12T08:07:03.165+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,4650,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,0,-1,-1,126,-1,0,-1,157.240.1.35,,127,,
52,facebook,2019-10-12T08:07:03.268+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,0,-1,0,-1,172.217.22.35,,0,,No response received
