,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.wait,timings.send,timings.ssl,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
24,facebook,2019-10-11T14:05:36.843+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y1/l/he_IL/G2Nq2g8nC8X.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38526,,,-1,88,0,-1,17,-1,-1,157.240.1.23,,107,value,
25,facebook,2019-10-11T14:05:36.843+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yO/l/he_IL/GpZZ63FC-zA.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4086,,,-1,95,0,-1,2,-1,-1,157.240.1.23,,98,value,
26,facebook,2019-10-11T14:05:36.843+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/UdnQfyHoVIO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4792,,,-1,97,0,-1,0,-1,-1,157.240.1.23,,98,value,
27,facebook,2019-10-11T14:05:36.844+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yY/l/he_IL/GgxDu0f-RIy.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17766,,,-1,96,0,-1,37,-1,-1,157.240.1.23,,133,value,
28,facebook,2019-10-11T14:05:36.845+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,100,0,-1,0,-1,-1,157.240.1.23,,101,value,
29,facebook,2019-10-11T14:05:36.871+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,-1,90,0,-1,5,-1,-1,157.240.1.23,,96,value,
30,facebook,2019-10-11T14:05:36.871+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,105,0,-1,1,-1,-1,157.240.1.35,,106,,
31,facebook,2019-10-11T14:05:36.957+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/pvgGi3z1Vjk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5861,,,-1,90,0,-1,3,-1,-1,157.240.1.23,,94,value,
32,facebook,2019-10-11T14:05:36.983+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,112,0,-1,1,-1,-1,157.240.1.35,,114,,
33,facebook,2019-10-11T14:05:37.044+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,93,0,-1,0,-1,-1,157.240.1.23,,94,,
34,facebook,2019-10-11T14:05:38.294+03:00,GET,https://cx.atdmt.com/?f=AYynPrGftBE9cE8vA3j_Ex12H_JuYWW3AjsKo9CyWdhT9hw4h-KQNBeGeqmCJ_Otzxda78SwDl2bB27Lx_YHUAtA&c=656780925&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,0,180,0,1075,0,1110,0,157.240.1.6,,1291,value,
35,facebook,2019-10-11T14:05:39.615+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43637,,,0,229,0,2434,120,2460,0,157.240.1.35,,2811,value,
36,facebook,2019-10-11T14:05:39.890+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,-1,88,1,-1,0,-1,-1,157.240.1.23,,90,value,
37,facebook,2019-10-11T14:05:39.892+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/UBVbWsrwWm4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37009,,,-1,90,0,-1,61,-1,-1,157.240.1.23,,152,value,
38,facebook,2019-10-11T14:05:39.892+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/qK5lHUCv_Rg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81210,,,-1,85,0,-1,75,-1,-1,157.240.1.23,,161,value,
39,facebook,2019-10-11T14:05:39.892+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19280,,,-1,80,0,-1,15,-1,-1,157.240.1.23,,96,value,
40,facebook,2019-10-11T14:05:41.184+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,1,99,0,1268,1,1292,0,216.58.205.228,,1394,,
41,facebook,2019-10-11T14:05:41.358+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yY/l/he_IL/W4cLvXLCMX5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348502,,,-1,113,0,-1,245,-1,-1,157.240.1.23,,360,value,
