,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.ssl,timings.send,timings.dns,timings.wait,serverIPAddress,comment,time,request.queryString.name
30,facebook,2019-10-12T08:03:44.594+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,3510,0,3485,0,0,117,157.240.1.35,,3630,
31,facebook,2019-10-12T08:03:44.671+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,661,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,-1,0,-1,116,157.240.1.35,,117,
32,facebook,2019-10-12T08:03:44.793+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,661,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,-1,0,-1,109,157.240.1.35,,110,
33,facebook,2019-10-12T08:03:45.779+03:00,GET,https://cx.atdmt.com/?f=AYz_EI8aEXMu9LfObVVCN7xCfB07mcI9HSq-sY_BXtS0RYVWMpj5Reu0EhmzDu2jGu4fnwW8fw0vCn0EuRGSNT_U&c=735791415&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,536,42,,,0,768,0,745,0,91,120,157.240.1.6,,981,value
34,facebook,2019-10-12T08:03:47.148+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43686,,,0,2337,118,2294,0,0,225,157.240.1.35,,2682,value
35,facebook,2019-10-12T08:03:47.396+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,30745,,,-1,-1,63,-1,0,-1,104,157.240.1.23,,169,value
36,facebook,2019-10-12T08:03:47.396+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,533,153,,,-1,-1,0,-1,0,-1,99,157.240.1.23,,100,value
37,facebook,2019-10-12T08:03:47.396+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,80884,,,0,141,157,117,0,0,111,157.240.1.23,,411,value
38,facebook,2019-10-12T08:03:47.397+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/mOsfnMuZ_Ej.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36856,,,-1,-1,95,-1,0,-1,139,157.240.1.23,,234,value
39,facebook,2019-10-12T08:03:50.497+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,3080,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,-1,0,-1,1,-1,223,157.240.1.35,,225,
40,facebook,2019-10-12T08:03:51.865+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,4464,1,4411,0,0,148,172.217.21.228,,4615,
41,facebook,2019-10-12T08:03:52.113+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/y-/l/he_IL/W-woTzJGqSB.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,348418,,,-1,-1,219,-1,0,-1,188,157.240.1.23,,408,value
42,facebook,2019-10-12T08:03:52.114+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yP/l/he_IL/mXPf-qaonmW.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17237,,,-1,-1,63,-1,0,-1,196,157.240.1.23,,260,value
43,facebook,2019-10-12T08:03:52.114+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y-/l/he_IL/eGwNTDKtx18.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,38551,,,-1,-1,15,-1,0,-1,190,157.240.1.23,,207,value
