,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.ssl,timings.send,timings.dns,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
35,facebook,2019-10-11T14:19:50.581+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43639,,,246,2751,0,0,2778,0,128,157.240.1.35,,3153,value,
36,facebook,2019-10-11T14:19:50.866+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,124,-1,1,-1,-1,-1,3,157.240.1.23,,129,value,
37,facebook,2019-10-11T14:19:50.868+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19280,,,95,-1,1,-1,-1,-1,67,157.240.1.23,,164,value,
38,facebook,2019-10-11T14:19:50.868+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/UBVbWsrwWm4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37009,,,119,-1,0,-1,-1,-1,46,157.240.1.23,,166,value,
39,facebook,2019-10-11T14:19:50.868+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/qK5lHUCv_Rg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81210,,,138,-1,1,-1,-1,-1,81,157.240.1.23,,220,value,
40,facebook,2019-10-11T14:19:54.795+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,123,3887,0,0,3928,0,3,216.58.205.228,,4056,,
41,facebook,2019-10-11T14:19:55.041+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yY/l/he_IL/W4cLvXLCMX5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348502,,,117,-1,0,-1,-1,-1,162,157.240.1.23,,280,value,
42,facebook,2019-10-11T14:19:55.042+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yB/l/he_IL/H40LCujyL58.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17349,,,107,-1,0,-1,-1,-1,18,157.240.1.23,,126,value,
43,facebook,2019-10-11T14:19:55.042+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/3oYS-Pgffbm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,702,,,91,-1,0,-1,-1,-1,1,157.240.1.23,,93,value,
44,facebook,2019-10-11T14:19:55.042+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yw/l/he_IL/1TNVRo_j9oZ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38648,,,115,-1,0,-1,-1,-1,81,157.240.1.23,,197,value,
45,facebook,2019-10-11T14:19:55.811+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,4894,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,183,-1,2,-1,-1,-1,0,157.240.1.35,,185,,
46,facebook,2019-10-11T14:19:56.850+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,97,1861,0,1,1904,0,145,172.217.22.35,,2149,,
47,facebook,2019-10-11T14:19:57.117+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=30z0qtvgejlh,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9486,,,122,-1,0,-1,-1,-1,31,216.58.205.228,,155,value,
48,facebook,2019-10-11T14:19:57.286+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,506,91705,,,98,-1,0,-1,-1,-1,71,172.217.22.35,,170,,
49,facebook,2019-10-11T14:19:57.459+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,91,129,1,0,168,0,162,172.217.22.35,,423,,
50,facebook,2019-10-11T14:19:57.739+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,101,-1,0,-1,-1,-1,4,216.58.205.228,,107,,
51,facebook,2019-10-11T14:19:57.848+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=bde6uyh17o4v,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1123,,,97,-1,0,-1,-1,-1,0,216.58.205.228,,99,value,
52,facebook,2019-10-11T14:19:57.897+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,91,111,0,0,154,0,1,216.58.205.228,,248,value,
53,facebook,2019-10-11T14:19:57.965+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,526,0,,200,OK,HTTP/1.1,0,text/css,,,506,91705,,,98,-1,0,-1,-1,-1,134,172.217.22.35,,234,,
54,facebook,2019-10-11T14:19:58.006+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,142,-1,0,-1,-1,-1,73,172.217.22.35,,216,,
55,facebook,2019-10-11T14:19:58.250+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001283825&__s=280fvo%3Akox9az%3Agy9tum&__hsi=6746508111752890646-0&__spin_r=1001283825&__spin_b=trunk&__spin_t=1570793826,HTTP/1.1,827,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,-1,-1,-1,0,157.240.1.35,,0,value,No response received
