,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.send,timings.dns,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
29,facebook,2019-10-11T13:13:49.549+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yq/r/BZz23nhoIDH.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5891,,,4,-1,-1,0,-1,92,-1,157.240.1.23,,97,value,
30,facebook,2019-10-11T13:13:49.609+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,0,-1,112,-1,157.240.1.35,,113,,
31,facebook,2019-10-11T13:13:49.691+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,-1,-1,0,-1,92,-1,157.240.1.23,,93,,
32,facebook,2019-10-11T13:13:50.912+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yd/l/he_IL/et_JXsYk1k4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16033,,,6,-1,-1,0,-1,104,-1,157.240.1.23,,111,value,
33,facebook,2019-10-11T13:13:50.970+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,0,2413,0,19,108,2381,157.240.1.35,,2543,,
34,facebook,2019-10-11T13:13:51.775+03:00,GET,https://cx.atdmt.com/?f=AYzq5cy6wzN3OopClz7nupRBwMnzrB1HCdot1vdqGO0f8YzJEzNWW_z9UOV_gKAj-vQd2TrkgDBXt3vvFzSba-JX&c=1403962551&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,537,42,,,0,0,1997,0,34,189,1980,157.240.1.6,,2222,value,
35,facebook,2019-10-11T13:13:53.111+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43646,,,108,0,3364,0,26,205,3334,157.240.1.35,,3706,value,
36,facebook,2019-10-11T13:13:53.356+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,1,-1,-1,1,-1,90,-1,157.240.1.23,,92,value,
37,facebook,2019-10-11T13:13:53.357+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/UBVbWsrwWm4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37009,,,32,-1,-1,1,-1,84,-1,157.240.1.23,,118,value,
38,facebook,2019-10-11T13:13:53.357+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/qK5lHUCv_Rg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81210,,,126,0,153,1,0,99,121,157.240.1.23,,380,value,
39,facebook,2019-10-11T13:13:53.380+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19280,,,13,-1,-1,0,-1,96,-1,157.240.1.23,,110,value,
40,facebook,2019-10-11T13:13:55.080+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,2,0,1700,0,22,110,1682,216.58.205.228,,1835,,
41,facebook,2019-10-11T13:13:55.302+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yY/l/he_IL/W4cLvXLCMX5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348502,,,158,-1,-1,0,-1,108,-1,157.240.1.23,,268,value,
42,facebook,2019-10-11T13:13:55.304+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yB/l/he_IL/H40LCujyL58.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17349,,,9,-1,-1,0,-1,111,-1,157.240.1.23,,121,value,
43,facebook,2019-10-11T13:13:55.304+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/3oYS-Pgffbm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,702,,,2,-1,-1,0,-1,94,-1,157.240.1.23,,97,value,
