,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.wait,timings.ssl,timings.send,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
20,facebook,2019-10-11T17:37:10.800+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7336,,,3,-1,-1,117,-1,0,-1,31.13.92.14,,121,value,
21,facebook,2019-10-11T17:37:10.933+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yB/l/he_IL/6QtwI5cme7d.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38698,,,15,-1,-1,99,-1,0,-1,31.13.92.14,,116,value,
22,facebook,2019-10-11T17:37:10.933+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yI/l/he_IL/CyJR3gPZyrL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4122,,,3,-1,-1,104,-1,0,-1,31.13.92.14,,107,value,
23,facebook,2019-10-11T17:37:10.935+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yJ/r/GMuvW6fMoph.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4811,,,2,-1,-1,108,-1,0,-1,31.13.92.14,,111,value,
24,facebook,2019-10-11T17:37:10.963+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yH/l/he_IL/AXXOjWBNuBI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17815,,,38,-1,-1,93,-1,0,-1,31.13.92.14,,132,value,
25,facebook,2019-10-11T17:37:11.013+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,2,-1,-1,86,-1,0,-1,31.13.92.14,,89,value,
26,facebook,2019-10-11T17:37:11.044+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,6,-1,-1,92,-1,0,-1,31.13.92.14,,99,value,
27,facebook,2019-10-11T17:37:11.051+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/233ChOovuGQ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5907,,,3,-1,-1,97,-1,0,-1,31.13.92.14,,101,value,
28,facebook,2019-10-11T17:37:11.210+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,1,-1,-1,107,-1,0,-1,31.13.92.14,,109,,
29,facebook,2019-10-11T17:37:12.859+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8229,,,8,-1,-1,114,-1,0,-1,31.13.92.14,,123,value,
30,facebook,2019-10-11T17:37:12.906+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,1,0,2749,195,2722,0,0,31.13.92.36,,2947,,
31,facebook,2019-10-11T17:37:13.023+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,661,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,1,-1,-1,190,-1,1,-1,31.13.92.36,,193,,
32,facebook,2019-10-11T17:37:13.233+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,661,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,1,-1,-1,182,-1,2,-1,31.13.92.36,,186,,
33,facebook,2019-10-11T17:37:14.227+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43474,,,133,0,931,255,902,0,32,31.13.92.36,,1353,value,
34,facebook,2019-10-11T17:37:14.501+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,0,-1,-1,114,-1,0,-1,31.13.92.14,,116,value,
35,facebook,2019-10-11T17:37:14.502+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,30745,,,44,-1,-1,102,-1,1,-1,31.13.92.14,,147,value,
36,facebook,2019-10-11T17:37:14.504+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/QTs4IZYXXtO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80852,,,45,-1,-1,112,-1,0,-1,31.13.92.14,,158,value,
37,facebook,2019-10-11T17:37:15.596+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,0,1093,112,1052,0,0,172.217.18.4,,1208,,
38,facebook,2019-10-11T17:37:17.532+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,145,0,1813,108,1778,0,0,172.217.22.35,,2068,,
39,facebook,2019-10-11T17:37:18.367+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/mNswUs5Eoxc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36705,,,32,-1,-1,109,-1,0,-1,31.13.92.14,,141,value,
40,facebook,2019-10-11T17:37:18.416+03:00,GET,https://cx.atdmt.com/?f=AYyg46n5lkxNvG566k4EjznV68JOrY1kZNVNr5LOXY7aF6ZnmMOtp-yBbwnzI9RLLEkBpaQHIOYdLmsyavoJ_XFr&c=366412241&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,0,0,4921,121,4890,0,33,31.13.92.2,,5078,value,
41,facebook,2019-10-11T17:37:18.583+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yx/l/he_IL/34kUFJtPTLh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,347543,,,169,-1,-1,119,-1,0,-1,31.13.92.14,,289,value,
42,facebook,2019-10-11T17:37:18.583+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yX/l/he_IL/0cW48Pmuor8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17228,,,15,-1,-1,102,-1,0,-1,31.13.92.14,,118,value,
43,facebook,2019-10-11T17:37:18.584+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/itt5OggiRv_.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,697,,,2,-1,-1,99,-1,0,-1,31.13.92.14,,101,value,
44,facebook,2019-10-11T17:37:18.585+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y1/l/he_IL/G2Nq2g8nC8X.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38526,,,77,-1,-1,113,-1,0,-1,31.13.92.14,,190,value,
45,facebook,2019-10-11T17:37:18.601+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=6jtjmfqy7fal,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9440,,,8,-1,-1,113,-1,0,-1,172.217.18.4,,122,value,
46,facebook,2019-10-11T17:37:18.797+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,59,-1,-1,98,-1,0,-1,172.217.22.35,,158,,
47,facebook,2019-10-11T17:37:18.957+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,149,0,154,85,123,0,0,172.217.22.35,,390,,
48,facebook,2019-10-11T17:37:19.224+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,10,-1,-1,91,-1,0,-1,172.217.18.4,,102,,
49,facebook,2019-10-11T17:37:19.330+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,-1,-1,92,-1,0,-1,172.217.18.4,,93,value,
50,facebook,2019-10-11T17:37:19.368+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,3094,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,0,-1,-1,129,-1,0,-1,31.13.92.36,,130,,
51,facebook,2019-10-11T17:37:19.378+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=uvoup4wfjddf,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1123,,,1,0,149,97,116,1,0,172.217.18.4,,249,value,
52,facebook,2019-10-11T17:37:19.443+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,83,-1,-1,93,-1,0,-1,172.217.22.35,,177,,
53,facebook,2019-10-11T17:37:19.547+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001283946&__s=asvnr1%3Ae7r0f6%3Arv0y57&__hsi=6746558994449769967-0&__spin_r=1001283946&__spin_b=trunk&__spin_t=1570805673,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,0,-1,0,-1,31.13.92.36,,0,value,No response received
