,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.dns,timings.blocked,timings.receive,timings.connect,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
28,facebook,2019-10-11T13:06:45.206+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,0,-1,-1,2,-1,97,-1,157.240.1.23,,100,value,
29,facebook,2019-10-11T13:06:45.227+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,0,-1,-1,6,-1,82,-1,157.240.1.23,,90,value,
30,facebook,2019-10-11T13:06:45.246+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,1,-1,118,-1,157.240.1.35,,120,,
31,facebook,2019-10-11T13:06:45.256+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/pvgGi3z1Vjk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5861,,,0,-1,-1,4,-1,94,-1,157.240.1.23,,99,value,
32,facebook,2019-10-11T13:06:45.373+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,0,-1,101,-1,157.240.1.35,,102,,
33,facebook,2019-10-11T13:06:45.388+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,-1,-1,0,-1,95,-1,157.240.1.23,,96,,
34,facebook,2019-10-11T13:06:47.399+03:00,GET,https://cx.atdmt.com/?f=AYxizvwMfot3RnnWpeCTeChMvstdbkARDH_WKaCAYau2WrTQvEh_vfizOCBNEGbbFwNInXcL2unV-4X-qkTP-SNY&c=1382454857&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,0,58,0,0,1811,201,1793,31.13.92.2,,2072,value,
35,facebook,2019-10-11T13:06:49.127+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43646,,,0,0,0,124,3607,183,3590,157.240.1.35,,3917,value,
36,facebook,2019-10-11T13:06:49.328+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,0,-1,-1,1,-1,93,-1,157.240.1.23,,95,value,
37,facebook,2019-10-11T13:06:49.329+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/UBVbWsrwWm4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37009,,,0,-1,-1,65,-1,103,-1,157.240.1.23,,169,value,
