,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.ssl,timings.dns,timings.send,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
28,facebook,2019-10-11T13:29:55.777+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,-1,0,-1,-1,0,102,157.240.1.23,,103,value,
29,facebook,2019-10-11T13:29:55.789+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,-1,-1,5,-1,-1,0,90,157.240.1.23,,96,value,
30,facebook,2019-10-11T13:29:55.793+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,-1,-1,0,113,157.240.1.35,,114,,
31,facebook,2019-10-11T13:29:55.866+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/pvgGi3z1Vjk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5861,,,-1,-1,2,-1,-1,0,83,157.240.1.23,,86,value,
32,facebook,2019-10-11T13:29:55.916+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,-1,-1,0,97,157.240.1.35,,99,,
33,facebook,2019-10-11T13:29:55.932+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,-1,0,-1,-1,0,98,157.240.1.23,,99,,
34,facebook,2019-10-11T13:29:57.622+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43636,,,1517,0,110,1487,0,0,204,157.240.1.35,,1833,value,
35,facebook,2019-10-11T13:29:57.845+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/UBVbWsrwWm4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37009,,,-1,-1,70,-1,-1,0,97,157.240.1.23,,169,value,
36,facebook,2019-10-11T13:29:57.846+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19280,,,-1,-1,9,-1,-1,0,93,157.240.1.23,,103,value,
37,facebook,2019-10-11T13:29:57.846+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/qK5lHUCv_Rg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81210,,,174,0,141,131,0,0,98,157.240.1.23,,415,value,
38,facebook,2019-10-11T13:29:57.846+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,-1,-1,0,-1,-1,0,96,157.240.1.23,,98,value,
39,facebook,2019-10-11T13:29:59.533+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,1687,0,0,1649,0,0,108,216.58.205.228,,1798,,
40,facebook,2019-10-11T13:29:59.719+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yY/l/he_IL/W4cLvXLCMX5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348502,,,-1,-1,170,-1,-1,0,116,157.240.1.23,,287,value,
41,facebook,2019-10-11T13:29:59.719+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yB/l/he_IL/H40LCujyL58.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17349,,,-1,-1,7,-1,-1,0,105,157.240.1.23,,113,value,
42,facebook,2019-10-11T13:29:59.720+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/3oYS-Pgffbm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,702,,,-1,-1,0,-1,-1,0,108,157.240.1.23,,109,value,
43,facebook,2019-10-11T13:29:59.721+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yw/l/he_IL/1TNVRo_j9oZ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38648,,,-1,-1,13,-1,-1,0,105,157.240.1.23,,119,value,
44,facebook,2019-10-11T13:30:00.054+03:00,GET,https://cx.atdmt.com/?f=AYxbwQIr6HLlnlAQK01w8ghEQWOJsUvLoMSLmkUdlm0PfcaASpP-paE0veAHIEeCsHS6OjLQp5nch4pDtXRlv4IY&c=1344285473&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,3917,0,0,3898,27,0,182,157.240.1.6,,4128,value,
45,facebook,2019-10-11T13:30:01.057+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,1404,0,137,1373,0,0,105,172.217.22.35,,1648,,
46,facebook,2019-10-11T13:30:01.323+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=7xeqec9d4akf,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9490,,,-1,-1,19,-1,-1,0,112,216.58.205.228,,132,value,
47,facebook,2019-10-11T13:30:01.473+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,506,91705,,,-1,-1,50,-1,-1,0,87,172.217.22.35,,138,,
48,facebook,2019-10-11T13:30:01.616+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,-1,-1,32,-1,-1,0,94,172.217.22.35,,127,,
49,facebook,2019-10-11T13:30:01.770+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,-1,-1,5,-1,-1,0,97,216.58.205.228,,103,,
50,facebook,2019-10-11T13:30:01.887+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=hn5baodcgj3k,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1121,,,-1,-1,0,-1,-1,0,106,216.58.205.228,,107,value,
51,facebook,2019-10-11T13:30:01.923+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,148,0,1,110,0,0,93,216.58.205.228,,244,value,
52,facebook,2019-10-11T13:30:02.068+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001283825&__s=19lyf0%3A6hwa1q%3At3g6dc&__hsi=6746495262171204218-0&__spin_r=1001283825&__spin_b=trunk&__spin_t=1570790834,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,-1,-1,0,0,157.240.1.35,,0,value,No response received
53,facebook,2019-10-11T13:30:02.074+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,-1,-1,0,0,172.217.22.35,,0,,No response received
