,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.dns,timings.ssl,timings.wait,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
25,facebook,2019-10-11T19:17:07.753+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,-1,-1,190,0,31.13.92.36,,192,,
26,facebook,2019-10-11T19:17:07.793+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,1,-1,-1,-1,92,0,31.13.92.14,,94,value,
27,facebook,2019-10-11T19:17:07.820+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,-1,5,-1,-1,-1,93,0,31.13.92.14,,100,value,
28,facebook,2019-10-11T19:17:07.822+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/cVS7gpEgER3.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5874,,,-1,4,-1,-1,-1,97,0,31.13.92.14,,103,value,
29,facebook,2019-10-11T19:17:07.952+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,-1,-1,187,0,31.13.92.36,,188,,
30,facebook,2019-10-11T19:17:08.024+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,-1,-1,0,0,31.13.92.14,,0,,No response received
31,facebook,2019-10-11T19:17:08.896+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yH/l/he_IL/lORjA4jAIhX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16003,,,-1,6,-1,-1,-1,103,0,31.13.92.14,,110,value,
32,facebook,2019-10-11T19:17:08.959+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,0,2042,0,2012,190,0,31.13.92.36,,2235,,
33,facebook,2019-10-11T19:17:10.526+03:00,GET,https://cx.atdmt.com/?f=AYz3XXJ7GW8NtvbztdOEaSGY1X4XsQ9wyYN85uhIBTeHBJw0NFHRzdyTrImPTdI30CYOxY5qHpA2QJleGkjObVWv&c=1549858104&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,0,0,2308,61,2279,168,0,31.13.92.2,,2540,value,
34,facebook,2019-10-11T19:17:15.331+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43436,,,0,118,7264,0,7235,278,0,31.13.92.36,,7663,value,
35,facebook,2019-10-11T19:17:15.654+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,-1,1,-1,-1,-1,107,2,31.13.92.14,,111,value,
36,facebook,2019-10-11T19:17:15.654+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/mNswUs5Eoxc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36705,,,-1,73,-1,-1,-1,89,2,31.13.92.14,,165,value,
37,facebook,2019-10-11T19:17:15.656+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/QTs4IZYXXtO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80852,,,0,162,151,0,126,89,1,31.13.92.14,,404,value,
38,facebook,2019-10-11T19:17:15.656+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,30745,,,-1,21,-1,-1,-1,94,2,31.13.92.14,,118,value,
39,facebook,2019-10-11T19:17:17.467+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,4956,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,1,-1,-1,-1,145,0,31.13.92.36,,147,,
40,facebook,2019-10-11T19:17:17.517+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,9,1861,0,1838,101,0,172.217.18.4,,1975,,
41,facebook,2019-10-11T19:17:17.740+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yx/l/he_IL/34kUFJtPTLh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,347543,,,-1,142,-1,-1,-1,150,0,31.13.92.14,,293,value,
42,facebook,2019-10-11T19:17:17.741+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yX/l/he_IL/0cW48Pmuor8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17228,,,-1,32,-1,-1,-1,130,0,31.13.92.14,,164,value,
43,facebook,2019-10-11T19:17:17.741+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/itt5OggiRv_.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,697,,,-1,1,-1,-1,-1,131,0,31.13.92.14,,132,value,
44,facebook,2019-10-11T19:17:17.741+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y1/l/he_IL/G2Nq2g8nC8X.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38526,,,-1,17,-1,-1,-1,133,0,31.13.92.14,,151,value,
45,facebook,2019-10-11T19:17:20.155+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,0,137,2498,1,2470,106,0,172.217.22.35,,2744,,
46,facebook,2019-10-11T19:17:20.423+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=a0u40ih3mbl0,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9588,,,-1,25,-1,-1,-1,107,0,172.217.18.4,,133,value,
47,facebook,2019-10-11T19:17:20.546+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,-1,72,-1,-1,-1,88,0,172.217.22.35,,161,,
48,facebook,2019-10-11T19:17:20.695+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,0,174,146,0,113,84,1,172.217.22.35,,406,,
49,facebook,2019-10-11T19:17:20.982+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,-1,3,-1,-1,-1,97,0,172.217.18.4,,101,,
50,facebook,2019-10-11T19:17:21.086+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=iyh8zstw4gh4,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1122,,,-1,1,-1,-1,-1,95,0,172.217.18.4,,97,value,
51,facebook,2019-10-11T19:17:21.138+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,0,152,0,113,103,0,172.217.18.4,,257,value,
52,facebook,2019-10-11T19:17:21.251+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001284080&__s=cc7bcx%3A0bcewn%3Ajdtr2x&__hsi=6746584734863015094-0&__spin_r=1001284080&__spin_b=trunk&__spin_t=1570811666,HTTP/1.1,827,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,-1,-1,0,0,31.13.92.36,,0,value,No response received
53,facebook,2019-10-11T19:17:21.262+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,-1,-1,0,0,172.217.22.35,,0,,No response received
