,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.ssl,timings.wait,timings.send,timings.dns,serverIPAddress,comment,time,request.queryString.name
10,,2019-10-09T18:46:01.306+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/play-icon.svg,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,249,,,-1,0,-1,-1,92,0,-1,13.226.6.196,,93,
11,,2019-10-09T18:46:01.311+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/laptop-features.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,698,,,-1,1,-1,-1,90,0,-1,13.226.6.196,,92,
12,,2019-10-09T18:46:01.315+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-speaker.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,394,,,-1,2,-1,-1,89,0,-1,13.226.6.196,,92,
13,,2019-10-09T18:46:01.317+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-check.svg,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,293,,,-1,0,-1,-1,89,0,-1,13.226.6.196,,91,
14,,2019-10-09T18:46:01.349+03:00,POST,https://www.duolingo.com/2017-06-30/tracking-status,HTTP/1.1,797,68,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,1159,2,,,-1,0,-1,-1,196,0,-1,52.1.236.43,,197,
15,,2019-10-09T18:46:01.404+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-lingot.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,389,,,-1,1,-1,-1,87,0,-1,13.226.6.196,,89,
16,,2019-10-09T18:46:01.411+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-streak.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,454,,,-1,0,-1,-1,88,0,-1,13.226.6.196,,90,
17,,2019-10-09T18:46:01.411+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/duo-plus-fly-circle-2.svg,HTTP/1.1,456,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,3190,,,-1,2,-1,-1,88,0,-1,13.226.6.196,,91,
18,,2019-10-09T18:46:01.413+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/badge-app-store.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,463,,,-1,0,-1,-1,89,0,-1,13.226.6.196,,90,
19,,2019-10-09T18:46:01.499+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/duo-traveler.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,3419,,,275,4,0,244,84,0,0,13.226.6.196,,365,
20,,2019-10-09T18:46:01.499+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/badge-play-store.svg,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,618,,,-1,0,-1,-1,90,0,-1,13.226.6.196,,92,
21,,2019-10-09T18:46:01.512+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/laptop-schools.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,2078,,,-1,1,-1,-1,87,0,-1,13.226.6.196,,90,
22,,2019-10-09T18:46:01.517+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/logo-white.svg,HTTP/1.1,412,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,993,,,-1,0,-1,-1,98,1,-1,13.226.6.196,,100,
23,,2019-10-09T18:46:01.541+03:00,GET,https://www.duolingo.com/api/1/courses/list?_=1570635961525,HTTP/1.1,765,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,680,2917,,,291,0,0,263,181,1,0,52.1.236.43,,475,value
24,,2019-10-09T18:46:01.730+03:00,GET,https://www.duolingo.com/gcm-service-worker.js,HTTP/1.1,754,0,,200,OK,HTTP/1.1,0,application/javascript,,,716,2449,,,-1,0,-1,-1,175,0,-1,52.1.236.43,,176,
25,,2019-10-09T18:46:01.946+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/fonts/DINNextRoundedLTPro-Bold.woff,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,binary/octet-stream,,,710,56944,,,371,96,0,349,103,1,0,13.226.6.196,,573,
26,,2019-10-09T18:46:02.152+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/fonts/DINNextRoundedLTPro-Regular.woff,HTTP/1.1,457,0,,200,OK,HTTP/1.1,0,binary/octet-stream,,,710,54921,,,-1,51,-1,-1,93,0,-1,13.226.6.196,,146,
27,,2019-10-09T18:46:03.306+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,1767,0,0,1743,178,0,0,52.73.238.209,,1947,
28,,2019-10-09T18:46:03.308+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,1780,0,0,1755,175,0,0,52.73.238.209,,1957,
29,,2019-10-09T18:46:03.340+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,1818,0,0,1789,164,1,0,52.73.238.209,,1984,
30,,2019-10-09T18:46:03.413+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,2225,0,0,2197,163,0,28,52.73.238.209,,2418,
31,,2019-10-09T18:46:03.415+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,1879,0,0,1857,162,0,0,52.73.238.209,,2043,
32,,2019-10-09T18:46:03.490+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,-1,0,-1,-1,156,0,-1,52.73.238.209,,157,
33,,2019-10-09T18:46:03.490+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,-1,0,-1,-1,155,0,-1,52.73.238.209,,156,
34,,2019-10-09T18:46:03.510+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,-1,0,-1,-1,164,0,-1,52.73.238.209,,165,
35,,2019-10-09T18:46:03.583+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,885,,200,OK,HTTP/1.1,0,,,,358,34,,,-1,0,-1,-1,189,0,-1,52.73.238.209,,190,
36,,2019-10-09T18:46:03.584+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,771,,200,OK,HTTP/1.1,0,,,,358,34,,,-1,0,-1,-1,267,0,-1,52.73.238.209,,268,
37,,2019-10-09T18:46:03.649+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,886,,200,OK,HTTP/1.1,0,,,,358,34,,,-1,0,-1,-1,282,0,-1,52.73.238.209,,284,
38,,2019-10-09T18:46:03.651+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,792,,200,OK,HTTP/1.1,0,,,,358,34,,,-1,1,-1,-1,536,0,-1,52.73.238.209,,538,
39,,2019-10-09T18:46:03.678+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,827,,200,OK,HTTP/1.1,0,,,,358,34,,,-1,0,-1,-1,194,0,-1,52.73.238.209,,195,
40,,2019-10-09T18:46:03.754+03:00,GET,https://client.perimeterx.net/PXAsQJFZ9W/main.min.js,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,617,26764,,,2566,59,0,2543,87,0,26,151.101.18.110,,2741,
41,,2019-10-09T18:46:03.776+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,819,,200,OK,HTTP/1.1,0,,,,358,34,,,-1,0,-1,-1,289,0,-1,52.73.238.209,,290,
42,,2019-10-09T18:46:03.855+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,868,,200,OK,HTTP/1.1,0,,,,358,34,,,-1,0,-1,-1,230,0,-1,52.73.238.209,,231,
43,,2019-10-09T18:46:03.876+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,869,,200,OK,HTTP/1.1,0,,,,358,34,,,-1,0,-1,-1,256,0,-1,52.73.238.209,,257,
44,,2019-10-09T18:46:04.055+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-TX6Z97C,HTTP/1.1,371,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,22078,,,3076,63,0,3038,95,0,0,216.58.207.72,,3237,value
