,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.send,timings.dns,timings.wait,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
24,,2019-10-09T15:59:05.159+03:00,GET,https://static.doubleclick.net/instream/ad_status.js,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,29,,,3378,1,51,87,0,3402,0,216.58.206.6,,3542,,
25,,2019-10-09T15:59:05.301+03:00,GET,https://i.ytimg.com/vi/daw9GoZWWSI/default.jpg,HTTP/1.1,415,0,,200,OK,HTTP/1.1,0,image/jpeg,,,454,4111,,,3318,1,31,98,0,3343,1,172.217.22.54,,3476,,
26,,2019-10-09T15:59:05.329+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2,HTTP/1.1,428,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,15344,,,3327,0,0,86,0,3361,26,172.217.21.227,,3476,,
27,,2019-10-09T15:59:05.776+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/error_handler.js,HTTP/1.1,1317,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,678,3377,,,4425,1,27,95,0,4457,1,172.217.16.129,,4583,,
28,,2019-10-09T15:59:05.777+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/abg_lite.js,HTTP/1.1,1305,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,679,11455,,,4434,1,27,90,0,4458,28,172.217.16.129,,4605,,
29,,2019-10-09T15:59:05.779+03:00,GET,https://tpc.googlesyndication.com/simgad/2671993393372279051?sqp=4sqPyQQ7QjkqNxABHQAAtEIgASgBMAk4A0DwkwlYAWBfcAKAAQGIAQGdAQAAgD-oAQGwAYCt4gS4AV_FAS2ynT4&rs=AOga4qnnFE7xDYzZzOuZA0b-224QLAQLzA,HTTP/1.1,1456,0,,200,OK,HTTP/1.1,0,image/jpeg,,,521,133286,,,4427,0,27,97,0,4459,202,172.217.16.129,,4787,value,
30,,2019-10-09T15:59:05.888+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/m_js_controller.js,HTTP/1.1,1319,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,680,14391,,,-1,0,-1,99,-1,-1,41,172.217.16.129,,142,,
31,,2019-10-09T15:59:05.898+03:00,GET,https://googleads.g.doubleclick.net/pagead/adview?ai=CxlKKqN2dXcb0KIf73gOU-aiIB4PsleVY9NiX-qAJv-EeEAEg4LrbKGD5uvSDnBCgAfmgpOoCyAECqAMByAPJBKoErwFP0IAroWad6t-pT1oiVlpSuXu-iLMqzK9YcBXV69S7-QLsBIy8TlrlF9D-4z5sdsJCsGNxlWHMsmc1BaoWLLmCLY4WLbtIc9TU7CCxW5JZWVGJSW3AsDPZ05OZtnpo9-N1JNZhRaVPGrpG0shLJ3UX7O8R_WIkW6D5VTbvxSeRXKhXn9_jp7ETsoKir1Z7FlN_MGNf77lNDKV9ZPawfpPuP2-JzZoelB03BJri_LGBwAS_-MyqlAKSBQQIBBgBkgUECAUYBKAGAoAH797blQGoB47OG6gH1ckbqAfB0xuoB4XUG6gHgdQbqAeC1BuoB4bUG6gHhNQbqAeT2BuoB-DTG6gHugaoB9nLG6gHz8wbqAemvhvYBwHyBwQQwqgV0ggHCIBhEAEYHoAKAdgTDA&sigh=k0qCHHIEsms&tpd=AGWhJmvaK0irpxdnHE_YA_-CoDb0j1zgkDyKPwX8tzNmg2ozMQ,HTTP/1.1,1929,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,788,0,,,-1,0,-1,103,-1,-1,0,216.58.205.226,,104,value,
32,,2019-10-09T15:59:05.902+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/qs_click_protection.js,HTTP/1.1,1323,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,678,5132,,,-1,0,-1,95,-1,-1,2,172.217.16.129,,98,,
33,,2019-10-09T15:59:05.917+03:00,GET,https://googleads.g.doubleclick.net/pagead/drt/s?v=r20120211,HTTP/1.1,1522,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,609,145,,,-1,0,-1,90,-1,-1,0,216.58.205.226,,91,value,
34,,2019-10-09T15:59:06.007+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/window_focus.js,HTTP/1.1,1316,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,679,1044,,,-1,0,-1,85,-1,-1,0,172.217.16.129,,87,,
35,,2019-10-09T15:59:07.336+03:00,GET,https://www.googletagservices.com/activeview/js/current/osd_listener.js?cache=r20110914,HTTP/1.1,1317,0,,200,OK,HTTP/1.1,0,text/javascript,,,708,29611,,,-1,0,-1,125,-1,-1,46,216.58.208.34,,173,value,
36,,2019-10-09T15:59:07.396+03:00,GET,https://www.google.com/pagead/drt/ui,HTTP/1.1,541,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://googleads.g.doubleclick.net/pagead/drt/si,401,246,,,1331,0,0,121,0,1370,0,216.58.205.228,,1492,,
37,,2019-10-09T15:59:07.397+03:00,GET,https://www.google.com/js/bg/HrK92udDk6HoGDmAxeAPjdRCsXObyhVNLwAlDW4jykM.js,HTTP/1.1,408,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,5306,,,5642,0,0,92,0,5690,1,216.58.205.228,,5784,,
38,,2019-10-09T15:59:07.522+03:00,GET,https://googleads.g.doubleclick.net/pagead/drt/si,HTTP/1.1,632,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,888,0,,,-1,0,-1,140,-1,-1,0,216.58.205.226,,141,,
39,,2019-10-09T15:59:07.596+03:00,GET,https://www.youtube.com/generate_204?iwPvkA,HTTP/1.1,495,0,,204,No Content,HTTP/1.1,0,,,,211,0,,,-1,0,-1,89,-1,-1,0,172.217.18.14,,90,value,
40,,2019-10-09T15:59:07.708+03:00,GET,https://pagead2.googlesyndication.com/bg/aPEEM9OJ9hGaYafZgWtx3Nc8atx1tS31xt75J5Meqn4.js,HTTP/1.1,1317,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,0,-1,-1,0,172.217.18.98,,0,,No response received
