,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.dns,timings.ssl,timings.wait,timings.send,serverIPAddress,comment,time,response._error,request.queryString.name
10,,2019-10-09T17:04:00.240+03:00,GET,https://koalabeast.com/images/KoalaBeast.png,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,image/png,,,348,20583,,,2,-1,-1,-1,-1,333,0,45.32.213.115,,335,,
11,,2019-10-09T17:04:00.506+03:00,GET,https://koalabeast.com/images/background_cropped.jpg,HTTP/1.1,525,0,,200,OK,HTTP/1.1,0,image/jpeg,,,349,22851,,,3,-1,-1,-1,-1,184,0,45.32.213.115,,188,,
12,,2019-10-09T17:04:00.508+03:00,GET,https://koalabeast.com/images/flair.png,HTTP/1.1,512,0,,200,OK,HTTP/1.1,0,image/png,,,348,62916,,,305,-1,-1,-1,-1,212,0,45.32.213.115,,518,,
13,,2019-10-09T17:04:00.959+03:00,POST,https://koalabeast.com/fingerprint,HTTP/1.1,757,35,,200,OK,HTTP/1.1,0,text/plain; charset=utf-8,,,529,2,,,0,-1,-1,-1,-1,202,0,45.32.213.115,,204,,
14,,2019-10-09T17:04:00.970+03:00,GET,https://koalabeast.com/flairlog,HTTP/1.1,642,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,-1,-1,0,0,45.32.213.115,,0,No response received,
15,,2019-10-09T17:04:01.852+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,40,0,1411,0,1383,87,0,216.58.206.14,,1540,,
16,,2019-10-09T17:04:02.001+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1765098649&t=pageview&_s=1&dl=https%3A%2F%2Fkoalabeast.com%2F&ul=en-us&de=UTF-8&dt=TagPro%20Capture%20the%20Flag&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IEBAAEAB~&jid=1396437840&gjid=669177660&cid=861508366.1570629842&tid=UA-41030847-1&_gid=378026663.1570629842&_r=1&z=228086402,HTTP/1.1,685,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,0,-1,-1,-1,-1,99,0,216.58.206.14,,100,,value
17,,2019-10-09T17:04:02.931+03:00,GET,https://www.youtube.com/embed/6tu0JDFueDw,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1078,20555,,,54,0,2401,27,2372,226,0,216.58.208.46,,2710,,
18,,2019-10-09T17:04:03.216+03:00,GET,https://www.youtube.com/yts/cssbin/www-player-webp-vflOcA0vs.css,HTTP/1.1,495,0,,200,OK,HTTP/1.1,0,text/css,,,562,41442,,,60,-1,-1,-1,-1,92,0,216.58.208.46,,153,,
19,,2019-10-09T17:04:03.348+03:00,GET,https://www.youtube.com/yts/jsbin/www-embed-player-vflkOdfq9/www-embed-player.js,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,39029,,,91,0,151,0,121,87,2,216.58.208.46,,332,,
20,,2019-10-09T17:04:03.348+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflm8XufX/en_US/base.js,HTTP/1.1,484,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,393160,,,304,0,152,0,127,88,1,216.58.208.46,,547,,
21,,2019-10-09T17:04:03.876+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflm8XufX/en_US/remote.js,HTTP/1.1,486,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,29994,,,15,-1,-1,-1,-1,99,0,216.58.208.46,,115,,
22,,2019-10-09T17:04:05.323+03:00,GET,https://googleads.g.doubleclick.net/pagead/id,HTTP/1.1,408,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,1114,0,,,0,0,1483,28,1455,104,1,216.58.205.226,,1618,,
23,,2019-10-09T17:04:05.471+03:00,GET,https://yt3.ggpht.com/-rUWLinC_J5Q/AAAAAAAAAAI/AAAAAAAAAAA/BwfNr0-UsFA/s68-c-k-no-mo-rj-c0xffffff/photo.jpg,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,image/jpeg,,,573,3492,,,1,0,1520,25,1484,95,0,216.58.210.1,,1643,,
24,,2019-10-09T17:04:05.473+03:00,GET,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,HTTP/1.1,457,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,1282,133,,,1,-1,-1,-1,-1,99,0,216.58.205.226,,100,,value
25,,2019-10-09T17:04:07.067+03:00,GET,https://i.ytimg.com/vi/6tu0JDFueDw/maxresdefault.jpg,HTTP/1.1,421,0,,200,OK,HTTP/1.1,0,image/jpeg,,,445,88612,,,137,0,3116,23,3080,85,0,172.217.22.54,,3364,,
26,,2019-10-09T17:04:07.864+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4.woff2,HTTP/1.1,432,0,,200,OK,HTTP/1.1,0,font/woff2,,,520,15552,,,22,0,3873,50,3837,104,1,172.217.22.3,,4051,,
27,,2019-10-09T17:04:07.865+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2,HTTP/1.1,428,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,15344,,,36,0,3870,53,3837,106,0,172.217.22.3,,4068,,
28,,2019-10-09T17:04:08.582+03:00,GET,https://www.google.com/js/bg/aPEEM9OJ9hGaYafZgWtx3Nc8atx1tS31xt75J5Meqn4.js,HTTP/1.1,408,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5323,,,6,0,4767,0,4736,93,0,172.217.21.228,,4868,,
29,,2019-10-09T17:04:08.607+03:00,GET,https://static.doubleclick.net/instream/ad_status.js,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,29,,,1,0,4760,32,4731,85,0,216.58.206.6,,4880,,
30,,2019-10-09T17:04:08.802+03:00,GET,https://www.youtube.com/generate_204?OJtOtw,HTTP/1.1,495,0,,204,No Content,HTTP/1.1,0,,,,211,0,,,0,-1,-1,-1,-1,98,0,216.58.208.46,,98,,value
