,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.ssl,timings.dns,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
26,,2019-10-09T17:10:56.089+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p14624901_p_v13_ag.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,452,11575,,,0,94,3523,143,0,16,3569,13.35.198.36,,3823,,
27,,2019-10-09T17:10:56.090+03:00,GET,https://consent.truste.com/notice?domain=fandango.com&c=teconsent&js=bb&noticeType=bb,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,text/javascript;charset=ISO-8859-1,,,556,87,,,0,159,3904,61,0,0,3935,13.225.249.116,,4156,value,
28,,2019-10-09T17:10:56.099+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p15791706_p_v13_ay.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,38104,,,0,89,3535,152,0,59,3571,13.35.198.36,,3874,,
29,,2019-10-09T17:10:56.116+03:00,GET,https://sb.scorecardresearch.com/b2?c1=2&c2=6035083&ns__t=1570630256008&ns_c=UTF-8&cv=3.1e&c8=Movies%20%7C%20Flixster&c7=https%3A%2F%2Fwww.flixster.com%2F&c9=,HTTP/1.1,575,0,,204,No Content,HTTP/1.1,0,,,,250,0,,,0,99,-1,-1,-1,0,-1,96.17.200.131,,99,value,
30,,2019-10-09T17:10:56.146+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16835712_p_v13_ad.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,39685,,,0,90,-1,-1,-1,59,-1,13.35.198.36,,150,,
31,,2019-10-09T17:10:56.206+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p17317566_p_v13_aa.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,44077,,,0,110,-1,-1,-1,69,-1,13.35.198.36,,180,,
32,,2019-10-09T17:10:56.216+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p15724355_p_v13_aa.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,9890,,,0,83,-1,-1,-1,10,-1,13.35.198.36,,95,,
33,,2019-10-09T17:10:56.217+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16080020_p_v13_ba.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,452,32210,,,0,82,-1,-1,-1,45,-1,13.35.198.36,,128,,
34,,2019-10-09T17:10:56.249+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p15226139_p_v13_aa.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,32900,,,0,86,-1,-1,-1,40,-1,13.35.198.36,,128,,
35,,2019-10-09T17:10:56.256+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16762657_p_v13_ae.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,47417,,,0,88,-1,-1,-1,65,-1,13.35.198.36,,155,,
36,,2019-10-09T17:10:56.287+03:00,GET,https://assets.adobedtm.com/extensions/EP6989456eab6f4f618b15e82840ffd69b/AppMeasurement.min.js,HTTP/1.1,412,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,418,13098,,,0,47,-1,-1,-1,0,-1,212.55.188.52,,48,,
37,,2019-10-09T17:10:56.318+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p13946044_p_v7_aa.jpg,HTTP/1.1,626,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,21080,,,0,99,-1,-1,-1,18,-1,13.35.198.36,,118,,
