,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
17,,2019-10-09T18:03:44.276+03:00,POST,https://logx.optimizely.com/v1/events,HTTP/1.1,441,756,,204,No Content,HTTP/1.1,0,text/plain,,,338,0,,,-1,0,163,-1,0,-1,-1,52.22.163.82,,164,,
18,,2019-10-09T18:03:44.312+03:00,GET,https://connect.facebook.net/en_US/sdk.js?hash=2188fadc06f1b0e5cc2b9e131a2411f2&ua=modern_es6,HTTP/1.1,435,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,819,59063,,,-1,0,105,-1,39,-1,-1,31.13.92.14,,145,value,
19,,2019-10-09T18:03:44.410+03:00,GET,https://www.linkedin.com/pages-extensions/FollowCompany?id=27726&counter=right&xdOrigin=https%3A%2F%2Fwww.care2.com&xdChannel=f8bc1f5d-4d49-49eb-a9e0-bbddb30d8421&xd_origin_host=https%3A%2F%2Fwww.care2.com,HTTP/1.1,978,0,,200,OK,HTTP/1.1,0,text/html,,,1454,814,,,0,0,193,381,0,0,401,13.107.42.14,,596,value,
20,,2019-10-09T18:03:44.499+03:00,GET,https://staticxx.facebook.com/connect/xd_arbiter.php?version=44,HTTP/1.1,530,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1121,11785,,,-1,0,107,-1,5,-1,-1,31.13.92.14,,113,value,
21,,2019-10-09T18:03:44.635+03:00,GET,https://static-exp1.licdn.com/sc/p/com.linkedin.organization-guest-frontend%3Aorganization-guest-frontend-static-content%2B0.1.468/f/%2Forganization-guest-frontend%2Fstylesheets%2Fextensions%2Ffollow-company%2Fhorizontal_en_US.css,HTTP/1.1,742,0,,200,OK,HTTP/1.1,0,text/css,,,735,570,,,-1,0,39,-1,0,-1,-1,212.55.190.51,,40,,
22,,2019-10-09T18:03:45.015+03:00,GET,https://static.chartbeat.com/js/chartbeat.js,HTTP/1.1,358,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,534,14107,,,33,0,95,12857,29,0,12907,13.226.0.210,,13066,,
23,,2019-10-09T18:03:45.024+03:00,GET,https://www.facebook.com/x/oauth/status?client_id=482659988595053&input_token&origin=1&redirect_uri=https%3A%2F%2Fwww.care2.com%2F&sdk=joey&wants_cookie_data=true,HTTP/1.1,504,0,,200,OK,HTTP/1.1,0,text/plain; charset=UTF-8,,,594,0,,,0,0,124,483,0,0,521,157.240.1.35,,646,value,
24,,2019-10-09T18:03:45.458+03:00,POST,https://www.care2.com/servlets/petitions/get_sig_counts.php,HTTP/1.1,900,1119,,200,OK,HTTP/1.1,0,application/json,,,573,390,,,0,1,287,407,1,0,441,8.47.77.87,,731,,
25,,2019-10-09T18:03:47.966+03:00,GET,https://ping.chartbeat.net/ping?h=care2.com&p=%2F&u=ClxoWiBA5UdmCvCIz4&d=care2.com&g=62058&g0=No%20Section&g1=No%20Author&n=1&f=00001&c=0&x=0&m=0&y=4099&o=779&w=600&j=45&R=1&W=0&I=0&E=0&e=0&r=&b=3169&t=BGvHioDIAY6EBLtOMmDVJ0zEYESbT&V=116&i=Care2%20is%20the%20world%27s%20largest%20social%20network%20for%20good%2C%20a%20community%20of%20over%2040%20million%20people%20standing&tz=-180&sn=1&sv=CSh3vADhr5pmBj102iDQSZvBChvXs8&sd=1&im=066bff73&_,HTTP/1.1,792,0,,200,OK,HTTP/1.1,0,image/gif,,,209,43,,,27,0,179,2705,0,0,2733,52.73.113.243,,2941,value,
26,,2019-10-09T18:03:48.243+03:00,GET,https://www.facebook.com/v2.6/plugins/like.php?action=like&app_id=482659988595053&channel=https%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter.php%3Fversion%3D44%23cb%3Df125b45726514b%26domain%3Dwww.care2.com%26origin%3Dhttps%253A%252F%252Fwww.care2.com%252Ff15acf1bdce980c%26relation%3Dparent.parent&container_width=678&href=https%3A%2F%2Fwww.facebook.com%2FCare2&layout=button_count&locale=en_US&sdk=joey&share=false&show_faces=false&size=large,HTTP/1.1,919,0,,0,,unknown,0,,,,-1,-1,,,-1,0,0,-1,0,-1,-1,157.240.1.35,,0,value,No response received
