,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.dns,timings.blocked,timings.receive,timings.connect,timings.ssl,serverIPAddress,comment,time,response._error,request.queryString.name
10,,2019-10-09T18:52:47.294+03:00,GET,https://koalabeast.com/images/KoalaBeast.png,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,image/png,,,348,20583,,,0,331,-1,-1,1,-1,-1,45.32.213.115,,334,,
11,,2019-10-09T18:52:47.552+03:00,GET,https://koalabeast.com/images/background_cropped.jpg,HTTP/1.1,525,0,,200,OK,HTTP/1.1,0,image/jpeg,,,349,22851,,,0,181,-1,-1,4,-1,-1,45.32.213.115,,186,,
12,,2019-10-09T18:52:47.555+03:00,GET,https://koalabeast.com/images/flair.png,HTTP/1.1,512,0,,200,OK,HTTP/1.1,0,image/png,,,348,62916,,,0,208,-1,-1,259,-1,-1,45.32.213.115,,469,,
13,,2019-10-09T18:52:48.034+03:00,POST,https://koalabeast.com/fingerprint,HTTP/1.1,757,35,,200,OK,HTTP/1.1,0,text/plain; charset=utf-8,,,529,2,,,0,210,-1,-1,0,-1,-1,45.32.213.115,,211,,
14,,2019-10-09T18:52:48.049+03:00,GET,https://koalabeast.com/flairlog,HTTP/1.1,642,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,0,-1,-1,45.32.213.115,,0,No response received,
15,,2019-10-09T18:52:49.068+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,89,30,0,28,1574,1541,216.58.206.14,,1724,,
16,,2019-10-09T18:52:49.209+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1104690430&t=pageview&_s=1&dl=https%3A%2F%2Fkoalabeast.com%2F&ul=en-us&de=UTF-8&dt=TagPro%20Capture%20the%20Flag&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IEBAAEAB~&jid=642973534&gjid=2043216444&cid=1924499506.1570636369&tid=UA-41030847-1&_gid=1280040013.1570636369&_r=1&z=234486483,HTTP/1.1,687,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,0,98,-1,-1,0,-1,-1,216.58.206.14,,100,,value
17,,2019-10-09T18:52:50.723+03:00,GET,https://www.youtube.com/embed/6tu0JDFueDw,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1078,20415,,,0,215,27,0,50,3147,3121,172.217.23.142,,3442,,
18,,2019-10-09T18:52:50.993+03:00,GET,https://www.youtube.com/yts/cssbin/www-player-webp-vflOcA0vs.css,HTTP/1.1,495,0,,200,OK,HTTP/1.1,0,text/css,,,562,41442,,,0,83,-1,-1,55,-1,-1,172.217.23.142,,138,,
19,,2019-10-09T18:52:51.122+03:00,GET,https://www.youtube.com/yts/jsbin/www-embed-player-vfl0s3MKB/www-embed-player.js,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,39029,,,0,93,0,0,75,138,109,172.217.23.142,,308,,
20,,2019-10-09T18:52:51.132+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflPE_8vN/en_US/base.js,HTTP/1.1,484,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,393260,,,1,94,0,0,302,148,120,172.217.23.142,,547,,
21,,2019-10-09T18:52:51.662+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflPE_8vN/en_US/remote.js,HTTP/1.1,486,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,29996,,,0,99,-1,-1,18,-1,-1,172.217.23.142,,118,,
22,,2019-10-09T18:52:53.227+03:00,GET,https://www.google.com/js/bg/aPEEM9OJ9hGaYafZgWtx3Nc8atx1tS31xt75J5Meqn4.js,HTTP/1.1,408,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5323,,,1,103,0,0,2,1624,1587,172.217.21.228,,1732,,
23,,2019-10-09T18:52:53.971+03:00,GET,https://static.doubleclick.net/instream/ad_status.js,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,29,,,0,107,39,0,0,2328,2303,216.58.206.6,,2476,,
24,,2019-10-09T18:52:55.648+03:00,GET,https://yt3.ggpht.com/-rUWLinC_J5Q/AAAAAAAAAAI/AAAAAAAAAAA/BwfNr0-UsFA/s68-c-k-no-mo-rj-c0xffffff/photo.jpg,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,image/jpeg,,,574,3492,,,1,108,29,0,1,3902,3865,216.58.210.1,,4043,,
25,,2019-10-09T18:52:56.292+03:00,GET,https://googleads.g.doubleclick.net/pagead/id,HTTP/1.1,408,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,1114,0,,,0,112,0,0,0,4693,4660,216.58.210.2,,4808,,
26,,2019-10-09T18:52:56.402+03:00,GET,https://i.ytimg.com/vi/6tu0JDFueDw/maxresdefault.jpg,HTTP/1.1,421,0,,200,OK,HTTP/1.1,0,image/jpeg,,,435,88612,,,0,106,27,0,141,4656,4623,172.217.22.54,,4933,,
27,,2019-10-09T18:52:56.409+03:00,GET,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,HTTP/1.1,457,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,1282,133,,,0,95,-1,-1,1,-1,-1,216.58.210.2,,97,,value
28,,2019-10-09T18:52:57.921+03:00,GET,https://www.youtube.com/generate_204?EitLIA,HTTP/1.1,495,0,,204,No Content,HTTP/1.1,0,,,,211,0,,,0,96,-1,-1,0,-1,-1,172.217.23.142,,97,,value
29,,2019-10-09T18:52:57.972+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4.woff2,HTTP/1.1,432,0,,200,OK,HTTP/1.1,0,font/woff2,,,520,15552,,,0,97,0,0,35,6241,6211,172.217.22.3,,6375,,
30,,2019-10-09T18:52:57.973+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2,HTTP/1.1,428,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,15344,,,0,103,0,0,65,6242,6211,172.217.22.3,,6412,,
