,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.send,timings.ssl,timings.wait,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
20,facebook,2019-10-12T14:57:49.080+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7336,,,5,-1,-1,0,-1,101,-1,31.13.92.14,,107,value,
21,facebook,2019-10-12T14:57:49.180+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yF/l/he_IL/e__dq0qkm6O.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38673,,,68,-1,-1,0,-1,96,-1,31.13.92.14,,165,value,
22,facebook,2019-10-12T14:57:49.195+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yI/l/he_IL/CyJR3gPZyrL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4122,,,0,-1,-1,0,-1,99,-1,31.13.92.14,,100,value,
23,facebook,2019-10-12T14:57:49.195+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yJ/r/GMuvW6fMoph.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4811,,,2,-1,-1,0,-1,96,-1,31.13.92.14,,99,value,
24,facebook,2019-10-12T14:57:49.211+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,0,-1,130,-1,31.13.92.36,,131,,
25,facebook,2019-10-12T14:57:49.215+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yH/l/he_IL/AXXOjWBNuBI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17815,,,33,-1,-1,0,-1,103,-1,31.13.92.14,,138,value,
26,facebook,2019-10-12T14:57:49.269+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,1,-1,-1,0,-1,98,-1,31.13.92.14,,101,value,
27,facebook,2019-10-12T14:57:49.301+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,10,-1,-1,0,-1,102,-1,31.13.92.14,,113,value,
28,facebook,2019-10-12T14:57:49.301+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/233ChOovuGQ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5907,,,5,-1,-1,0,-1,105,-1,31.13.92.14,,111,value,
29,facebook,2019-10-12T14:57:49.332+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,0,-1,130,-1,31.13.92.36,,132,,
