,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.send,timings.ssl,timings.dns,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
28,facebook,2019-09-28T19:06:32.625+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yG/r/EDWT5D6CZW0.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3292,,,-1,1,-1,0,-1,-1,99,157.240.1.23,,101,value,
29,facebook,2019-09-28T19:06:32.636+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iJre4/yw/l/he_IL/5adkNit3zuK.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13874,,,-1,0,-1,0,-1,-1,101,157.240.1.23,,102,value,
30,facebook,2019-09-28T19:06:32.685+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1562,55,,,-1,1,-1,0,-1,-1,100,157.240.1.35,,102,,
31,facebook,2019-09-28T19:06:32.738+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yH/l/he_IL/gFylS2EXD7x.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,15605,,,-1,8,-1,0,-1,-1,93,157.240.1.23,,102,value,
32,facebook,2019-09-28T19:06:32.740+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/x9mvWUy_crF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4374,,,-1,9,-1,0,-1,-1,93,157.240.1.23,,103,value,
33,facebook,2019-09-28T19:06:32.747+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yr/l/he_IL/CsLqpwK7m82.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13490,,,-1,0,-1,1,-1,-1,100,157.240.1.23,,101,value,
34,facebook,2019-09-28T19:06:32.805+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,1,-1,0,-1,-1,86,157.240.1.23,,89,value,
35,facebook,2019-09-28T19:06:32.950+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,-1,0,-1,-1,86,157.240.1.23,,88,,
36,facebook,2019-09-28T19:06:33.519+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yg/r/Nn-CtpnbA7n.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17384,,,-1,9,-1,0,-1,-1,335,157.240.1.23,,345,value,
37,facebook,2019-09-28T19:06:33.616+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,2336,1,0,1,2241,12,465,157.240.1.35,,2817,,
38,facebook,2019-09-28T19:06:35.813+03:00,CONNECT,https://www.facebook.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,27,0,0,0,-1,0,0,157.240.1.35,,27,,Unable to connect to host
