,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.dns,timings.ssl,timings.send,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
10,facebook,2019-10-08T18:32:09.406+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,87,0,169,0,0,203,64,31.13.92.14,,356,,
11,facebook,2019-10-08T18:32:09.426+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,104,0,188,0,0,227,1,31.13.92.14,,334,,
12,facebook,2019-10-08T18:32:09.547+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,101,-1,-1,0,-1,-1,151,31.13.92.14,,254,,
13,facebook,2019-10-08T18:32:09.563+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,93,-1,-1,0,-1,-1,13,31.13.92.14,,106,,
14,facebook,2019-10-08T18:32:09.661+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,99,0,129,1,0,159,1,31.13.92.14,,261,,
15,facebook,2019-10-08T18:32:09.664+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,92,0,131,1,0,162,40,31.13.92.14,,296,,
16,facebook,2019-10-08T18:32:09.747+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yM/l/he_IL/UwuB0Jk9D55.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34959,,,110,-1,-1,0,-1,-1,19,31.13.92.14,,130,value,
17,facebook,2019-10-08T18:32:09.747+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/y7/l/he_IL/rwgfXsuKsef.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60480,,,110,-1,-1,0,-1,-1,82,31.13.92.14,,193,value,
18,facebook,2019-10-08T18:32:09.748+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/y4/l/he_IL/V6m9_fjueG0.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136839,,,120,-1,-1,0,-1,-1,115,31.13.92.14,,236,value,
19,facebook,2019-10-08T18:32:11.682+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/5SGT2kBEkqX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116247,,,109,-1,-1,0,-1,-1,127,31.13.92.14,,237,value,
20,facebook,2019-10-08T18:32:11.730+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,135,0,2247,0,0,2275,0,31.13.92.36,,2412,,
21,facebook,2019-10-08T18:32:11.969+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yO/l/he_IL/cTadSWTe1xu.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14075,,,103,-1,-1,0,-1,-1,18,31.13.92.14,,122,value,
22,facebook,2019-10-08T18:32:11.970+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yb/l/he_IL/kj6y7WsGkvS.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47039,,,131,-1,-1,0,-1,-1,19,31.13.92.14,,151,value,
23,facebook,2019-10-08T18:32:11.971+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/qiZUxJ7fKy8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16614,,,103,-1,-1,0,-1,-1,27,31.13.92.14,,131,value,
24,facebook,2019-10-08T18:32:11.972+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8229,,,102,-1,-1,0,-1,-1,22,31.13.92.14,,126,value,
25,facebook,2019-10-08T18:32:11.973+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iPY24/y7/l/he_IL/81-faHRzwnD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,65838,,,133,-1,-1,0,-1,-1,115,31.13.92.14,,249,value,
26,facebook,2019-10-08T18:32:11.974+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7336,,,116,-1,-1,0,-1,-1,3,31.13.92.14,,120,value,
27,facebook,2019-10-08T18:32:12.130+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ioCg4/y8/l/he_IL/AK56KEQ3_Bu.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,142975,,,117,-1,-1,0,-1,-1,77,31.13.92.14,,195,value,
28,facebook,2019-10-08T18:32:12.130+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yc/l/he_IL/8iTMPaoUOuX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38982,,,85,-1,-1,0,-1,-1,32,31.13.92.14,,118,value,
29,facebook,2019-10-08T18:32:12.130+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ibNQ4/yK/l/he_IL/P-rYuj18Ljt.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,149337,,,90,-1,-1,0,-1,-1,98,31.13.92.14,,189,value,
30,facebook,2019-10-08T18:32:12.130+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,89,-1,-1,0,-1,-1,1,31.13.92.14,,91,value,
31,facebook,2019-10-08T18:32:12.131+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,101,-1,-1,0,-1,-1,6,31.13.92.14,,108,value,
32,facebook,2019-10-08T18:32:12.147+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,149,-1,-1,0,-1,-1,0,157.240.1.35,,150,,
33,facebook,2019-10-08T18:32:12.239+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yS/r/NTJlxSdoH1s.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5737,,,97,-1,-1,0,-1,-1,11,31.13.92.14,,109,value,
34,facebook,2019-10-08T18:32:12.330+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,140,-1,-1,0,-1,-1,0,157.240.1.35,,141,,
35,facebook,2019-10-08T18:32:12.415+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,106,-1,-1,0,-1,-1,0,31.13.92.14,,107,,
36,facebook,2019-10-08T18:32:13.706+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44049,,,226,32,1065,0,0,1094,132,31.13.92.36,,1487,value,
37,facebook,2019-10-08T18:32:13.953+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,106,-1,-1,0,-1,-1,31,31.13.92.14,,139,value,
38,facebook,2019-10-08T18:32:13.953+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,109,-1,-1,0,-1,-1,67,31.13.92.14,,177,value,
39,facebook,2019-10-08T18:32:13.955+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,89,-1,-1,0,-1,-1,94,31.13.92.14,,184,value,
40,facebook,2019-10-08T18:32:14.944+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,114,0,955,0,0,989,0,172.217.18.4,,1106,,
41,facebook,2019-10-08T18:32:15.802+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,99,-1,-1,0,-1,-1,0,31.13.92.14,,100,value,
42,facebook,2019-10-08T18:32:15.869+03:00,GET,https://cx.atdmt.com/?f=AYwkGKPu5cm838uGwf9fLiA68s-M77avaGFuX6Wjf47gVNevqlgsPM1qJWjjG8ZRJCPWWoP2K3D5CutB8gQDScXH&c=223398310&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,142,30,3228,0,0,3257,0,31.13.92.2,,3431,value,
43,facebook,2019-10-08T18:32:15.952+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,103,-1,-1,0,-1,-1,5,31.13.92.14,,110,value,
44,facebook,2019-10-08T18:32:15.953+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/OJpt53iffhD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,698,,,93,-1,-1,0,-1,-1,0,31.13.92.14,,94,value,
45,facebook,2019-10-08T18:32:15.954+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,103,-1,-1,0,-1,-1,81,31.13.92.14,,186,value,
46,facebook,2019-10-08T18:32:15.956+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,102,-1,-1,1,-1,-1,106,31.13.92.14,,210,value,
47,facebook,2019-10-08T18:32:15.956+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,95,0,121,1,0,149,171,31.13.92.14,,418,value,
48,facebook,2019-10-08T18:32:15.956+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136441,,,90,0,123,0,0,154,172,31.13.92.14,,417,value,
49,facebook,2019-10-08T18:32:16.051+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,121,-1,-1,0,-1,-1,16,31.13.92.14,,139,value,
50,facebook,2019-10-08T18:32:17.457+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,99,0,2358,0,0,2384,157,172.217.22.35,,2643,,
51,facebook,2019-10-08T18:32:17.766+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=peb9z2d7212w,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9692,,,105,-1,-1,0,-1,-1,28,172.217.18.4,,135,value,
52,facebook,2019-10-08T18:32:17.921+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,92,-1,-1,0,-1,-1,64,172.217.22.35,,157,,
53,facebook,2019-10-08T18:32:18.071+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,90,0,112,1,0,149,152,172.217.22.35,,393,,
54,facebook,2019-10-08T18:32:18.341+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,89,-1,-1,0,-1,-1,5,172.217.18.4,,95,,
55,facebook,2019-10-08T18:32:18.438+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=mw1kagddh9ew,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1123,,,103,-1,-1,0,-1,-1,1,172.217.18.4,,105,value,
56,facebook,2019-10-08T18:32:18.490+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,91,0,106,0,0,145,0,172.217.18.4,,238,value,
57,facebook,2019-10-08T18:32:18.625+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001267097&__s=6yk63o%3Ag10fe5%3Axnhd0a&__hsi=6745459899537149892-0&__spin_r=1001267097&__spin_b=trunk&__spin_t=1570549770,HTTP/1.1,827,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,0,-1,-1,0,157.240.1.35,,0,value,No response received
58,facebook,2019-10-08T18:32:18.634+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,0,-1,-1,0,172.217.22.35,,0,,No response received
