,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.ssl,timings.wait,timings.dns,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
28,facebook,2019-10-12T15:33:20.424+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iI6R4/yF/l/he_IL/XJKDMvfVahn.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,31895,,,0,-1,110,-1,-1,-1,14,31.13.92.14,,125,value,
29,facebook,2019-10-12T15:33:20.448+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,151,-1,-1,-1,0,31.13.92.36,,153,,
30,facebook,2019-10-12T15:33:20.540+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yH/l/he_IL/-ky5JgleyuC.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,45848,,,1,-1,94,-1,-1,-1,18,31.13.92.14,,114,value,
31,facebook,2019-10-12T15:33:20.556+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yV/r/XT3rtN-i0ND.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5273,,,0,-1,94,-1,-1,-1,4,31.13.92.14,,99,value,
32,facebook,2019-10-12T15:33:20.556+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,0,-1,97,-1,-1,-1,1,31.13.92.14,,99,value,
33,facebook,2019-10-12T15:33:20.563+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yz/l/he_IL/N-1s1LbbNnd.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10911,,,0,-1,100,-1,-1,-1,6,31.13.92.14,,107,value,
34,facebook,2019-10-12T15:33:20.610+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,140,-1,-1,-1,0,31.13.92.36,,141,,
35,facebook,2019-10-12T15:33:20.614+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/fiIu-TlLO0o.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3560,,,0,-1,102,-1,-1,-1,1,31.13.92.14,,105,value,
36,facebook,2019-10-12T15:33:20.815+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,-1,119,-1,-1,-1,0,31.13.92.14,,120,,
37,facebook,2019-10-12T15:33:24.042+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44505,,,0,3148,214,0,3180,0,150,31.13.92.36,,3546,value,
38,facebook,2019-10-12T15:33:24.291+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,0,-1,123,-1,-1,-1,0,31.13.92.14,,124,value,
39,facebook,2019-10-12T15:33:24.291+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y4/l/0,cross/V27Eh7Ae0G5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,12847,,,0,-1,112,-1,-1,-1,8,31.13.92.14,,121,value,
40,facebook,2019-10-12T15:33:24.291+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y2/l/0,cross/h79YO-15mYX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39382,,,0,-1,120,-1,-1,-1,72,31.13.92.14,,193,value,
41,facebook,2019-10-12T15:33:25.110+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80884,,,0,-1,110,-1,-1,-1,68,31.13.92.14,,179,value,
42,facebook,2019-10-12T15:33:25.188+03:00,GET,https://cx.atdmt.com/?f=AYySLO0L4nxDctg5Iv-WP8Q5xEpUDIJuLhCwoE0TClMrYzuSVs4_AB0xiCaTe0Dl5ZhVxpFVSed3Kpcw9M89gtE-&c=1703994750&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,536,42,,,0,4261,123,30,4289,0,0,157.240.1.6,,4445,value,
43,facebook,2019-10-12T15:33:25.720+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i-z24/yd/l/he_IL/IdNhFImyk-m.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,27563,,,0,-1,110,-1,-1,-1,36,31.13.92.14,,147,value,
44,facebook,2019-10-12T15:33:25.767+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,6078,139,0,6108,0,0,31.13.92.36,,6249,,
45,facebook,2019-10-12T15:33:27.215+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,2890,95,0,2930,0,5,172.217.18.4,,3032,,
46,facebook,2019-10-12T15:33:27.466+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yG/l/he_IL/C2rdfnuuzwM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,99772,,,0,-1,110,-1,-1,-1,75,31.13.92.14,,186,value,
47,facebook,2019-10-12T15:33:27.466+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,0,-1,107,-1,-1,-1,1,31.13.92.14,,109,value,
48,facebook,2019-10-12T15:33:27.470+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yN/l/he_IL/12qn2khst7s.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,23448,,,1,-1,97,-1,-1,-1,47,31.13.92.14,,146,value,
49,facebook,2019-10-12T15:33:27.470+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iDFL4/yV/l/he_IL/YCq2rMVAOEr.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,162809,,,0,-1,116,-1,-1,-1,108,31.13.92.14,,225,value,
50,facebook,2019-10-12T15:33:27.471+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yu/r/wnLfF7HhDR3.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,52324,,,1,140,95,0,172,0,125,31.13.92.14,,395,value,
51,facebook,2019-10-12T15:33:27.471+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iO1G4/yw/l/he_IL/-eqlaODzE8I.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,6217,,,1,138,112,0,174,0,2,31.13.92.14,,291,value,
52,facebook,2019-10-12T15:33:28.059+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,0,675,100,1,710,0,137,172.217.22.35,,949,,
53,facebook,2019-10-12T15:33:28.342+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=odpvffx0te3,HTTP/1.1,721,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9370,,,0,-1,129,-1,-1,-1,14,172.217.18.4,,145,value,
54,facebook,2019-10-12T15:33:28.512+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,574,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,0,-1,95,-1,-1,-1,61,172.217.22.35,,158,,
55,facebook,2019-10-12T15:33:28.656+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,0,115,92,0,154,0,155,172.217.22.35,,403,,
56,facebook,2019-10-12T15:33:28.872+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,3082,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,1,-1,133,-1,-1,-1,0,31.13.92.36,,135,,
57,facebook,2019-10-12T15:33:28.942+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,552,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5384,,,0,-1,87,-1,-1,-1,5,172.217.18.4,,93,,
58,facebook,2019-10-12T15:33:29.038+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=8uhtmtfvpxgh,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1121,,,0,-1,103,-1,-1,-1,2,172.217.18.4,,106,value,
59,facebook,2019-10-12T15:33:29.084+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,564,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,105,93,0,138,0,0,172.217.18.4,,233,value,
60,facebook,2019-10-12T15:33:29.213+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001288592&__s=fecoeu%3Aq4qc9u%3Atjlwgb&__hsi=6746898163670575700-0&__spin_r=1001288592&__spin_b=trunk&__spin_t=1570884642,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,-1,-1,-1,0,31.13.92.36,,0,value,No response received
61,facebook,2019-10-12T15:33:29.227+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,-1,-1,-1,0,172.217.22.35,,0,,No response received
