,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.ssl,timings.wait,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
29,facebook,2019-10-08T17:54:55.932+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,-1,0,-1,104,-1,5,-1,31.13.92.14,,110,value,
30,facebook,2019-10-08T17:54:55.932+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,141,-1,0,-1,31.13.92.36,,142,,
31,facebook,2019-10-08T17:54:56.049+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/n8J09kaIuqi.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5711,,,-1,0,-1,95,-1,2,-1,31.13.92.14,,99,value,
32,facebook,2019-10-08T17:54:56.089+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,131,-1,0,-1,31.13.92.36,,132,,
33,facebook,2019-10-08T17:54:56.985+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iPY24/ys/l/he_IL/MOsw72LED37.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,65677,,,-1,0,-1,97,-1,74,-1,31.13.92.14,,172,value,
34,facebook,2019-10-08T17:54:57.064+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,0,1848,128,1883,0,0,31.13.92.36,,2014,,
35,facebook,2019-10-08T17:54:57.202+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,-1,87,-1,0,-1,31.13.92.14,,87,,
36,facebook,2019-10-08T17:54:57.282+03:00,GET,https://cx.atdmt.com/?f=AYywIkDiGpYNV2HQigT2aLaRyWYZP73etm9lONDmi98qmIOl257m5fqueQnUCrMuC2DC_M_FSH16aL3JDAHE_exb&c=931637052&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,537,42,,,39,0,852,118,877,0,0,31.13.92.2,,1035,value,
37,facebook,2019-10-08T17:54:57.440+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44050,,,0,0,1050,207,1078,132,0,31.13.92.36,,1419,value,
38,facebook,2019-10-08T17:54:57.681+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,-1,0,-1,105,-1,1,-1,31.13.92.14,,107,value,
