,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
28,facebook,2019-10-08T16:38:11.756+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,0,103,-1,-1,-1,1,31.13.92.14,,105,value,
29,facebook,2019-10-08T16:38:11.759+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,-1,0,97,-1,-1,-1,1,31.13.92.14,,99,value,
30,facebook,2019-10-08T16:38:11.770+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,123,-1,-1,-1,0,31.13.92.36,,124,,
31,facebook,2019-10-08T16:38:11.872+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/n8J09kaIuqi.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5711,,,-1,0,99,-1,-1,-1,5,31.13.92.14,,105,value,
32,facebook,2019-10-08T16:38:11.900+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,132,-1,-1,-1,0,31.13.92.36,,134,,
33,facebook,2019-10-08T16:38:13.933+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44044,,,0,0,233,1710,0,1743,122,31.13.92.36,,2100,value,
34,facebook,2019-10-08T16:38:14.190+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,-1,1,118,-1,-1,-1,6,31.13.92.14,,126,value,
35,facebook,2019-10-08T16:38:14.192+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,-1,0,126,-1,-1,-1,12,31.13.92.14,,139,value,
36,facebook,2019-10-08T16:38:14.193+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,-1,0,124,-1,-1,-1,14,31.13.92.14,,139,value,
37,facebook,2019-10-08T16:38:14.193+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,0,0,115,121,0,147,100,31.13.92.14,,364,value,
38,facebook,2019-10-08T16:38:14.267+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iPY24/ys/l/he_IL/MOsw72LED37.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,65677,,,-1,0,89,-1,-1,-1,117,31.13.92.14,,207,value,
39,facebook,2019-10-08T16:38:14.342+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,38,0,130,3445,0,3479,0,31.13.92.36,,3650,,
40,facebook,2019-10-08T16:38:14.524+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,117,-1,-1,-1,0,31.13.92.14,,118,,
41,facebook,2019-10-08T16:38:15.511+03:00,GET,https://cx.atdmt.com/?f=AYxWMAGT_Mfsfs8IA7quYLwfgu6aT5N6kXHMJyHRh-WqJzrkZW_aeTqiyVZhrP6TyFCBj8nFjVfznNiW_khLykyV&c=1931013365&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,0,0,137,3292,0,3322,0,31.13.92.2,,3462,value,
42,facebook,2019-10-08T16:38:15.770+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,0,108,1530,0,1578,3,172.217.18.4,,1690,,
43,facebook,2019-10-08T16:38:15.988+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,-1,0,100,-1,-1,-1,4,31.13.92.14,,105,value,
44,facebook,2019-10-08T16:38:15.989+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/OJpt53iffhD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,698,,,-1,0,104,-1,-1,-1,0,31.13.92.14,,105,value,
45,facebook,2019-10-08T16:38:15.990+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,-1,0,103,-1,-1,-1,91,31.13.92.14,,195,value,
46,facebook,2019-10-08T16:38:15.992+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,-1,1,108,-1,-1,-1,20,31.13.92.14,,130,value,
47,facebook,2019-10-08T16:38:15.992+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,0,0,87,123,0,150,171,31.13.92.14,,410,value,
48,facebook,2019-10-08T16:38:16.090+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,-1,0,111,-1,-1,-1,31,31.13.92.14,,143,value,
49,facebook,2019-10-08T16:38:16.090+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136441,,,-1,0,113,-1,-1,-1,91,31.13.92.14,,205,value,
50,facebook,2019-10-08T16:38:16.804+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,1,0,102,864,0,893,167,172.217.22.35,,1165,,
51,facebook,2019-10-08T16:38:17.102+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=aroxu0dhm63t,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9592,,,-1,0,142,-1,-1,-1,27,172.217.18.4,,171,value,
52,facebook,2019-10-08T16:38:17.287+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,0,95,-1,-1,-1,54,172.217.22.35,,150,,
53,facebook,2019-10-08T16:38:17.426+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,0,0,89,114,0,147,155,172.217.22.35,,393,,
54,facebook,2019-10-08T16:38:17.707+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,-1,0,90,-1,-1,-1,13,172.217.18.4,,104,,
55,facebook,2019-10-08T16:38:17.814+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=j48jmbeyyrm1,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1135,,,-1,0,96,-1,-1,-1,4,172.217.18.4,,101,value,
56,facebook,2019-10-08T16:38:17.853+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,0,90,111,0,142,0,172.217.18.4,,234,value,
57,facebook,2019-10-08T16:38:17.966+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001267097&__s=p11k5d%3Aszm7vo%3Ajd0w2y&__hsi=6745430526674679180-0&__spin_r=1001267097&__spin_b=trunk&__spin_t=1570542931,HTTP/1.1,827,0,,0,,unknown,0,,,,-1,-1,,,-1,0,0,-1,-1,-1,0,31.13.92.36,,0,value,No response received
58,facebook,2019-10-08T16:38:17.974+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,-1,0,0,-1,-1,-1,0,172.217.22.35,,0,,No response received
