,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name
20,facebook,2019-09-28T18:56:17.738+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,-1,300,-1,-1,0,118,-1,157.240.1.23,,419,value
21,facebook,2019-09-28T18:56:17.739+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yg/r/Nn-CtpnbA7n.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17384,,,-1,230,-1,-1,0,117,-1,157.240.1.23,,348,value
22,facebook,2019-09-28T18:56:17.739+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,-1,237,-1,-1,0,221,-1,157.240.1.23,,460,value
23,facebook,2019-09-28T18:56:17.740+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i5f14/yQ/l/he_IL/DAaf_rYHcvf.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,31403,,,-1,207,-1,-1,0,294,-1,157.240.1.23,,502,value
24,facebook,2019-09-28T18:56:17.950+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,-1,8,-1,-1,0,195,-1,157.240.1.23,,204,value
25,facebook,2019-09-28T18:56:17.987+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1562,55,,,-1,1,-1,-1,1,269,-1,157.240.1.35,,271,
26,facebook,2019-09-28T18:56:18.091+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yb/l/he_IL/GyR83-qaiWl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,35760,,,-1,251,-1,-1,0,166,-1,157.240.1.23,,418,value
27,facebook,2019-09-28T18:56:18.157+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iNz24/yg/l/he_IL/53HXKa4Btdy.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4543,,,-1,10,-1,-1,0,143,-1,157.240.1.23,,153,value
28,facebook,2019-09-28T18:56:18.161+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yG/r/EDWT5D6CZW0.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3292,,,-1,11,-1,-1,0,154,-1,157.240.1.23,,166,value
29,facebook,2019-09-28T18:56:18.210+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/x9mvWUy_crF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4374,,,-1,11,-1,-1,0,116,-1,157.240.1.23,,129,value
30,facebook,2019-09-28T18:56:18.247+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yr/l/he_IL/CsLqpwK7m82.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13490,,,-1,35,-1,-1,0,107,-1,157.240.1.23,,143,value
31,facebook,2019-09-28T18:56:18.315+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,7,-1,-1,0,137,-1,157.240.1.23,,145,value
32,facebook,2019-09-28T18:56:18.342+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yj/r/7IfOm1SRTox.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2116,,,-1,7,-1,-1,0,125,-1,157.240.1.23,,132,value
33,facebook,2019-09-28T18:56:18.407+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,-1,-1,0,100,-1,157.240.1.23,,102,
34,facebook,2019-09-28T18:56:20.751+03:00,GET,https://cx.atdmt.com/?f=AYynZBhdlVqGWqt1lO3wiz8xEuFJslYtkxEPbtNSBpfIEikqms24uKqR0l17jXqy1CFJ5JNUAaauOUpV8LxveKf1&c=1137963106&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,537,42,,,0,0,2382,58,1,134,2254,157.240.1.6,,2576,value
35,facebook,2019-09-28T18:56:21.956+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/y3/l/he_IL/wSoaFW7wWeN.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7081,,,-1,15,-1,-1,0,90,-1,157.240.1.23,,107,value
36,facebook,2019-09-28T18:56:22.019+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,0,6693,21,0,123,6597,157.240.1.35,,6840,
