,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.dns,timings.send,timings.ssl,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
28,facebook,2019-10-08T16:20:17.565+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,-1,-1,28,-1,0,-1,97,31.13.92.14,,126,value,
29,facebook,2019-10-08T16:20:17.587+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ibNQ4/yU/l/he_IL/hToT5-LTBQI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,149039,,,-1,-1,121,-1,0,-1,132,31.13.92.14,,255,value,
30,facebook,2019-10-08T16:20:17.594+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,-1,8,-1,0,-1,133,31.13.92.14,,142,value,
31,facebook,2019-10-08T16:20:17.596+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,-1,-1,5,-1,0,-1,139,31.13.92.14,,145,value,
32,facebook,2019-10-08T16:20:17.672+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,3,-1,0,-1,142,31.13.92.36,,146,,
33,facebook,2019-10-08T16:20:17.696+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/n8J09kaIuqi.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5711,,,-1,-1,1,-1,0,-1,123,31.13.92.14,,125,value,
34,facebook,2019-10-08T16:20:17.829+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1405,55,,,-1,-1,0,-1,0,-1,134,31.13.92.36,,136,,
35,facebook,2019-10-08T16:20:17.998+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,-1,0,-1,0,-1,93,31.13.92.14,,94,,
36,facebook,2019-10-08T16:20:20.466+03:00,GET,https://cx.atdmt.com/?f=AYyAlTRXCzwEcANWu5Ywlr9_w7le5gxlxCvRaacIdRpOa5fI3kUzB3noCdYmlCcELMzwbliKZE1okVkO9wx9Z0Sm&c=343308103&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,0,2311,0,39,0,2281,149,31.13.92.2,,2501,value,
37,facebook,2019-10-08T16:20:20.849+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44052,,,0,2702,111,33,0,2664,240,31.13.92.36,,3088,value,
38,facebook,2019-10-08T16:20:21.105+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,-1,-1,4,-1,0,-1,94,31.13.92.14,,99,value,
39,facebook,2019-10-08T16:20:21.106+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,-1,-1,7,-1,1,-1,98,31.13.92.14,,106,value,
40,facebook,2019-10-08T16:20:21.106+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,0,161,171,0,1,123,102,31.13.92.14,,436,value,
41,facebook,2019-10-08T16:20:21.107+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,-1,-1,14,-1,0,-1,105,31.13.92.14,,120,value,
42,facebook,2019-10-08T16:20:22.214+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,1106,1,1,0,1069,114,172.217.18.4,,1225,,
43,facebook,2019-10-08T16:20:22.421+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,-1,-1,6,-1,0,-1,104,31.13.92.14,,112,value,
44,facebook,2019-10-08T16:20:22.421+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/OJpt53iffhD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,698,,,-1,-1,0,-1,0,-1,115,31.13.92.14,,116,value,
45,facebook,2019-10-08T16:20:22.422+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,-1,-1,29,-1,0,-1,103,31.13.92.14,,134,value,
46,facebook,2019-10-08T16:20:22.426+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,-1,-1,101,-1,0,-1,95,31.13.92.14,,198,value,
47,facebook,2019-10-08T16:20:22.426+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,0,170,151,0,1,128,109,31.13.92.14,,432,value,
48,facebook,2019-10-08T16:20:22.538+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136441,,,-1,-1,86,-1,0,-1,95,31.13.92.14,,182,value,
49,facebook,2019-10-08T16:20:22.543+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,-1,-1,29,-1,0,-1,95,31.13.92.14,,126,value,
50,facebook,2019-10-08T16:20:24.803+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,0,2462,136,0,0,2426,99,172.217.22.35,,2700,,
51,facebook,2019-10-08T16:20:25.066+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=izvr76d48ygl,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9762,,,-1,-1,24,-1,0,-1,122,172.217.18.4,,147,value,
52,facebook,2019-10-08T16:20:25.208+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,-1,40,-1,1,-1,86,172.217.22.35,,127,,
53,facebook,2019-10-08T16:20:25.340+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,-1,-1,34,-1,0,-1,83,172.217.22.35,,118,,
54,facebook,2019-10-08T16:20:25.495+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,-1,-1,2,-1,0,-1,96,172.217.18.4,,99,,
55,facebook,2019-10-08T16:20:25.597+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=tvwtr23fuzvf,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1124,,,-1,-1,3,-1,0,-1,98,172.217.18.4,,102,value,
56,facebook,2019-10-08T16:20:25.649+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,150,0,0,0,110,106,172.217.18.4,,258,value,
57,facebook,2019-10-08T16:20:25.751+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001267097&__s=fo4xh7%3Argj64l%3Ab7h2z1&__hsi=6745425900510818118-0&__spin_r=1001267097&__spin_b=trunk&__spin_t=1570541854,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,-1,0,-1,0,31.13.92.36,,0,value,No response received
