,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.dns,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,response._error
10,facebook,2019-10-08T09:03:53.594+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/WiVUVeYVBNp.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1089,,,0,96,-1,-1,-1,0,-1,31.13.92.14,,97,
11,facebook,2019-10-08T09:03:53.607+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yy/l/0,cross/rskVMr-YH5L.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5298,,,0,95,-1,-1,-1,21,-1,31.13.92.14,,117,
12,facebook,2019-10-08T09:03:53.611+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,0,112,-1,-1,-1,54,-1,31.13.92.14,,167,
13,facebook,2019-10-08T09:03:55.609+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/kYnNrSU1AX6.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37205,,,0,92,-1,-1,-1,74,-1,31.13.92.14,,168,
14,facebook,2019-10-08T09:03:55.859+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,0,98,-1,-1,-1,32,-1,31.13.92.14,,131,
15,facebook,2019-10-08T09:03:55.859+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,0,94,-1,-1,-1,3,-1,31.13.92.14,,98,
16,facebook,2019-10-08T09:03:55.875+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,0,104,-1,-1,-1,73,-1,31.13.92.14,,178,
17,facebook,2019-10-08T09:03:55.876+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,0,94,0,122,167,8,0,31.13.92.14,,271,
18,facebook,2019-10-08T09:03:55.960+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,1,87,-1,-1,-1,2,-1,31.13.92.14,,91,
19,facebook,2019-10-08T09:03:55.986+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,0,88,-1,-1,-1,43,-1,31.13.92.14,,131,
20,facebook,2019-10-08T09:03:56.007+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iunM4/yk/l/he_IL/mfj2ISaK4Jk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,344276,,,0,92,-1,-1,-1,211,-1,31.13.92.14,,304,
21,facebook,2019-10-08T09:03:56.478+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yC/r/5jknhq0ezH4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9837,,,0,101,-1,-1,-1,11,-1,31.13.92.14,,113,
22,facebook,2019-10-08T09:03:56.479+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,0,120,-1,-1,-1,0,-1,31.13.92.14,,121,
23,facebook,2019-10-08T09:03:56.480+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ifmc4/yZ/l/he_IL/qn9QUahHfcD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17031,,,0,106,-1,-1,-1,66,-1,31.13.92.14,,174,
24,facebook,2019-10-08T09:03:56.480+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/VVEffoZ9eOt.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10421,,,0,107,-1,-1,-1,9,-1,31.13.92.14,,117,
25,facebook,2019-10-08T09:03:56.483+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i5f14/ye/l/he_IL/ZVuz92lEEOH.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,26707,,,0,109,-1,-1,-1,16,-1,31.13.92.14,,127,
26,facebook,2019-10-08T09:03:56.484+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iCqo4/yT/l/he_IL/8600ZvSyCMD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,21685,,,0,110,-1,-1,-1,12,-1,31.13.92.14,,123,
27,facebook,2019-10-08T09:03:56.598+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iIl84/yR/l/he_IL/nUDslGkOjz4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10605,,,0,110,-1,-1,-1,8,-1,31.13.92.14,,120,
28,facebook,2019-10-08T09:03:56.610+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i_HN4/yZ/l/he_IL/Ak1kbpE1m6C.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,1582,,,0,105,-1,-1,-1,3,-1,31.13.92.14,,109,
29,facebook,2019-10-08T09:03:56.611+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/460HBSAxl8E.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,12173,,,0,112,-1,-1,-1,7,-1,31.13.92.14,,120,
30,facebook,2019-10-08T09:03:56.615+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ivic4/yc/l/he_IL/UMO8BD_AQ4P.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,11731,,,0,105,-1,-1,-1,6,-1,31.13.92.14,,112,
31,facebook,2019-10-08T09:03:56.617+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yj/r/RgSGRI5K3mg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3738,,,0,98,-1,-1,-1,4,-1,31.13.92.14,,103,
32,facebook,2019-10-08T09:03:56.654+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1061,55,,,0,98,-1,-1,-1,0,-1,157.240.1.35,,99,
33,facebook,2019-10-08T09:03:56.657+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yh/l/he_IL/_EbvrHhgb-V.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,45817,,,0,84,-1,-1,-1,59,-1,31.13.92.14,,144,
34,facebook,2019-10-08T09:03:56.731+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/x9mvWUy_crF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4374,,,0,87,-1,-1,-1,2,-1,31.13.92.14,,90,
35,facebook,2019-10-08T09:03:56.733+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/y9/l/he_IL/JThaqtmySkz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14415,,,0,90,-1,-1,-1,10,-1,31.13.92.14,,101,
36,facebook,2019-10-08T09:03:56.733+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,0,87,-1,-1,-1,2,-1,31.13.92.14,,91,
37,facebook,2019-10-08T09:03:56.789+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1061,55,,,0,105,-1,-1,-1,0,-1,157.240.1.35,,106,
38,facebook,2019-10-08T09:03:57.027+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,97,-1,-1,-1,0,-1,31.13.92.14,,98,
39,facebook,2019-10-08T09:03:57.115+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,value,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43556,,,0,177,-1,-1,-1,60,-1,31.13.92.36,,239,
40,facebook,2019-10-08T09:03:57.149+03:00,GET,https://cx.atdmt.com/?f=AYwMIakmghuDU9MOWgms1ghh5KyZDdNDApFMMmi7tD5k2oUlYWyLeVBUX-BVQgrW00irgN19D3Kt4daZ9msLP237&c=1710817509&v=1&l=2,HTTP/1.1,value,652,0,,200,OK,HTTP/1.1,0,image/gif,,,387,42,,,0,201,-1,-1,-1,0,-1,31.13.92.2,,201,
41,facebook,2019-10-08T09:03:57.313+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,0,90,-1,-1,-1,2,-1,31.13.92.14,,93,
42,facebook,2019-10-08T09:03:57.313+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/66VkRtZyUph.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,41049,,,0,104,-1,-1,-1,19,-1,31.13.92.14,,124,
43,facebook,2019-10-08T09:03:57.314+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/kYnNrSU1AX6.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37205,,,0,93,-1,-1,-1,27,-1,31.13.92.14,,121,
44,facebook,2019-10-08T09:03:57.315+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,0,106,-1,-1,-1,38,-1,31.13.92.14,,146,
45,facebook,2019-10-08T09:03:57.543+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,87,0,213,243,1,0,172.217.18.4,,333,
46,facebook,2019-10-08T09:03:57.796+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,0,100,-1,-1,-1,2,-1,31.13.92.14,,103,
47,facebook,2019-10-08T09:03:57.797+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iunM4/yk/l/he_IL/mfj2ISaK4Jk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,344276,,,0,117,-1,-1,-1,146,-1,31.13.92.14,,264,
48,facebook,2019-10-08T09:03:57.799+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ifmc4/yZ/l/he_IL/qn9QUahHfcD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17031,,,0,100,-1,-1,-1,20,-1,31.13.92.14,,121,
49,facebook,2019-10-08T09:03:59.036+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,0,104,4,1340,1366,133,0,172.217.22.35,,1609,
50,facebook,2019-10-08T09:03:59.312+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=lkzm1pcwv2mb,HTTP/1.1,value,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9617,,,0,116,-1,-1,-1,35,-1,172.217.18.4,,152,
51,facebook,2019-10-08T09:03:59.441+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,0,85,-1,-1,-1,81,-1,172.217.22.35,,167,
52,facebook,2019-10-08T09:03:59.586+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,0,87,0,112,143,152,0,172.217.22.35,,384,
53,facebook,2019-10-08T09:03:59.873+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,0,92,-1,-1,-1,3,-1,172.217.18.4,,96,
54,facebook,2019-10-08T09:03:59.972+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=u3h4u0dt3q38,HTTP/1.1,value,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1123,,,0,93,-1,-1,-1,5,-1,172.217.18.4,,100,
55,facebook,2019-10-08T09:04:00.030+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,value,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,114,0,115,153,1,0,172.217.18.4,,269,
56,facebook,2019-10-08T09:04:00.316+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,,526,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,0,93,-1,-1,-1,45,-1,172.217.22.35,,139,
57,facebook,2019-10-08T09:04:00.435+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,-1,,,0,86,-1,-1,-1,0,-1,172.217.22.35,,87,
58,facebook,2019-10-08T09:04:00.507+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001266026&__s=vjsbvd%3A5bvnff%3Atnqvmn&__hsi=6745313462211723779-0&__spin_r=1001266026&__spin_b=trunk&__spin_t=1570515675,HTTP/1.1,value,825,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,-1,0,-1,157.240.1.35,,0,No response received
