,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.ssl,timings.dns,timings.send,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
38,facebook,2019-10-08T19:59:34.047+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,-1,64,-1,-1,-1,0,97,31.13.92.14,,162,value,
39,facebook,2019-10-08T19:59:34.048+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,-1,17,-1,-1,-1,0,93,31.13.92.14,,110,value,
40,facebook,2019-10-08T19:59:34.397+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,-1,104,-1,-1,-1,0,100,31.13.92.14,,204,value,
41,facebook,2019-10-08T19:59:34.448+03:00,GET,https://cx.atdmt.com/?f=AYzVRR-1IO2-EuoyiYrtK4My67hzvx4xl8gGVxXWbh8WrSLYvnh8V4E-pT2NlghfvAXTmcSLvn6E0il-4RFp7qO3&c=22489970&v=1&l=2,HTTP/1.1,508,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,2372,0,0,2333,33,0,128,31.13.92.2,,2535,value,
42,facebook,2019-10-08T19:59:36.259+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,2211,2,0,2187,0,0,97,172.217.18.4,,2312,,
43,facebook,2019-10-08T19:59:36.471+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,-1,2,-1,-1,-1,0,138,31.13.92.14,,141,value,
44,facebook,2019-10-08T19:59:36.472+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/OJpt53iffhD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,698,,,-1,3,-1,-1,-1,0,104,31.13.92.14,,109,value,
45,facebook,2019-10-08T19:59:36.473+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,-1,36,-1,-1,-1,0,107,31.13.92.14,,143,value,
46,facebook,2019-10-08T19:59:36.473+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,-1,112,-1,-1,-1,0,121,31.13.92.14,,234,value,
47,facebook,2019-10-08T19:59:36.474+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,155,173,0,125,0,0,106,31.13.92.14,,437,value,
