,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.send,timings.wait,timings.ssl,timings.dns,serverIPAddress,comment,time
10,facebook,2019-09-28T19:31:22.322+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,593,1515,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,0,-1,0,198,-1,-1,157.240.1.35,,199
11,facebook,2019-09-28T19:31:22.323+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/WiVUVeYVBNp.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1089,,,-1,0,-1,0,176,-1,-1,157.240.1.23,,177
12,facebook,2019-09-28T19:31:22.323+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yU/l/0,cross/lUDBwPfYTHr.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,2285,,,-1,0,-1,0,175,-1,-1,157.240.1.23,,177
13,facebook,2019-09-28T19:31:22.323+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yU/l/0,cross/9uEGZ-eKezU.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,3728,,,-1,3,-1,0,176,-1,-1,157.240.1.23,,180
14,facebook,2019-09-28T19:31:22.323+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,,533,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,-1,0,-1,0,180,-1,-1,157.240.1.35,,181
15,facebook,2019-09-28T19:31:22.398+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/uVMI02gYvfk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80563,,,-1,619,-1,0,106,-1,-1,157.240.1.23,,726
16,facebook,2019-09-28T19:31:23.319+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iyLU4/y5/l/he_IL/nHWBLEegsyI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,332251,,,-1,1556,-1,0,282,-1,-1,157.240.1.23,,1839
17,facebook,2019-09-28T19:31:25.306+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3igfX4/y3/l/he_IL/MsohL9sFE5e.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,18571,,,-1,770,-1,0,132,-1,-1,157.240.1.23,,903
18,facebook,2019-09-28T19:31:25.306+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,-1,763,-1,0,132,-1,-1,157.240.1.23,,896
19,facebook,2019-09-28T19:31:25.308+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yg/r/Nn-CtpnbA7n.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17384,,,-1,759,-1,0,140,-1,-1,157.240.1.23,,900
20,facebook,2019-09-28T19:31:25.308+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,-1,755,-1,0,141,-1,-1,157.240.1.23,,897
21,facebook,2019-09-28T19:31:25.308+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i5f14/yQ/l/he_IL/DAaf_rYHcvf.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28967,,,-1,746,-1,0,151,-1,-1,157.240.1.23,,898
22,facebook,2019-09-28T19:31:25.310+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/y3/l/he_IL/wSoaFW7wWeN.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7081,,,-1,2,-1,0,163,-1,-1,157.240.1.23,,167
23,facebook,2019-09-28T19:31:25.481+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,-1,0,-1,0,729,-1,-1,157.240.1.23,,730
24,facebook,2019-09-28T19:31:26.209+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yb/l/he_IL/GyR83-qaiWl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,35760,,,-1,368,-1,0,2915,-1,-1,157.240.1.23,,3284
25,facebook,2019-09-28T19:31:26.216+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iNz24/yg/l/he_IL/53HXKa4Btdy.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4543,,,-1,15,-1,0,3073,-1,-1,157.240.1.23,,3088
26,facebook,2019-09-28T19:31:26.216+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yG/r/EDWT5D6CZW0.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3292,,,-1,2,-1,0,2589,-1,-1,157.240.1.23,,2592
27,facebook,2019-09-28T19:31:26.217+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iSuz4/y-/l/he_IL/0u06c8RIoL-.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60744,,,-1,453,-1,0,3231,-1,-1,157.240.1.23,,3685
28,facebook,2019-09-28T19:31:26.218+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iJre4/yw/l/he_IL/5adkNit3zuK.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13874,,,-1,5,-1,0,2845,-1,-1,157.240.1.23,,2851
29,facebook,2019-09-28T19:31:26.218+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yH/l/he_IL/gFylS2EXD7x.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,15605,,,-1,3,-1,0,3090,-1,-1,157.240.1.23,,3095
30,facebook,2019-09-28T19:31:26.291+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1269,55,,,-1,0,-1,0,2419,-1,-1,157.240.1.35,,2420
31,facebook,2019-09-28T19:31:28.715+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1269,55,,,-1,10,-1,0,103,-1,-1,157.240.1.35,,114
32,facebook,2019-09-28T19:31:28.755+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,value,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1420,43118,,,-1,97,-1,0,184,-1,-1,157.240.1.35,,282
33,facebook,2019-09-28T19:31:28.811+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/x9mvWUy_crF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4374,,,-1,2,-1,0,89,-1,-1,157.240.1.23,,92
34,facebook,2019-09-28T19:31:28.843+03:00,GET,https://cx.atdmt.com/?f=AYx0nca8TFXbBh83qPNJXwErXvqkyS_F1bEI-FswSGx4S1M40HXH_Xf2k6tLjEdvs0_FGT82VNazuRdLRKKLAyt5&c=227952675&v=1&l=2,HTTP/1.1,value,651,0,,200,OK,HTTP/1.1,0,image/gif,,,387,42,,,-1,0,-1,0,134,-1,-1,157.240.1.6,,135
35,facebook,2019-09-28T19:31:28.906+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yr/l/he_IL/CsLqpwK7m82.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13490,,,-1,18,-1,0,91,-1,-1,157.240.1.23,,111
36,facebook,2019-09-28T19:31:28.975+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,465,,,-1,4,-1,0,77,-1,-1,172.217.21.196,,82
37,facebook,2019-09-28T19:31:28.975+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/bfvR9xuXjag.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,164,,,-1,1,-1,0,91,-1,-1,157.240.1.23,,92
38,facebook,2019-09-28T19:31:28.976+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,-1,243,-1,0,91,-1,-1,157.240.1.23,,335
39,facebook,2019-09-28T19:31:28.976+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,-1,129,-1,0,95,-1,-1,157.240.1.23,,225
40,facebook,2019-09-28T19:31:28.977+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/uVMI02gYvfk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80563,,,-1,450,-1,0,101,-1,-1,157.240.1.23,,552
41,facebook,2019-09-28T19:31:29.020+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,1,-1,0,91,-1,-1,157.240.1.23,,94
42,facebook,2019-09-28T19:31:29.077+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,-1,3136,-1,0,116,-1,-1,216.58.210.3,,3253
43,facebook,2019-09-28T19:31:29.077+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,-1,0,121,-1,-1,157.240.1.23,,122
44,facebook,2019-09-28T19:31:29.619+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iyLU4/y5/l/he_IL/nHWBLEegsyI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,332251,,,-1,507,-1,0,92,-1,-1,157.240.1.23,,600
45,facebook,2019-09-28T19:31:29.619+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,-1,17,-1,1,104,-1,-1,157.240.1.23,,123
46,facebook,2019-09-28T19:31:29.620+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,-1,109,-1,0,98,-1,-1,157.240.1.23,,208
47,facebook,2019-09-28T19:31:29.620+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,-1,0,-1,0,104,-1,-1,157.240.1.23,,104
48,facebook,2019-09-28T19:31:32.682+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=t0mqahgl27po,HTTP/1.1,value,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,9536,,,294,10,0,0,91,228,23,172.217.16.196,,419
49,facebook,2019-09-28T19:31:33.044+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,,575,0,,200,OK,HTTP/1.1,0,text/css,,,481,91705,,,198,369,0,0,67,133,38,216.58.210.3,,674
50,facebook,2019-09-28T19:31:33.058+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,212,386,0,0,65,142,39,216.58.210.3,,704
51,facebook,2019-09-28T19:31:33.543+03:00,GET,https://www.google.com/js/bg/JBwSXsc__bL1AIIwyKh3QnwBHg7D-WM3_5_AwioMKBk.js,HTTP/1.1,,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,487,5282,,,-1,23,-1,0,75,-1,-1,172.217.16.196,,99
52,facebook,2019-09-28T19:31:33.644+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,value,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,112,,,-1,3,-1,0,79,-1,-1,172.217.16.196,,83
53,facebook,2019-09-28T19:31:33.718+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=yvnsese1heet,HTTP/1.1,value,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,1123,,,172,9,0,0,78,98,0,172.217.16.196,,260
54,facebook,2019-09-28T19:31:33.880+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,,526,0,,200,OK,HTTP/1.1,0,text/css,,,481,91705,,,-1,201,-1,0,65,-1,-1,216.58.210.3,,266
55,facebook,2019-09-28T19:31:33.893+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,-1,,,-1,0,-1,0,71,-1,-1,216.58.210.3,,71
