,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.dns,timings.wait,timings.send,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
25,facebook,2019-10-12T16:14:47.308+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yg/l/he_IL/wEwODJ1J_8t.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,11433,,,-1,-1,130,0,-1,10,-1,31.13.92.14,,142,value,
26,facebook,2019-10-12T16:14:47.412+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iLU_4/y1/l/he_IL/qH31EnYY7Iq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,191593,,,-1,-1,100,1,-1,137,-1,31.13.92.14,,240,value,
27,facebook,2019-10-12T16:14:47.443+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iO1G4/yw/l/he_IL/-eqlaODzE8I.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,6217,,,-1,-1,108,0,-1,5,-1,31.13.92.14,,113,value,
28,facebook,2019-10-12T16:14:47.443+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqty4/yL/l/he_IL/g7vSSzA2nKh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34121,,,-1,-1,102,0,-1,78,-1,31.13.92.14,,182,value,
29,facebook,2019-10-12T16:14:47.458+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iop94/yH/l/he_IL/RPBHgYyeirq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14341,,,-1,-1,94,0,-1,8,-1,31.13.92.14,,104,value,
30,facebook,2019-10-12T16:14:47.458+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iI6R4/yF/l/he_IL/XJKDMvfVahn.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,31895,,,-1,-1,98,0,-1,27,-1,31.13.92.14,,126,value,
31,facebook,2019-10-12T16:14:47.458+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yH/l/he_IL/-ky5JgleyuC.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,45848,,,-1,-1,120,0,-1,47,-1,31.13.92.14,,168,value,
32,facebook,2019-10-12T16:14:47.488+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,139,0,-1,0,-1,31.13.92.36,,140,,
33,facebook,2019-10-12T16:14:47.580+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yV/r/XT3rtN-i0ND.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5273,,,-1,-1,99,0,-1,2,-1,31.13.92.14,,102,value,
34,facebook,2019-10-12T16:14:47.580+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,-1,105,0,-1,1,-1,31.13.92.14,,107,value,
35,facebook,2019-10-12T16:14:47.591+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yz/l/he_IL/N-1s1LbbNnd.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10911,,,-1,-1,94,0,-1,8,-1,31.13.92.14,,102,value,
36,facebook,2019-10-12T16:14:47.645+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/fiIu-TlLO0o.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3560,,,-1,-1,103,0,-1,2,-1,31.13.92.14,,106,value,
37,facebook,2019-10-12T16:14:47.652+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,121,0,-1,0,-1,31.13.92.36,,122,,
38,facebook,2019-10-12T16:14:47.875+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,-1,99,0,-1,0,-1,31.13.92.14,,100,,
39,facebook,2019-10-12T16:14:48.841+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44522,,,878,0,263,0,904,130,0,31.13.92.36,,1300,value,
40,facebook,2019-10-12T16:14:49.130+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,-1,-1,88,1,-1,0,-1,31.13.92.14,,89,value,
41,facebook,2019-10-12T16:14:49.130+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y2/l/0,cross/h79YO-15mYX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39382,,,-1,-1,95,1,-1,69,-1,31.13.92.14,,166,value,
42,facebook,2019-10-12T16:14:49.131+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80884,,,149,0,109,1,202,142,0,31.13.92.14,,455,value,
43,facebook,2019-10-12T16:14:49.131+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y4/l/0,cross/V27Eh7Ae0G5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,12847,,,-1,-1,117,0,-1,5,-1,31.13.92.14,,124,value,
44,facebook,2019-10-12T16:14:49.280+03:00,GET,https://cx.atdmt.com/?f=AYwx0NUiqjOfKq_KA-AvIfGf8_eaCu38RAqRT0uijEzoQkoG9-B2mBlT8EZLRohMj8XfDaOFhurSR2AUxicDfiXO&c=1154430471&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,537,42,,,1271,27,127,0,1301,0,0,31.13.92.2,,1457,value,
45,facebook,2019-10-12T16:14:51.072+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,1910,1,124,0,1944,1,0,216.58.205.228,,2072,,
46,facebook,2019-10-12T16:14:51.290+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yG/l/he_IL/C2rdfnuuzwM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,99772,,,-1,-1,149,0,-1,124,-1,31.13.92.14,,274,value,
47,facebook,2019-10-12T16:14:51.290+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,-1,-1,104,0,-1,0,-1,31.13.92.14,,105,value,
48,facebook,2019-10-12T16:14:51.293+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yN/l/he_IL/12qn2khst7s.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,23448,,,-1,-1,134,0,-1,58,-1,31.13.92.14,,193,value,
49,facebook,2019-10-12T16:14:51.293+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iDFL4/yV/l/he_IL/YCq2rMVAOEr.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,162809,,,-1,-1,101,0,-1,238,-1,31.13.92.14,,339,value,
50,facebook,2019-10-12T16:14:51.296+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yu/r/wnLfF7HhDR3.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,52324,,,184,0,116,0,215,214,0,31.13.92.14,,546,value,
51,facebook,2019-10-12T16:14:51.394+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iO1G4/yw/l/he_IL/-eqlaODzE8I.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,6217,,,-1,-1,112,0,-1,14,-1,31.13.92.14,,127,value,
52,facebook,2019-10-12T16:14:52.439+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,1197,0,105,0,1221,147,0,172.217.22.35,,1475,,
53,facebook,2019-10-12T16:14:52.727+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=h7xvm9t3yu12,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9419,,,-1,-1,129,0,-1,37,-1,216.58.205.228,,168,value,
54,facebook,2019-10-12T16:14:52.883+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,507,91705,,,-1,-1,103,1,-1,88,-1,172.217.22.35,,193,,
55,facebook,2019-10-12T16:14:53.036+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,118,0,91,1,158,173,0,172.217.22.35,,424,,
56,facebook,2019-10-12T16:14:53.344+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5384,,,-1,-1,90,0,-1,2,-1,216.58.205.228,,93,,
57,facebook,2019-10-12T16:14:53.442+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,-1,-1,100,0,-1,1,-1,216.58.205.228,,103,value,
58,facebook,2019-10-12T16:14:53.490+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=msghe7kv429y,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1121,,,115,0,105,0,140,1,0,216.58.205.228,,247,value,
59,facebook,2019-10-12T16:14:53.575+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,92207,,,-1,-1,94,0,-1,55,-1,172.217.22.35,,150,,
60,facebook,2019-10-12T16:14:53.656+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001288592&__s=0i83n8%3Ahyt3a1%3Ar4dpy9&__hsi=6746908832937774940-0&__spin_r=1001288592&__spin_b=trunk&__spin_t=1570887126,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,-1,0,-1,31.13.92.36,,0,value,No response received
